mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
fresno airport,aerodrome,59,"Fresno Yosemite International Airport, East Andersen Avenue, Fresno County, California, 93727, United States of America","fresno_and_mammoth lakes.json,fresno_and_san francisco.json"
robb field,park,32,"Robb Field Ocean Beach Athletic Area, Bacon Street, Old Town, San Diego, San Diego County, California, 92107, United States of America",newport beach_and_san diego.json
vasquez rocks park,park,36,"Vasquez Rocks Park, PCT, Agua Dulce, Los Angeles County, California, 91390, United States of America",mammoth lakes_and_santa clarita.json
tube park,subway,68,"Transbay Tube (Bay Area Rapid Transit), 7th Street, Oakland, Alameda County, California, 94625, United States of America","big bear lake_and_mammoth lakes.json,big bear lake_and_stockton.json"
dunsmuir,city,114,"Dunsmuir, Siskiyou County, California, United States of America","anaheim_and_sacramento.json,anaheim_and_stockton.json,mammoth lakes_and_san diego.json,riverside_and_stockton.json"
china cove,bay,77,"China Cove, Bird Island Trail, Carmel Highlands, Monterey County, California, 93922, United States of America","avalon_and_monterey.json,irvine_and_monterey.json,monterey_and_riverside.json"
los angeles ' union station,station,63,"Los Angeles Union Station, LA Union Station Underground Walkway, Naud Junction, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America","los angeles_and_oakland.json,los angeles_and_san francisco.json"
old town district,residential,205,"California Street, Old Town, San Diego, San Diego County, California, 92110, United States of America","beverly hills_and_pismo beach.json,carlsbad_and_santa barbara.json,monterey_and_san diego.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,san bernardino_and_santa barbara.json"
del mar fairgrounds,pitch,298,"Del Mar Fairgrounds, 2260, Jimmy Durante Boulevard, Del Mar, San Diego County, California, 92014, United States of America","anaheim_and_berkeley.json,anaheim_and_carlsbad.json,beverly hills_and_carlsbad.json,berkeley_and_carlsbad.json,carlsbad_and_fremont.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,malibu_and_oakland.json,san diego_and_san jose.json"
reservation road,residential,112,"Reservation Road, Riverside County, California, 92539, United States of America","carlsbad_and_monterey.json,los angeles_and_monterey.json,monterey_and_temecula.json,long beach_and_monterey.json"
wilder ranch state park,park,3012,"Wilder Ranch State Park, Coast Road, Westside, Santa Cruz County, California, 95060, United States of America","avalon_and_monterey.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_huntington beach.json,big bear lake_and_san luis obispo.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_monterey.json,fremont_and_newport beach.json,fremont_and_pismo beach.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa cruz.json,fremont_and_santa monica.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_pismo beach.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_pismo beach.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_pismo beach.json,los angeles_and_san jose.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa cruz.json,malibu_and_stockton.json,monterey_and_pismo beach.json,monterey_and_san diego.json,monterey_and_san jose.json,monterey_and_san luis obispo.json,monterey_and_stockton.json,napa_and_newport beach.json,napa_and_pismo beach.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,oakland_and_santa cruz.json,pasadena_and_pismo beach.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,pismo beach_and_santa cruz.json,pismo beach_and_stockton.json,san bernardino_and_san francisco.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_sausalito.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa cruz.json,san francisco_and_santa monica.json,san francisco_and_stockton.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,san jose_and_santa cruz.json,newport beach_and_pismo beach.json,oakland_and_pismo beach.json,san jose_and_santa monica.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_stockton.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json,santa cruz_and_stockton.json,santa monica_and_stockton.json"
san fernando rd,primary,27,"San Fernando Road, Sylmar, LA, Los Angeles County, California, 91344, United States of America",napa_and_santa clarita.json
east bank,bicycle_parking,108,"University of California San Francisco, Bank of America Terrace, Mission Bay, SF, California, 94158, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
yachats,house,32,"Planet Yachats, 4090, Burton Drive, Fiscalini Ranch Preserve, Cambria, San Luis Obispo County, California, 93428, United States of America",newport beach_and_sausalito.json
delhi community center,place_of_worship,26,"Delhi Community Presbyterian, 15917, 4th Street, Delhi, Merced County, California, 95315, United States of America",fremont_and_santa ana.json
valley ford,hamlet,30,"Valley Ford, Sonoma County, California, United States of America",pismo beach_and_sausalito.json
wyndham irvine,hotel,25,"Wyndham Irvine Orange County Airport, Von Karman Avenue, Westpark, Irvine, Orange County, California, 92614, United States of America",irvine_and_santa ana.json
san sevaine,drain,34,"San Sevaine Channel, Jurupa Valley, Riverside County, California, United States of America",long beach_and_san bernardino.json
san clemente island,island,53,"San Clemente Island, California, United States of America","avalon_and_san bernardino.json,avalon_and_malibu.json"
el capitan theater,theatre,104,"El Capitan Entertainment Centre, 6840, Hollywood Boulevard, Whitley Heights, LA, Los Angeles County, California, 90028, United States of America","anaheim_and_beverly hills.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json"
huntington pasadena,hotel,34,"The Langham Huntington, 1401, Huntington Circle, Pasadena, Los Angeles County, California, 91106, United States of America",huntington beach_and_pasadena.json
bondi,cafe,58,"Bondi Harvest, 1814, Berkeley Street, Santa Monica, Los Angeles County, California, 90404, United States of America","beverly hills_and_san jose.json,pasadena_and_san jose.json"
monterrey peninsula,golf_course,33,"Monterrey Peninsula Country Club - Shore Course, 17 Mile Drive, Del Monte Forest, Monterey County, California, 93953, United States of America",san jose_and_san luis obispo.json
cesar chavez street,primary,28,"Cesar Chavez Street, Mission District, SF, California, 94110, United States of America",berkeley_and_santa cruz.json
mountain station,residential,193,"Mountain, Pinecrest, Mission Viejo, Orange County, California, 92679, United States of America","bakersfield_and_big bear lake.json,big bear lake_and_los angeles.json,big bear lake_and_pasadena.json,big bear lake_and_santa monica.json,los angeles_and_stockton.json,malibu_and_riverside.json"
randsburg,administrative,168,"Randsburg, Redrock Randsburg Road, Old Garlock, Kern County, California, United States of America","avalon_and_bakersfield.json,beverly hills_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_temecula.json"
interstate 15,motorway,29,"Interstate 10, Desert Center, Riverside County, California, 92239, United States of America",los angeles_and_stockton.json
mcmillan canyon road,primary,33,"McMillan Canyon Road, Shandon, San Luis Obispo County, California, 93461, United States of America",monterey_and_san luis obispo.json
oz west,restaurant,30,"K-Oz, 121, 7th Street, West SoMa, SF, California, 1087, United States of America",fremont_and_newport beach.json
butte house road,secondary,108,"Butte House Road, Yuba City, Sutter County, California, 95993, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
browning,suburb,36,"Browning, Tustin, Orange County, California, United States of America",beverly hills_and_big bear lake.json
boscell rd,tertiary,51,"Boscell Road, Irvington District, Fremont, Alameda County, California, 94538, United States of America","fremont_and_monterey.json,fremont_and_san jose.json"
rainbow harbor,residential,64,"Rainbow Ridge Road, Harbor City, Los Angeles County, California, 90274, United States of America","fresno_and_huntington beach.json,long beach_and_los angeles.json"
warrenton,residential,28,"East Warrenton Avenue, Anaheim, Orange County, California, 92805, United States of America",berkeley_and_long beach.json
rio vista museum,museum,109,"Rio Vista Museum, North Front Street, Rio Vista, Solano County, California, 94571, United States of America","berkeley_and_sacramento.json,berkeley_and_stockton.json,fremont_and_sacramento.json,oakland_and_stockton.json"
cahill park,park,24,"Cahill Park, San Fernando Street, Little Italy, Buena Vista, San José, Santa Clara County, California, 95126, United States of America",avalon_and_san jose.json
racetrack valley,desert,25,"Racetrack Valley, Racetrack Valley Road, Inyo County, California, United States of America",fremont_and_pasadena.json
north marin,administrative,32,"Marin County, California, United States of America",beverly hills_and_sausalito.json
white mountain peak,peak,349,"White Mountain Peak, Mono County, California, United States of America","anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,carlsbad_and_mammoth lakes.json,fremont_and_mammoth lakes.json,irvine_and_mammoth lakes.json,mammoth lakes_and_oakland.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_stockton.json,mammoth lakes_and_sausalito.json"
mckinley park rose garden,garden,55,"McKinley Park Rose Garden, H Street, Sacramento, Sacramento County, California, 95819, United States of America","oakland_and_stockton.json,riverside_and_sacramento.json"
gore creek,residential,22,"Gore Road, Rancho Cordova, Sacramento County, California, 95827, United States of America",fresno_and_malibu.json
oxford,hamlet,27,"Oxford, Solano County, California, United States of America",berkeley_and_riverside.json
seaport village,retail,815,"Seaport Village, Hillcrest, San Diego, San Diego County, California, 92101, United States of America","anaheim_and_carlsbad.json,anaheim_and_san diego.json,avalon_and_carlsbad.json,avalon_and_san diego.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_san diego.json,berkeley_and_carlsbad.json,beverly hills_and_san diego.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san diego.json,carlsbad_and_san jose.json,carlsbad_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,huntington beach_and_malibu.json,long beach_and_san diego.json,los angeles_and_san diego.json,malibu_and_newport beach.json,monterey_and_newport beach.json,newport beach_and_santa cruz.json,riverside_and_san diego.json,san jose_and_temecula.json"
vasquez canyon road,secondary,206,"Vasquez Canyon Road, Forest Park, Los Angeles County, California, 91351, United States of America","big bear lake_and_santa clarita.json,mammoth lakes_and_santa clarita.json,san francisco_and_santa clarita.json,san jose_and_santa clarita.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json"
xb4ne river,retail,25,"71800, The River, Rancho Mirage, Riverside County, California, 92270, United States of America",avalon_and_riverside.json
anaheim majestic garden hotel,hotel,131,"Anaheim Majestic Garden Hotel, Disneyland Drive, West Anaheim, Anaheim, Orange County, California, 217, United States of America","anaheim_and_santa ana.json,huntington beach_and_san diego.json,huntington beach_and_santa ana.json,newport beach_and_santa ana.json"
rock creek canyon,stream,222,"Falling Rock Canyon, San Bernardino County, California, United States of America","anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,carlsbad_and_mammoth lakes.json,irvine_and_mammoth lakes.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json"
hawaii,service,2662,"Hawaii, Fresno County, California, 93650, United States of America","anaheim_and_monterey.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,anaheim_and_stockton.json,avalon_and_sacramento.json,avalon_and_san luis obispo.json,beverly hills_and_sausalito.json,bakersfield_and_newport beach.json,bakersfield_and_riverside.json,berkeley_and_san luis obispo.json,beverly hills_and_san francisco.json,beverly hills_and_san luis obispo.json,big bear lake_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_san jose.json,fremont_and_huntington beach.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san luis obispo.json,fremont_and_santa monica.json,fresno_and_huntington beach.json,huntington beach_and_monterey.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_pismo beach.json,irvine_and_san jose.json,huntington beach_and_san jose.json,los angeles_and_monterey.json,los angeles_and_napa.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_santa monica.json,monterey_and_pasadena.json,napa_and_pasadena.json,napa_and_san luis obispo.json,long beach_and_monterey.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_sacramento.json,newport beach_and_san luis obispo.json,newport beach_and_santa cruz.json,oakland_and_san luis obispo.json,pasadena_and_pismo beach.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa monica.json,sacramento_and_san luis obispo.json,sacramento_and_santa barbara.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_stockton.json,san francisco_and_santa barbara.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,oakland_and_pismo beach.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,santa barbara_and_stockton.json,santa monica_and_stockton.json,stockton_and_temecula.json"
oxford rd.,track,29,"Oxford Road, San Bernardino County, California, 92371, United States of America",beverly hills_and_malibu.json
santa clara convention center,conference_centre,393,"Santa Clara Convention Center, Convention Center Way, Santa Clara, Santa Clara County, California, 95002, United States of America","fremont_and_san francisco.json,fremont_and_san jose.json,fresno_and_san jose.json,fresno_and_santa clarita.json,oakland_and_san jose.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_stockton.json,san jose_and_santa clarita.json,santa clarita_and_sausalito.json,san jose_and_stockton.json,santa clarita_and_stockton.json"
newport harbor nautical museum,museum,68,"Newport Harbor Nautical Museum, 18th Street, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America","long beach_and_newport beach.json,los angeles_and_newport beach.json"
rattlesnake flats trail,path,213,"Rattlesnake Flats, San Luis Obispo County, California, United States of America","fremont_and_san luis obispo.json,long beach_and_san luis obispo.json,los angeles_and_san luis obispo.json,newport beach_and_san luis obispo.json,oakland_and_san luis obispo.json,sacramento_and_san luis obispo.json"
balboa village,residential,69,"Balboa Lane, Tustin Village Mobile Home Club, Browning, Tustin, Orange County, California, 92780, United States of America","newport beach_and_santa clarita.json,newport beach_and_sausalito.json"
castaic,hamlet,1393,"Castaic, Los Angeles County, California, United States of America","anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa clarita.json,anaheim_and_santa cruz.json,anaheim_and_stockton.json,bakersfield_and_irvine.json,bakersfield_and_los angeles.json,bakersfield_and_oakland.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san jose.json,bakersfield_and_santa clarita.json,berkeley_and_los angeles.json,beverly hills_and_santa clarita.json,fresno_and_irvine.json,fresno_and_san diego.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_san jose.json,long beach_and_santa clarita.json,los angeles_and_oakland.json,los angeles_and_sacramento.json,los angeles_and_san diego.json,los angeles_and_san jose.json,los angeles_and_santa clarita.json,los angeles_and_stockton.json,newport beach_and_pasadena.json,oakland_and_san diego.json,oakland_and_santa clarita.json,pasadena_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san diego_and_san jose.json,san francisco_and_santa clarita.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,sacramento_and_san diego.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json"
bali,residential,143,"Bali-Hi Mobile Home Lodge, Santa Ana, Orange County, California, 92703, United States of America","berkeley_and_san luis obispo.json,beverly hills_and_monterey.json,beverly hills_and_san luis obispo.json,newport beach_and_san luis obispo.json"
northwood park,park,26,"Northwood Park, Cromwell Avenue, Clovis, Fresno County, California, 93611, United States of America",irvine_and_santa cruz.json
san manuel amphitheater,arts_centre,37,"San Manuel Amphitheater, Glen Helen Park Road, Devore, San Bernardino County, California, 92407, United States of America",big bear lake_and_san bernardino.json
riverside national cemetery riverside,cemetery,27,"Riverside National Cemetery, 22495, Alessandro, Riverside County, California, 92518, United States of America",pasadena_and_riverside.json
state route 168,secondary,860,"CA 266, Mono County, California, United States of America","anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,bakersfield_and_mammoth lakes.json,beverly hills_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,carlsbad_and_mammoth lakes.json,fresno_and_mammoth lakes.json,irvine_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_oakland.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json,mammoth lakes_and_san jose.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_stockton.json,mammoth lakes_and_temecula.json,mammoth lakes_and_pismo beach.json,mammoth lakes_and_sausalito.json"
chiloquin,aerodrome,30,"Chiloquin State Airport, The Dalles-California Highway, Klamath County, Oregon, United States of America",fremont_and_newport beach.json
gold beach,residential,32,"North Gold Star Drive, Vista del Mar, Long Beach, Los Angeles County, California, 90810, United States of America",newport beach_and_sausalito.json
broad street,residential,302,"Broad Street, Bakersfield, Kern County, California, 93307, United States of America","fremont_and_san luis obispo.json,irvine_and_santa barbara.json,long beach_and_san luis obispo.json,los angeles_and_san luis obispo.json,malibu_and_san jose.json,newport beach_and_san luis obispo.json,oakland_and_san luis obispo.json,sacramento_and_san luis obispo.json,san jose_and_san luis obispo.json"
hollywood pacific theatre,theatre,31,"Hollywood Pacific Theatre, North Wilcox Avenue, Hollywood, LA, Los Angeles County, California, 90028, United States of America",beverly hills_and_carlsbad.json
napa river trail,cycleway,108,"Napa River Trail, Napa, Napa County, California, 94559, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
east la,primary,162,"La Cadena Drive, Highgrove, Riverside County, California, 92501, United States of America","beverly hills_and_fremont.json,beverly hills_and_monterey.json,beverly hills_and_san bernardino.json,fremont_and_santa ana.json,huntington beach_and_san jose.json"
los angeles river trail,river,175,"Los Angeles River, LA, Los Angeles County, California, United States of America","big bear lake_and_santa clarita.json,long beach_and_riverside.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
summit lake,attraction,188,"Summit Lake, Summit Lake Trail, Alpine Village, Alpine County, California, 96120, United States of America","fresno_and_riverside.json,long beach_and_mammoth lakes.json,malibu_and_santa cruz.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_pismo beach.json"
downtown oakland,neighbourhood,180,"Downtown, Oakland, Alameda County, California, 94612, United States of America","anaheim_and_oakland.json,berkeley_and_san jose.json,berkeley_and_oakland.json,fremont_and_oakland.json,fremont_and_stockton.json,oakland_and_pasadena.json,oakland_and_stockton.json"
old town salinas,cafe,30,"Old Town Deli & Cafe, 319, Harmony Lane, Salinas, Monterey County, California, 93901, United States of America",santa monica_and_stockton.json
centreville,town,31,"Grass Valley, Nevada County, California, United States of America",fremont_and_san bernardino.json
uc santa cruz,tram_stop,448,"UC East, Bay Street, California Street, Westside, Santa Cruz, Santa Cruz County, California, 95061, United States of America","avalon_and_santa cruz.json,berkeley_and_santa cruz.json,carlsbad_and_santa cruz.json,fremont_and_santa cruz.json,huntington beach_and_santa cruz.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,monterey_and_santa cruz.json,oakland_and_santa cruz.json,riverside_and_santa cruz.json,sacramento_and_santa cruz.json,san bernardino_and_santa cruz.json,san diego_and_santa cruz.json,san jose_and_santa cruz.json,santa cruz_and_temecula.json"
yosemite junction,hamlet,48,"Yosemite Junction, Tuolumne County, California, United States of America","fresno_and_oakland.json,fresno_and_san jose.json"
south redondo beach,city,286,"Redondo Beach, Los Angeles County, California, United States of America","huntington beach_and_los angeles.json,huntington beach_and_san francisco.json,huntington beach_and_malibu.json,long beach_and_newport beach.json,los angeles_and_newport beach.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_santa clarita.json"
caltrain san jose diridon station,parking,24,"San Jose Diridon, West San Fernando Street, Little Italy, Buena Vista, San José, Santa Clara County, California, 95110, United States of America",fresno_and_san jose.json
placentia bay,tertiary,23,"Placentia Avenue, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America",avalon_and_oakland.json
samoa cookhouse,restaurant,32,"Samoa Cookhouse, North Bay View Avenue, Samoa, Humboldt County, California, 95564, United States of America",newport beach_and_sausalito.json
big bear boulevard,primary,34,"Big Bear Boulevard, Big Bear Lake, San Bernardino County, California, 92314, United States of America",big bear lake_and_los angeles.json
san buenaventura,city,1051,"Ventura, Ventura County, California, United States of America","anaheim_and_bakersfield.json,anaheim_and_santa cruz.json,bakersfield_and_long beach.json,bakersfield_and_oakland.json,bakersfield_and_san diego.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,fremont_and_los angeles.json,fremont_and_san diego.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,fresno_and_riverside.json,long beach_and_oakland.json,long beach_and_san diego.json,long beach_and_san jose.json,los angeles_and_san jose.json,monterey_and_riverside.json,monterey_and_san bernardino.json,los angeles_and_santa cruz.json,newport beach_and_santa cruz.json,oakland_and_san bernardino.json,oakland_and_san luis obispo.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa cruz.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san jose_and_san luis obispo.json,irvine_and_stockton.json,san luis obispo_and_stockton.json"
kiev,residential,27,"Calle Kiev, Ejido Matamoros, Villa del Sol Cuarta Sección, Tijuana, Baja California, 22330, México",long beach_and_oakland.json
kramer junction,hamlet,308,"Kramer Junction, San Bernardino County, California, United States of America","bakersfield_and_san bernardino.json,bakersfield_and_mammoth lakes.json,bakersfield_and_stockton.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json,san bernardino_and_san luis obispo.json"
south bascom ave,primary,26,"South Bascom Avenue, Buena Vista, San José, Santa Clara County, California, 95124, United States of America",san jose_and_stockton.json
freemont street,residential,101,"Freemont Street, Avenal, Kings County, California, 93204, United States of America","fremont_and_fresno.json,fremont_and_irvine.json,fremont_and_long beach.json,fremont_and_temecula.json"
cal,prison,927,"CAL, 7018, Blair Road, Calipatria, Imperial County, California, 92233, United States of America","anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_pismo beach.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_santa cruz.json,avalon_and_malibu.json,berkeley_and_long beach.json,avalon_and_sausalito.json,bakersfield_and_sausalito.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_newport beach.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,berkeley_and_santa monica.json,berkeley_and_carlsbad.json,berkeley_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_temecula.json,irvine_and_malibu.json,fresno_and_riverside.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,napa_and_newport beach.json,newport beach_and_oakland.json,san diego_and_sausalito.json,san francisco_and_santa monica.json,newport beach_and_sausalito.json"
monterey-salinas,locality,25,"California Rodeo Grounds, Salinas, Monterey County, California, United States of America",monterey_and_oakland.json
atascadero city hall,townhall,30,"Atascadero City Hall, 6500, Lewis Avenue, Atascadero, San Luis Obispo County, California, 93422, United States of America",santa monica_and_stockton.json
selma,city,27,"Selma, Fresno County, California, United States of America",bakersfield_and_fresno.json
panamint,hamlet,317,"Panamint, Inyo County, California, United States of America","anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,carlsbad_and_mammoth lakes.json,fremont_and_mammoth lakes.json,irvine_and_mammoth lakes.json,mammoth lakes_and_oakland.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sausalito.json"
hope valley,hamlet,31,"Good Hope, Riverside County, California, United States of America",berkeley_and_big bear lake.json
thomas township,hamlet,54,"Thomas Lane, Kern County, California, United States of America","avalon_and_oakland.json,beverly hills_and_oakland.json"
mission blvd.,secondary,397,"Mission Boulevard, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America","anaheim_and_bakersfield.json,anaheim_and_santa cruz.json,fremont_and_los angeles.json,fresno_and_riverside.json,long beach_and_san diego.json,long beach_and_san jose.json,los angeles_and_san jose.json,monterey_and_riverside.json,los angeles_and_santa cruz.json,newport beach_and_santa cruz.json,san bernardino_and_santa barbara.json,san bernardino_and_santa cruz.json,san diego_and_santa cruz.json"
lake piru,reservoir,36,"Lake Piru, Piru Canyon Road, Ventura County, California, United States of America",big bear lake_and_santa clarita.json
elkhorn slough,stream,261,"Elkhorn Slough, Monterey County, California, United States of America","carlsbad_and_monterey.json,los angeles_and_monterey.json,monterey_and_pasadena.json,monterey_and_san luis obispo.json,monterey_and_santa cruz.json,monterey_and_temecula.json,long beach_and_monterey.json,malibu_and_monterey.json,san francisco_and_santa cruz.json"
pizza rock,restaurant,25,"Blaze Pizza, Watson Bridge, Turtle Rock, Irvine, Orange County, California, 92617, United States of America",fremont_and_temecula.json
santa monica and malibu,park,64,"Santa Monica Mountains National Recreation Area, Newell Road, Malibu Bowl, Los Angeles County, California, 90265, United States of America","pasadena_and_santa monica.json,san jose_and_san luis obispo.json"
milpas street,residential,68,"Milpas Street, Hanford, Kings County, California, 93230, United States of America","bakersfield_and_santa barbara.json,san jose_and_san luis obispo.json"
whiting way,residential,30,"Whiting Way, SF, California, 94130, United States of America",oakland_and_san francisco.json
lower peters canyon,administrative,22,"Lower Peters Canyon, Irvine, Orange County, California, United States of America",avalon_and_irvine.json
