mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
veterans memorial highway,trunk,1,"Veterans Memorial Highway, San Bernardino County, California, United States of America",6,"bakersfield_and_big bear lake.json,berkeley_and_big bear lake.json,big bear lake_and_fremont.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_sausalito.json"
lorain,residential,1,"Lorain Road, San Marino, Los Angeles County, California, 91775, United States of America",1,beverly hills_and_big bear lake.json
n. highland ave.,primary,2,"North Highland Avenue, Hollywood, LA, Los Angeles County, California, 90068, United States of America",20,"bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,carlsbad_and_stockton.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
magic mountain parkway,secondary,1,"Magic Mountain Parkway, Valencia, Santa Clarita, Los Angeles County, California, 91321, United States of America",1,anaheim_and_santa clarita.json
north tamarind ave.,residential,1,"North Tamarind Avenue, Compton, Los Angeles County, California, 90222, United States of America",19,"bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
jamaica,residential,2,"Jamaica Way, Bakersfield, Kern County, California, 93309, United States of America",5,"avalon_and_fresno.json,berkeley_and_fresno.json,fresno_and_monterey.json,fresno_and_sausalito.json,pasadena_and_sacramento.json"
oklahoma river,residential,2,"Oklahoma Avenue, Palm Desert, Riverside County, California, 92211, United States of America",2,"beverly hills_and_big bear lake.json,fresno_and_malibu.json"
marine base camp pendleton,town,1,"Marine Corps Base Camp Pendleton, San Diego County, California, United States of America",3,"beverly hills_and_san diego.json,long beach_and_san diego.json,los angeles_and_san diego.json"
poinsettia lane,secondary,1,"Poinsettia Lane, Carlsbad, San Diego County, California, 92011, United States of America",1,carlsbad_and_irvine.json
san anselmo,administrative,2,"San Anselmo, Marin County, California, United States of America",3,"long beach_and_sausalito.json,sacramento_and_sausalito.json,newport beach_and_sausalito.json"
pontiac,residential,1,"West Pontiac Way, Fresno County, California, 93705, United States of America",1,fremont_and_newport beach.json
tustin branch trail,city,3,"Tustin, Orange County, California, United States of America",5,"big bear lake_and_santa clarita.json,long beach_and_riverside.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,newport beach_and_riverside.json"
peninsula beauty,beauty,1,"Peninsula Beauty, 250, University Avenue, University South, Palo Alto, Santa Clara County, California, 94301, United States of America",2,"san jose_and_santa clarita.json,santa clarita_and_santa cruz.json"
copper hill drive,secondary,1,"Copper Hill Drive, Copper Hill, Saugus, Los Angeles County, California, 91354, United States of America",4,"big bear lake_and_santa clarita.json,mammoth lakes_and_santa clarita.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json"
tiger river,hamlet,1,"Tiger Lily, El Dorado County, California, United States of America",1,berkeley_and_san diego.json
bird cage theatre,theatre,1,"Bird Cage Theatre, 8039, Beach Boulevard, Buena Park, Orange County, California, 90620, United States of America",1,fremont_and_los angeles.json
lighthouse field state beach,national_park,1,"Lighthouse Field State Beach, West Cliff Multipurpose Cycleway, Westside, Santa Cruz, Santa Cruz County, California, 95061, United States of America",2,"monterey_and_pasadena.json,malibu_and_monterey.json"
w. winston rd,residential,1,"West Winston Road, West Anaheim, Anaheim, Orange County, California, 92804, United States of America",1,anaheim_and_los angeles.json
lacy park,park,1,"Lacy Park, Virginia Road, San Marino, Los Angeles County, California, 91108, United States of America",1,san bernardino_and_santa monica.json
central west coast,residential,1,"Central Coast Street, Bakersfield, Kern County, California, 93314, United States of America",1,avalon_and_san jose.json
angelino heights,suburb,2,"Angelino Heights, LA, Los Angeles County, California, United States of America",9,"beverly hills_and_carlsbad.json,bakersfield_and_santa monica.json,beverly hills_and_huntington beach.json,beverly hills_and_newport beach.json,beverly hills_and_san bernardino.json,huntington beach_and_san bernardino.json,huntington beach_and_santa clarita.json,huntington beach_and_santa monica.json,huntington beach_and_temecula.json"
monterey and carmel,residential,2,"Monterey Street, Carmel-by-the-Sea, Monterey County, California, 93923, United States of America",4,"fremont_and_pismo beach.json,irvine_and_monterey.json,monterey_and_pismo beach.json,monterey_and_san bernardino.json"
magic mountain pkwy santa,secondary,1,"Magic Mountain Parkway, Valencia, Santa Clarita, Los Angeles County, California, 91321, United States of America",1,san jose_and_santa clarita.json
king school park,park,1,"King School Park, Hopkins Street, Northbrae, Berkeley, Alameda County, California, 94707, United States of America",1,berkeley_and_sacramento.json
el segundo,city,6,"El Segundo, Los Angeles County, California, United States of America",21,"avalon_and_malibu.json,berkeley_and_long beach.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_pasadena.json,berkeley_and_santa monica.json,berkeley_and_beverly hills.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_temecula.json,irvine_and_los angeles.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_santa monica.json,santa monica_and_temecula.json"
woodburn,residential,1,"N Woodburn Drive, Westgate Heights, Brentwood, LA, Los Angeles County, California, 90049, United States of America",1,oakland_and_san diego.json
s. anaheim blvd,secondary,1,"South Anaheim Boulevard, Anaheim Resort District, Anaheim, Orange County, California, 92805, United States of America",1,anaheim_and_los angeles.json
fort funston,common,1,"Fort Funston (GGNRA), Skyline Boulevard, SF, California, 94132, United States of America",1,sausalito_and_stockton.json
sacramento bee,yes,1,"The Sacramento Bee, 2100, Q Street, Sacramento, Sacramento County, California, 95816, United States of America",3,"newport beach_and_oakland.json,newport beach_and_sacramento.json,riverside_and_sacramento.json"
valencia boulevard,secondary,1,"Valencia Boulevard, Valencia, Santa Clarita, Los Angeles County, California, 91355, United States of America",1,los angeles_and_santa clarita.json
pinnacle,peak,1,"The Pinnacle, Los Angeles County, California, United States of America",1,malibu_and_napa.json
us highway 101,primary,2,"Highway 101, Solana Beach, San Diego County, California, 92075, United States of America",10,"berkeley_and_long beach.json,berkeley_and_san diego.json,fremont_and_malibu.json,long beach_and_stockton.json,malibu_and_monterey.json,newport beach_and_oakland.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_stockton.json,san diego_and_stockton.json"
san simeon,hamlet,84,"San Simeon, San Luis Obispo County, California, United States of America",329,"anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_bakersfield.json,avalon_and_fresno.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pismo beach.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,anaheim_and_napa.json,bakersfield_and_huntington beach.json,bakersfield_and_san bernardino.json,berkeley_and_long beach.json,beverly hills_and_pismo beach.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_big bear lake.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_malibu.json,bakersfield_and_monterey.json,bakersfield_and_napa.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_pismo beach.json,bakersfield_and_riverside.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa ana.json,bakersfield_and_santa cruz.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_mammoth lakes.json,berkeley_and_monterey.json,berkeley_and_newport beach.json,berkeley_and_pasadena.json,berkeley_and_pismo beach.json,berkeley_and_san diego.json,berkeley_and_san luis obispo.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,berkeley_and_santa clarita.json,berkeley_and_santa monica.json,berkeley_and_temecula.json,berkeley_and_big bear lake.json,berkeley_and_carlsbad.json,berkeley_and_fresno.json,berkeley_and_huntington beach.json,berkeley_and_irvine.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,big bear lake_and_mammoth lakes.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_pismo beach.json,big bear lake_and_sacramento.json,big bear lake_and_san jose.json,big bear lake_and_san luis obispo.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,big bear lake_and_sausalito.json,carlsbad_and_fresno.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_sacramento.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,carlsbad_and_santa cruz.json,carlsbad_and_stockton.json,fremont_and_fresno.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_pismo beach.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fremont_and_santa monica.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_monterey.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_pismo beach.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san jose.json,fresno_and_san luis obispo.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa cruz.json,fresno_and_santa monica.json,fresno_and_sausalito.json,fresno_and_stockton.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_pismo beach.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_mammoth lakes.json,irvine_and_monterey.json,irvine_and_napa.json,irvine_and_oakland.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_santa cruz.json,irvine_and_sausalito.json,carlsbad_and_san luis obispo.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_oakland.json,long beach_and_pismo beach.json,long beach_and_sacramento.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_sausalito.json,long beach_and_stockton.json,los angeles_and_mammoth lakes.json,los angeles_and_monterey.json,los angeles_and_napa.json,long beach_and_mammoth lakes.json,los angeles_and_oakland.json,los angeles_and_pismo beach.json,los angeles_and_sacramento.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_san luis obispo.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_napa.json,malibu_and_oakland.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_santa monica.json,monterey_and_napa.json,monterey_and_oakland.json,monterey_and_pasadena.json,monterey_and_pismo beach.json,monterey_and_riverside.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_san luis obispo.json,monterey_and_santa ana.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,monterey_and_sausalito.json,monterey_and_stockton.json,monterey_and_temecula.json,napa_and_newport beach.json,napa_and_pasadena.json,napa_and_pismo beach.json,napa_and_san bernardino.json,napa_and_san diego.json,napa_and_san luis obispo.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,mammoth lakes_and_sausalito.json,monterey_and_newport beach.json,monterey_and_santa monica.json,napa_and_temecula.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa clarita.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_san luis obispo.json,riverside_and_santa barbara.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa cruz.json,sacramento_and_santa monica.json,sacramento_and_temecula.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa ana.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,sacramento_and_san diego.json,newport beach_and_pismo beach.json,newport beach_and_sausalito.json,oakland_and_pismo beach.json,oakland_and_temecula.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,san luis obispo_and_temecula.json,santa ana_and_santa cruz.json,santa ana_and_sausalito.json,santa barbara_and_santa cruz.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa clarita_and_stockton.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,sausalito_and_temecula.json,stockton_and_temecula.json"
san gabriel freeway,abandoned,3,"California, San Gabriel River Freeway, Pico Rivera, Los Angeles County, California, 90601, United States of America",3,"beverly hills_and_pasadena.json,long beach_and_riverside.json,long beach_and_santa clarita.json"
mount tamalpais state park,park,2,"Mount Tamalpais State Park, Panoramic Highway, Stinson Beach, Marin County, California, 94970, United States of America",2,"oakland_and_san jose.json,oakland_and_santa cruz.json"
piedmont community hall,place_of_worship,1,"Piedmont Community Church, 400, Highland Avenue, Piedmont, Alameda County, California, 94611, United States of America",1,berkeley_and_napa.json
alameda creek,river,4,"Alameda Creek, Fremont, Alameda County, California, United States of America",6,"fremont_and_monterey.json,fremont_and_san bernardino.json,fremont_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
warmsprings,residential,1,"Warmsprings, Rancho Conejo, Thousand Oaks, Ventura County, California, 91320, United States of America",1,fremont_and_san bernardino.json
fair oaks blvd.,primary,1,"Fair Oaks Boulevard, Sacramento, Sacramento County, California, 95608, United States of America",2,"oakland_and_stockton.json,riverside_and_sacramento.json"
san sebastian,residential,1,"San Sebastian, Newport Center, Newport Beach, Orange County, California, 92657, United States of America",1,san bernardino_and_santa ana.json
north gate road,residential,1,"North Gate Road, SF, California, 94130, United States of America",1,oakland_and_san francisco.json
los osos valley rd.,secondary,1,"Los Osos Valley Road, San Luis Obispo, San Luis Obispo County, California, 93402, United States of America",1,pismo beach_and_san luis obispo.json
marquette,residential,1,"Marquette, Mission Viejo, Orange County, California, 92692, United States of America",3,"avalon_and_oakland.json,beverly hills_and_oakland.json,beverly hills_and_riverside.json"
avenida de la playa,residential,1,"Avenida de la Playa, La Jolla, San Diego, San Diego County, California, 92037, United States of America",5,"irvine_and_san diego.json,long beach_and_san diego.json,long beach_and_temecula.json,malibu_and_san diego.json,san diego_and_san jose.json"
tri-city park,park,1,"Tri City Park, Golden Avenue, Old Town Placentia, Placentia, Orange County, California, 92870, United States of America",1,riverside_and_santa ana.json
museum of tolerance,museum,2,"Museum of Tolerance, Pico Boulevard, Century City, Palms, LA, Los Angeles County, California, 90212, United States of America",2,"beverly hills_and_santa clarita.json,long beach_and_pasadena.json"
stuart ranch rd,residential,1,"Stuart Ranch Road, Malibu, Los Angeles County, California, 90265, United States of America",7,"bakersfield_and_malibu.json,long beach_and_malibu.json,malibu_and_napa.json,malibu_and_newport beach.json,malibu_and_pismo beach.json,malibu_and_santa cruz.json,malibu_and_santa monica.json"
civic center financial district,building,1,"Civic Center Financial District, East Colorado Boulevard, Pasadena, Los Angeles County, California, 91101, United States of America",1,oakland_and_pasadena.json
jefferson ave.,residential,1,"Jefferson Avenue, San Bernardino, San Bernardino County, California, 92376, United States of America",1,santa cruz_and_temecula.json
abalone cove,residential,1,"Abalone Cove, Port Hueneme, Ventura County, California, 93041, United States of America",1,los angeles_and_malibu.json
meritage resort,hotel,2,"The Meritage Resort and Spa, Trefethen Way, Napa, Napa County, California, 94558, United States of America",24,"avalon_and_napa.json,avalon_and_sacramento.json,anaheim_and_napa.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_napa.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,carlsbad_and_napa.json,fremont_and_napa.json,irvine_and_sacramento.json,long beach_and_napa.json,malibu_and_napa.json,monterey_and_sacramento.json,napa_and_pasadena.json,napa_and_riverside.json,napa_and_sacramento.json,napa_and_san bernardino.json,napa_and_san jose.json,napa_and_stockton.json,sacramento_and_sausalito.json,sacramento_and_san francisco.json,napa_and_sausalito.json"
sonoma creek,stream,1,"Sonoma Creek, Humboldt County, California, United States of America",2,"anaheim_and_napa.json,napa_and_riverside.json"
wiltern,theatre,1,"Wiltern Theatre and Pellissier Building, 3780, Wilshire Boulevard, Koreatown, Little Armenia, LA, Los Angeles County, California, 90010, United States of America",1,san bernardino_and_santa monica.json
moonstone beach drive,tertiary,3,"Moonstone Beach Drive, Cambria, San Luis Obispo County, California, 93428, United States of America",4,"bakersfield_and_monterey.json,beverly hills_and_napa.json,monterey_and_santa barbara.json,napa_and_pismo beach.json"
fort mason,residential,4,"Fort Mason, Marina District, SF, California, 14123, United States of America",4,"beverly hills_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_san francisco.json,long beach_and_oakland.json"
hills.coyote hills regional park,park,1,"Coyote Hills Regional Park, Bayview Trail, Fremont, Alameda County, California, 94555, United States of America",1,fremont_and_sacramento.json
san deigo,theme_park,2,"Aquatica: SeaWorld's Waterpark San Deigo, 2052, Entertainment Circle, Chula Vista, San Diego County, California, 91911, United States of America",4,"bakersfield_and_long beach.json,san diego_and_santa cruz.json,san luis obispo_and_temecula.json,santa barbara_and_santa cruz.json"
south philly,fast_food,1,"Philly Frank's Steaks, South Rancho Santa Fe Road, Villa Vista Estates Mobil Home Park, San Elijo Hills, San Marcos, San Diego County, California, 92069, United States of America",1,pasadena_and_sacramento.json
main lodge,yes,5,"Main Lodge, Rosewood Lane, North Shore, San Bernardino County, California, 92352, United States of America",5,"avalon_and_mammoth lakes.json,beverly hills_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,irvine_and_mammoth lakes.json,mammoth lakes_and_san diego.json"
big pine,administrative,2,"Big Pine, Glacier Lodge Road, Inyo County, California, United States of America",6,"anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,beverly hills_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_santa clarita.json"
newhall ave,secondary,1,"Newhall Avenue, Newhall, Santa Clarita, Los Angeles County, California, 91321, United States of America",4,"avalon_and_santa clarita.json,santa ana_and_santa clarita.json,santa clarita_and_sausalito.json,santa clarita_and_stockton.json"
corona del mar,hamlet,2,"Corona del Mar, Tijuana, Baja California, México",2,"newport beach_and_santa barbara.json,newport beach_and_sausalito.json"
old town inn,hotel,1,"Old Town Inn, 4444, Pacific Highway, Old Town, San Diego, San Diego County, California, 92110, United States of America",1,big bear lake_and_san diego.json
columbia,administrative,11,"Columbia, Maiden Lane, Columbia, Tuolumne County, California, 95310, United States of America",39,"avalon_and_sacramento.json,bakersfield_and_fremont.json,bakersfield_and_fresno.json,bakersfield_and_monterey.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_santa cruz.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,fremont_and_long beach.json,fresno_and_oakland.json,fresno_and_pismo beach.json,fresno_and_san jose.json,huntington beach_and_napa.json,huntington beach_and_san francisco.json,irvine_and_sacramento.json,huntington beach_and_san jose.json,long beach_and_san francisco.json,long beach_and_san jose.json,mammoth lakes_and_monterey.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,monterey_and_sacramento.json,napa_and_pismo beach.json,mammoth lakes_and_pismo beach.json,napa_and_temecula.json,pismo beach_and_temecula.json,sacramento_and_sausalito.json,sacramento_and_temecula.json,sacramento_and_san francisco.json,san luis obispo_and_temecula.json,santa ana_and_sausalito.json"
bay area of california,region,1,"San Francisco Bay Area, SF, California, United States of America",6,"anaheim_and_san francisco.json,anaheim_and_stockton.json,bakersfield_and_san francisco.json,bakersfield_and_stockton.json,los angeles_and_stockton.json,san francisco_and_stockton.json"
swanton road,tertiary,1,"Swanton Road, Swanton, Santa Cruz County, California, 95017, United States of America",2,"fremont_and_santa cruz.json,san jose_and_santa cruz.json"
los angeles river,river,9,"Los Angeles River, LA, Los Angeles County, California, United States of America",33,"berkeley_and_long beach.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,big bear lake_and_santa clarita.json,fresno_and_long beach.json,fresno_and_santa ana.json,huntington beach_and_los angeles.json,huntington beach_and_pasadena.json,long beach_and_pasadena.json,long beach_and_riverside.json,long beach_and_sacramento.json,long beach_and_san bernardino.json,long beach_and_santa clarita.json,long beach_and_stockton.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,sacramento_and_santa ana.json,pasadena_and_san bernardino.json,santa monica_and_temecula.json"
