"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"bay trail","track","1","""Bay Trail, San Luis Obispo County, California, United States of America""","","-119.8851899","35.264709","1","berkeley_and_san diego.json","Bay Trail","","""I've been biking this trail (infrequently) for years. Recently, it was refurbished and is in good shape. It connects with the awesome Stevens Creek Trail of Mountain View as you... read more""","12","5","","Mountain View","""Mountain View , CA""","","-122.0820499","37.3855745","https://www.tripadvisor.com/Attraction_Review-g32761-d10055765-Reviews-Bay_Trail-Mountain_View_California.html","mountain_view.json","""qpsYgalyLQI,i5GUP8SvDTE""","100"
"calico ghost town","narrow_gauge","3","""Calico and Odessa Railroad, Ghost Town Road, San Bernardino County, California, United States of America""","","-116.863539798317","34.9486815","5","""avalon_and_san bernardino.json,bakersfield_and_san bernardino.json,fremont_and_san bernardino.json,pismo beach_and_san bernardino.json,san bernardino_and_stockton.json""","Calico Ghost Town","","However I wouldn't have cry if I would have missed it. Just an old western set-up. There are a few attractions but you have to pay extra for it....","1","""1,240""","+1 760-254-2122","Yermo","""36600 Ghost Town Rd , Yermo , CA 92398-0406""","36600","","","https://www.tripadvisor.com/Attraction_Review-g33295-d126686-Reviews-Calico_Ghost_Town-Yermo_California.html","yermo.json","""Mxo1zBRcesY,6eMQAkV30X8,yWEpZA3Kw04""","100"
"downtown long beach","station","6","""Downtown Long Beach, East 1st Street, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America""","90802","-118.1929585","33.7680387","13","""anaheim_and_long beach.json,avalon_and_long beach.json,bakersfield_and_newport beach.json,beverly hills_and_san bernardino.json,big bear lake_and_santa barbara.json,fresno_and_huntington beach.json,huntington beach_and_santa monica.json,irvine_and_santa barbara.json,long beach_and_riverside.json,sacramento_and_san luis obispo.json,san francisco_and_santa barbara.json,san luis obispo_and_santa ana.json,santa barbara_and_stockton.json""","Downtown Long Beach","""Neighborhoods , Sights & Landmarks , Other""","You can walk or ride a bike the Downton Long Beach. You cna take beautiful pictures and is well located.","12","211","","Long Beach","""Pine Ave. & E. Ocean Blvd. , Long Beach , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32648-d284146-Reviews-Downtown_Long_Beach-Long_Beach_California.html","long_beach.json","""dfgfEj9vaAo,LP0Ji2-MMDg,KZLji0JbgsM""","100"
"chase palm park","park","3","""Chase Palm Park, East Cabrillo Boulevard, Santa Barbara, Santa Barbara County, California, 93103, United States of America""","93103","-119.679267670006","34.41527625","42","""anaheim_and_san francisco.json,anaheim_and_sausalito.json,avalon_and_monterey.json,berkeley_and_huntington beach.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_pismo beach.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_santa barbara.json,huntington beach_and_sausalito.json,irvine_and_monterey.json,irvine_and_santa barbara.json,irvine_and_sausalito.json,los angeles_and_monterey.json,los angeles_and_napa.json,los angeles_and_santa barbara.json,los angeles_and_sausalito.json,monterey_and_pasadena.json,monterey_and_san diego.json,monterey_and_santa barbara.json,napa_and_pasadena.json,long beach_and_santa barbara.json,monterey_and_santa monica.json,newport beach_and_santa barbara.json,newport beach_and_stockton.json,pasadena_and_pismo beach.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pismo beach_and_santa ana.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san francisco_and_santa barbara.json,santa ana_and_santa barbara.json,santa ana_and_stockton.json,santa barbara_and_santa monica.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json""","Chase Palm Park","","""Chase Palm Park on Cabrillo Blvd across from the ocean is just the best. During the summer there are music events. It has a great playground, and also a fantastic carousel. A... read more""","58","37","+1 805-564-5422","Santa Barbara","""323 E Cabrillo Blvd , Santa Barbara , CA 93101-1808""","93101","","","https://www.tripadvisor.com/Attraction_Review-g33045-d128640-Reviews-Chase_Palm_Park-Santa_Barbara_California.html","santa_barbara.json","""izFfMnP21dw,ImPXI7IfmxE,UWdEKu967Eo""","100"
"monarch butterfly grove","attraction","1","""Monarch Butterfly Grove, South Dolliver Street, Pismo Beach, San Luis Obispo County, California, 93449, United States of America""","93449","-120.632560587146","35.1297605","1","fresno_and_huntington beach.json","Monarch Butterfly Grove","""Nature & Wildlife Areas , Nature & Parks""","""We visited on November 3, 2016. At first we did not see the butterflies but when the docent showed us the scopes to look through and we realized that the leaves on the trees were... read more""","1","661","+1 805-773-5301","Pismo Beach","""State Hwy 1 , Pismo Beach , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32894-d270504-Reviews-Monarch_Butterfly_Grove-Pismo_Beach_San_Luis_Obispo_County_California.html","pismo_beach.json","""CsixOw7oI3M,RKuj-trC1BM,Z1t-cNOmqsk""","100"
"old globe theater","theatre","2","""Old Globe Theater, Old Globe Way, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""","92101","-117.152353034829","32.73221385","8","""anaheim_and_san diego.json,avalon_and_san diego.json,bakersfield_and_san diego.json,fresno_and_san diego.json,monterey_and_san diego.json,riverside_and_san diego.json,san diego_and_san jose.json,san diego_and_stockton.json""","Old Globe Theatre","""Neighborhood: Balboa Park Theaters , Concerts & Shows""","We attended the performance of October Sky and were very impressed. The cast were excellent and the scenery and props outstanding. The view of the stage from all the... read more","36","433","+1 619-234-5623","San Diego","""1363 Old Globe Way , San Diego , CA 92101-1696""","92101","","","https://www.tripadvisor.com/Attraction_Review-g60750-d110091-Reviews-Old_Globe_Theatre-San_Diego_California.html","san_diego.json","""m3VGa6Fp3zI,wsos-myKU7k""","100"
"pasadena convention center","public_building","1","""Pasadena Convention Center, 300, East Green Street, Pasadena, Los Angeles County, California, 91101, United States of America""","91101","-118.143397194722","34.144062","1","long beach_and_pasadena.json","Pasadena Convention Center","""Conference & Convention Centers , Traveler Resources""","""This was a super easy place to navigate, had a Starbucks on site. You have to enjoy that. Bright and airy!""","13","60","+1 626-793-2122","Pasadena","""300 E Green St , Pasadena , CA 91101-2308""","91101","","","https://www.tripadvisor.com/Attraction_Review-g32859-d1419861-Reviews-Pasadena_Convention_Center-Pasadena_California.html","pasadena.json","""pddIcUdyKqs,TzRzU5kTe1Q,jrjI0FqBs3o""","100"
"piedras blancas","peak","2","""Piedras Blancas, San Luis Obispo County, California, United States of America""","","-121.2889962","35.6647403","40","""anaheim_and_pismo beach.json,anaheim_and_santa cruz.json,avalon_and_santa cruz.json,berkeley_and_riverside.json,carlsbad_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,irvine_and_monterey.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_san jose.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_santa cruz.json,napa_and_pismo beach.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,oakland_and_santa monica.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san diego_and_santa cruz.json,san francisco_and_santa monica.json,san jose_and_santa barbara.json,san jose_and_santa monica.json,santa barbara_and_santa cruz.json,santa cruz_and_santa monica.json""","Piedras Blancas","""Beaches , Nature & Wildlife Areas , Outdoor Activities , Nature & Parks""","Great place to see elephant seals and watch their interaction among one another. We watched them for almost an hour. Some on the beach and others in the water playing... read more","3","521","","San Simeon","""15950 Cabrillo Highway , San Simeon , CA 93452""","15950","-121.1255929","35.595427","https://www.tripadvisor.com/Attraction_Review-g33039-d256262-Reviews-Piedras_Blancas-San_Simeon_San_Luis_Obispo_County_California.html","san_simeon.json","""dtvdEwzktIs,oyCrAUz-gzM,BqPm3JrjbPs""","100"
"malibu pier","pier","4","""Malibu Pier, Pacific Coast Highway, Malibu, Los Angeles County, California, 90265, United States of America""","90265","-118.676144945982","34.0364323","58","""anaheim_and_pismo beach.json,anaheim_and_santa cruz.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_santa monica.json,bakersfield_and_malibu.json,carlsbad_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_pasadena.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,irvine_and_malibu.json,irvine_and_monterey.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,long beach_and_san diego.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,long beach_and_santa monica.json,los angeles_and_malibu.json,long beach_and_malibu.json,malibu_and_napa.json,malibu_and_newport beach.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_santa cruz.json,malibu_and_santa monica.json,napa_and_pismo beach.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,oakland_and_santa monica.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san francisco_and_santa monica.json,san jose_and_santa barbara.json,san jose_and_santa monica.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa cruz_and_santa monica.json""","Malibu Pier","""Neighborhood: Malibu Piers & Boardwalks , Points of Interest & Landmarks , Sights & Landmarks""","Parking was overpriced for the amount of time we were going to spend so dropped a star but we dropped lucky parking on the road and walked back. Just so relaxing. So different to... read more","5","501","+1 855-877-9900","Malibu","""23000 Pacific Coast Hwy , Malibu , CA 90265-4936""","23000","","","https://www.tripadvisor.com/Attraction_Review-g32676-d560725-Reviews-Malibu_Pier-Malibu_California.html","malibu.json","""iKunSV_hjdE,ZPO1zpDqQ8I,b7SxOCj3kag""","100"
"mission san antonio de padua","place_of_worship","3","""Mission San Antonio de Padua, Mission Road, Fort Hunter Liggett Cantonment, Monterey County, California, 93928, United States of America""","93928","-121.2499254","36.0152451","5","""avalon_and_monterey.json,irvine_and_monterey.json,malibu_and_san jose.json,monterey_and_riverside.json,san jose_and_san luis obispo.json""","Mission San Antonio de Pala","","""This is a small mission, which I proported to be the oldest in the area. The bell tower is separated from the church, not a common construction in Missions. We observed the... read more""","15","29","+1 760-742-3317","Escondido","""3015 Pala Mission Road , Escondido , CA 92059""","92059","","","https://www.tripadvisor.com/Attraction_Review-g32358-d116572-Reviews-Mission_San_Antonio_de_Pala-Escondido_California.html","escondido.json","""jXI5NH5fQy0,rrzJVIpaxiI,tX16ZV8M3R0""","100"
"pershing square","park","3","""Pershing Square, South Hill Street, Financial District, Bunker Hill, LA, Los Angeles County, California, 90071, United States of America""","90071","-118.253047788842","34.0483134","7","""avalon_and_pasadena.json,anaheim_and_santa monica.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_los angeles.json,beverly hills_and_santa ana.json,pasadena_and_santa monica.json""","Pershing Square","","I would've loved to have given this a higher rating but one half of the park was a farmers market while the other half was closed. I would've liked to have walked around more... read more","139","47","","Los Angeles","""Boundaries are South Hill St, South Olive St, West Sixth St, and West Fifth St , Los Angeles , CA 90015""","90015","","","https://www.tripadvisor.com/Attraction_Review-g32655-d560876-Reviews-Pershing_Square-Los_Angeles_California.html","los_angeles.json","""6_yIqVKEDbs,bQc6L4ieMwo,PS-1eZ2Mge4""","100"
"dodger stadium","stadium","9","""Dodger Stadium, 1000, Vin Scully Avenue, New Chinatown, Angelino Heights, LA, Los Angeles County, California, 90012, United States of America""","90012","-118.238969292435","34.0736255","51","""bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_los angeles.json,beverly hills_and_malibu.json,beverly hills_and_pasadena.json,beverly hills_and_riverside.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,big bear lake_and_santa clarita.json,fresno_and_long beach.json,fresno_and_santa ana.json,huntington beach_and_pasadena.json,irvine_and_los angeles.json,irvine_and_san jose.json,irvine_and_santa clarita.json,irvine_and_santa cruz.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_santa clarita.json,los angeles_and_riverside.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,los angeles_and_stockton.json,los angeles_and_santa cruz.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa ana.json,sacramento_and_santa clarita.json,san diego_and_santa ana.json,san diego_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,pasadena_and_san bernardino.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa monica_and_temecula.json""","Dodger Stadium","""Arenas & Stadiums , Sights & Landmarks ""","Dodgers Stadium tour was one of our favorite memories from our week long southern CA trip. Stadium offered a great view of LA and is located off the beaten path. Our tour guides... read more","23","""1,344""","+1 323-224-1507","Los Angeles","""1000 Elysian Park Avenue , Los Angeles , CA 90012""","90012","-118.238969292435","34.0736255","https://www.tripadvisor.com/Attraction_Review-g32655-d615551-Reviews-Dodger_Stadium-Los_Angeles_California.html","los_angeles.json","""jbZkUmynBpE,AoQPlR-rBXM,JAwYrIAdfEk""","100"
"mendocino coast botanical gardens","garden","1","""Mendocino Coast Botanical Gardens, 18220, Shore Trail, Noyo, Mendocino County, California, 95420, United States of America""","18220","-123.815650611292","39.4083606","1","newport beach_and_sausalito.json","Mendocino Coast Botanical Gardens","""Gardens , Nature & Parks""","beautiful gardens & landscape & trails to the ocean & views & gift shop! several trails & pathways to choose from...there was a real nice plant sale when we were there...views of... read more","1","907","+1 707-964-4352","Fort Bragg","""18220 N Highway 1 , Fort Bragg , CA 95437-8773""","18220","","","https://www.tripadvisor.com/Attraction_Review-g32400-d116919-Reviews-Mendocino_Coast_Botanical_Gardens-Fort_Bragg_Mendocino_County_California.html","fort_bragg.json","""jSBsrZgr4I8,JxSoYMymRRA,77-CzTwg55I""","100"
"newport beach pier","footway","1","""Newport Pier, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America""","92663","-117.930093925516","33.60675105","2","""long beach_and_newport beach.json,los angeles_and_newport beach.json""","Newport Beach Pier","""Piers & Boardwalks , Points of Interest & Landmarks , Sights & Landmarks""","It was kind of neat to walk out onto the pier and to see all the people fishing (one person caught a stingray while we were there). It broke up our day of stopping at the shops... read more","9","153","","Newport Beach","""Newport Beach , CA""","","-117.92944","33.6170092","https://www.tripadvisor.com/Attraction_Review-g32780-d6654058-Reviews-Newport_Beach_Pier-Newport_Beach_California.html","newport_beach.json","""DnRpNNvPpsM,zdUTGVMok74,YGwULCpqinA""","100"
"mission san luis rey","trunk","4","""San Luis Rey Mission Expressway, Oceanside, San Diego County, California, 92057, United States of America""","92057","-117.3235506","33.22648","39","""beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,bakersfield_and_santa monica.json,bakersfield_and_temecula.json,berkeley_and_san diego.json,beverly hills_and_san jose.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_pismo beach.json,carlsbad_and_sacramento.json,carlsbad_and_san diego.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,carlsbad_and_temecula.json,fresno_and_irvine.json,fresno_and_pasadena.json,fresno_and_santa monica.json,huntington beach_and_san bernardino.json,huntington beach_and_santa clarita.json,irvine_and_temecula.json,monterey_and_san diego.json,monterey_and_santa monica.json,newport beach_and_santa barbara.json,oakland_and_pasadena.json,oakland_and_santa monica.json,pasadena_and_sacramento.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,sacramento_and_santa monica.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san diego_and_san jose.json,san jose_and_temecula.json,san luis obispo_and_santa clarita.json,santa monica_and_temecula.json""","Mission San Luis Rey","""Specialty Museums , Museums""","i see the pics of the graveyard but what about the graveyard across the street that is fenced in on a dirt lot ? anybody know what that is about.","3","361","+1 760-757-3651","Oceanside","""4050 Mission Ave. , Oceanside , CA 92057""","92057","-117.319426225101","33.2324324","https://www.tripadvisor.com/Attraction_Review-g32815-d108660-Reviews-Mission_San_Luis_Rey-Oceanside_California.html","oceanside.json","""1PouQ-_DNRY,Xgjp42gWwL0,WMRsig7ywrY""","100"
"belmont park","theme_park","6","""Belmont Park, Ocean Front Walk, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America""","92109","-117.252157006201","32.7709175","14","""anaheim_and_san diego.json,avalon_and_san diego.json,bakersfield_and_san diego.json,berkeley_and_san diego.json,carlsbad_and_san diego.json,carlsbad_and_san jose.json,fresno_and_san diego.json,long beach_and_san diego.json,long beach_and_temecula.json,los angeles_and_san diego.json,monterey_and_san diego.json,riverside_and_san diego.json,san diego_and_san jose.json,san diego_and_stockton.json""","Belmont Park","","We had a great time! Took my tween and teen for an evening of fun while we were in town. If you're headed the Belmont Park and think you should invest in the wristbands for the... read more","51","509","18582289283","San Diego","""3146 Mission Blvd , San Diego , CA 92109-7767""","92109","","","https://www.tripadvisor.com/Attraction_Review-g60750-d104585-Reviews-Belmont_Park-San_Diego_California.html","san_diego.json","""pmSrxD5m4tY,fw1JcuNx7kU,CeboCW6sHZE""","100"
"orr hot springs","house","1","""Orr Hot Springs, 13201, Orr Springs Road, Montgomery, Mendocino County, California, 95482, United States of America""","13201","-123.3664173","39.230026","1","newport beach_and_sausalito.json","Orr Hot Springs","","""Very popular with the local community, Orr Hot Springs is laid back, with friendly staff and beautiful natural surroundings. One can be in the middle of the pool and still... read more""","7","49","707-462 6277","Ukiah","""13201 Orr Springs Rd , Ukiah , CA""","13201","","","https://www.tripadvisor.com/Attraction_Review-g33203-d104973-Reviews-Orr_Hot_Springs-Ukiah_Mendocino_County_California.html","ukiah.json","""O5mLnWTWr04,SeFo_n_aelA,z45-7_Yu4mA""","100"
"santa barbara island","island","2","""Santa Barbara Island, Santa Barbara County, California, United States of America""","","-119.035170860285","33.4768687","3","""avalon_and_san bernardino.json,avalon_and_malibu.json,santa ana_and_santa barbara.json""","Santa Barbara Island","""“ Worth the boatride over ” Reviewed January 25, 2012 It's a beautiful place to see in nature. I've seen the island as part of a whale watch and tour. If you get a chance to visit this island, I would take it. Helpful? 3 Thank rita2seahorse Report""","","7","","","Channel Islands National Park","","","","","https://www.tripadvisor.com/Attraction_Review-g143019-d555352-Reviews-Santa_Barbara_Island-Channel_Islands_National_Park_California.html","channel_islands_national_park.json","""3qCq5pG5hPY,qCoiVMXE_cI,FB0K8tgQ8K4""","100"
"griffith park","service","12","""Griffith Park, Citrus Heights, Sacramento County, California, 95621, United States of America""","95621","-121.3121659","38.68813","30","""beverly hills_and_sausalito.json,berkeley_and_los angeles.json,berkeley_and_huntington beach.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,big bear lake_and_san jose.json,fremont_and_los angeles.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_santa ana.json,los angeles_and_napa.json,los angeles_and_oakland.json,los angeles_and_sacramento.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,monterey_and_san diego.json,newport beach_and_oakland.json,newport beach_and_san jose.json,newport beach_and_stockton.json,pasadena_and_san francisco.json,sacramento_and_santa ana.json,santa ana_and_stockton.json""","Griffith Park","Nature & Parks","This park is huge. We visited during the week and it did not seem to crowded. We parked on the hill by Griffith Observatory and were able to hike around. Great views of the... read more","7","""2,251""","+1 323-913-4688","Los Angeles","""4730 Crystal Springs Dr , Los Angeles , CA 90027-1401""","90027","","","https://www.tripadvisor.com/Attraction_Review-g32655-d129312-Reviews-Griffith_Park-Los_Angeles_California.html","los_angeles.json","""A_D2MOIz-qs,f5XT7DAuB6s,8LOdIIMHeDc""","100"
"downtown historic district","proposed","1","""Downtown San Jose, East Santa Clara Street, Historic District, Japantown, San Jos��, Santa Clara County, California, 95116, United States of America""","95116","-121.890106","37.3362112","1","avalon_and_monterey.json","Downtown Historic District","","""Downtown Historic distric is very similar to downtown miami, mostly office building other than the staple center and grammy's museum. it is still very nice to go see if you happen... read more""","92","159","","Los Angeles","""Los Angeles , CA""","","-118.2439408","34.0543942","https://www.tripadvisor.com/Attraction_Review-g32655-d1231268-Reviews-Downtown_Historic_District-Los_Angeles_California.html","los_angeles.json","""qa0esI2JfS0,zFnyq3h6ZkU,KwWmWhpRrlo""","100"
"silver strand state beach","park","1","""Silver Strand State Beach, Bayshore Bikeway, Crown Island, Coronado, San Diego County, California, 91910, United States of America""","91910","-117.141384510521","32.636022","1","avalon_and_santa barbara.json","Silver Strand State Beach","""Beaches , State Parks , Outdoor Activities , Nature & Parks""","I no longer live in Southern CA but I did grow up here so I have been to all of the beaches. They all have their own personalities and micro-cultures but the sand and waves are... read more","3","306","+1 619-435-5184","Coronado","""5000 Highway 75 , Coronado , CA 92118-3299""","92118","","","https://www.tripadvisor.com/Attraction_Review-g32250-d116323-Reviews-Silver_Strand_State_Beach-Coronado_California.html","coronado.json","""EeHilgfJXew,3ZPw2JhMMDo,A1oNJ3c0lu8""","100"
"south coast plaza","mall","19","""South Coast Plaza, Bear Street, Costa Mesa, Orange County, California, 92704, United States of America""","92704","-117.889168433903","33.6907283","85","""anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_newport beach.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_santa ana.json,anaheim_and_santa clarita.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_big bear lake.json,avalon_and_fresno.json,avalon_and_oakland.json,avalon_and_riverside.json,avalon_and_san bernardino.json,anaheim_and_santa monica.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,avalon_and_santa barbara.json,avalon_and_santa monica.json,bakersfield_and_newport beach.json,bakersfield_and_sausalito.json,berkeley_and_huntington beach.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_newport beach.json,beverly hills_and_san jose.json,big bear lake_and_oakland.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,carlsbad_and_pasadena.json,carlsbad_and_santa barbara.json,fremont_and_huntington beach.json,fremont_and_newport beach.json,fremont_and_santa ana.json,fresno_and_huntington beach.json,fresno_and_long beach.json,fresno_and_pasadena.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa monica.json,huntington beach_and_irvine.json,huntington beach_and_newport beach.json,huntington beach_and_oakland.json,huntington beach_and_san bernardino.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa ana.json,huntington beach_and_santa clarita.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_los angeles.json,irvine_and_santa ana.json,los angeles_and_san diego.json,los angeles_and_santa ana.json,malibu_and_newport beach.json,monterey_and_pasadena.json,monterey_and_san diego.json,monterey_and_newport beach.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_santa ana.json,newport beach_and_santa barbara.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,pasadena_and_san jose.json,pasadena_and_santa ana.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,sacramento_and_santa ana.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san diego_and_santa ana.json,newport beach_and_sausalito.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json,santa barbara_and_stockton.json""","South Coast Plaza","""Shopping Malls , Shopping""","""While Fashion Island in Newport has more cache, south coast plaza has most anything you would want in food, beverages and consumer goods Easy access and much parking Holiday... read more""","1","352","+1 800-782-8888","Costa Mesa","""3333 Bristol St , Costa Mesa , CA 92626-1873""","92626","","","https://www.tripadvisor.com/Attraction_Review-g32253-d127357-Reviews-South_Coast_Plaza-Costa_Mesa_California.html","costa_mesa.json","""DM3E3Kd5b_c,RyPi0GCWZ48,Fwe1y_S6YGg""","100"
"ghirardelli","residential","1","""Ghirardelli Court, Gold River, Sacramento County, California, 95670, United States of America""","95670","-121.2537289","38.633572","1","los angeles_and_sausalito.json","Ghiradelli","","Fun place to visit and see chocolate getting made. The drinks and desserts available are delicious but extremely rich (not sure when I had that much sugar last). Worth stopping in!","6","5","+1.650.821.0651","South San Francisco","""SFO, Highway 101 , Terminal 3, Boarding Area F, Food Court , South San Francisco , CA 94128""","94128","","","https://www.tripadvisor.com/Attraction_Review-g33116-d10492846-Reviews-Ghiradelli-South_San_Francisco_California.html","south_san_francisco.json","""DucyQ27D9Ic,YmiSveAwb-0,2peW1d-Pq2E""","100"
"thornton winery","attraction","2","""Thornton Winery, Camino de Oscar, Mendicino, Vintage Hills, Riverside County, California, 92592, United States of America""","92592","-117.088984446851","33.51974745","4","""avalon_and_temecula.json,irvine_and_temecula.json,malibu_and_napa.json,malibu_and_temecula.json""","Thornton Winery","","We went to the tasting room and sampled a red wine flight which we enjoyed. We accidentally knocked over a glass spilling the wine and breaking the glass. The staff were so... read more","23","145","+1 909-699-3021","Temecula","""32575 Rancho California Rd , Temecula , CA 92591-4935""","32575","","","https://www.tripadvisor.com/Attraction_Review-g33165-d124560-Reviews-Thornton_Winery-Temecula_California.html","temecula.json","""rjpM_T8-GtU,TS-kA0lARIw,s7v7lKIuVJg""","100"
