City,Attraction,URL,ReviewCount,Address,ContactNo,Review,Rank,Total Attractions,KnownFor
Glen Ellen,Sonoma Valley Regional Park,https://www.tripadvisor.com/Attraction_Review-g32429-d8352798-Reviews-Sonoma_Valley_Regional_Park-Glen_Ellen_Sonoma_County_California.html,10,"13630 Hwy 12 , Glen Ellen , CA 95442-9619",+1 707-565-2041,,#18,29,
Glen Ellen,Suttonfield Lake,https://www.tripadvisor.com/Attraction_Review-g32429-d6981198-Reviews-Suttonfield_Lake-Glen_Ellen_Sonoma_County_California.html,4,"Glen Ellen , CA 95442",,,#21,29,
Glen Ellen,Jack London Village,https://www.tripadvisor.com/Attraction_Review-g32429-d3679941-Reviews-Jack_London_Village-Glen_Ellen_Sonoma_County_California.html,16,"14301 Arnold Dr , Glen Ellen , CA 95442",,,#17,29,
Glen Ellen,Lasseter Family Winery,https://www.tripadvisor.com/Attraction_Review-g32429-d7986830-Reviews-Lasseter_Family_Winery-Glen_Ellen_Sonoma_County_California.html,15,"1 Vintage Ln , Glen Ellen , CA 95442-9415",17079332800,,#11,29,
Vacaville,Nut Tree Family Park,https://www.tripadvisor.com/Attraction_Review-g33208-d639108-Reviews-Nut_Tree_Family_Park-Vacaville_California.html,73,"1681 E Monte Vista Ave , Vacaville , CA 95688-3106",707-447-6000,,#4,14,
Vacaville,Vacaville Vintage Market,https://www.tripadvisor.com/Attraction_Review-g33208-d8326034-Reviews-Vacaville_Vintage_Market-Vacaville_California.html,4,"101 West St , Vacaville , CA 95688-3851",925-978-6989,,#7,14,
Vacaville,Nut Tree Plaza,https://www.tripadvisor.com/Attraction_Review-g33208-d4293034-Reviews-Nut_Tree_Plaza-Vacaville_California.html,17,"E. Monte Vista Ave , Vacaville , CA",,,#3,14,
Concord,Contra Costa Canal Trail,https://www.tripadvisor.com/Attraction_Review-g32243-d3608263-Reviews-Contra_Costa_Canal_Trail-Concord_California.html,44,"3215 Willow Pass Rd , Concord , CA 94519-2314",510 733-6991,,#2,20,
Concord,Todos Santos Plaza,https://www.tripadvisor.com/Attraction_Review-g32243-d10713994-Reviews-Todos_Santos_Plaza-Concord_California.html,10,"2151 Salvio Street , Concord , CA 94520",,,#5,20,
Concord,Newhall Community Park,https://www.tripadvisor.com/Attraction_Review-g32243-d4039263-Reviews-Newhall_Community_Park-Concord_California.html,22,"Newhall Parkway , Concord , CA",,,#4,20,
Concord,Sleep Train Pavilion,https://www.tripadvisor.com/Attraction_Review-g32243-d3372420-Reviews-Sleep_Train_Pavilion-Concord_California.html,38,"2000 Kirker Pass Rd , Concord , CA 94521-1642",(925) 676-8742,,#3,20,
Concord,Markham Nature Park and Arboretum,https://www.tripadvisor.com/Attraction_Review-g32243-d7290074-Reviews-Markham_Nature_Park_and_Arboretum-Concord_California.html,11,"1202 La Vista Ave , Concord , CA 94521-2624",925-681-2968,,#7,20,
Concord,Waterworld California,https://www.tripadvisor.com/Attraction_Review-g32243-d1786923-Reviews-Waterworld_California-Concord_California.html,74,"1950 Waterworld Pkwy , Concord , CA 94520-2602",(925) 609-1364,,#6,20,
Concord,Port Chicago Naval Magazine National Memorial,https://www.tripadvisor.com/Attraction_Review-g32243-d734958-Reviews-Port_Chicago_Naval_Magazine_National_Memorial-Concord_California.html,7,"Port Chicago Hwy. , Concord , CA",(925) 838-0249,,#8,20,
Citrus Heights,Citrus Town Center,https://www.tripadvisor.com/Attraction_Review-g32212-d7298521-Reviews-Citrus_Town_Center-Citrus_Heights_California.html,9,"7925 Greenback Ln , Citrus Heights , CA 95610-6907",+(1)9166960416,,#1,5,
Citrus Heights,Sanctuary Salon & Spa,https://www.tripadvisor.com/Attraction_Review-g32212-d8661225-Reviews-Sanctuary_Salon_Spa-Citrus_Heights_California.html,5,"5925 Birdcage Centre Ln , Citrus Heights , CA 95610-8007",+1 916-967-1212,,#3,5,
Citrus Heights,Corner Pocket,https://www.tripadvisor.com/Attraction_Review-g32212-d5840375-Reviews-Corner_Pocket-Citrus_Heights_California.html,2,"7777 Sunrise Blvd Ste 1400 , Citrus Heights , CA 95610-2397",916-722-2582,,#4,5,
Citrus Heights,The Couch,https://www.tripadvisor.com/Attraction_Review-g32212-d5841966-Reviews-The_Couch-Citrus_Heights_California.html,8,"7431 Madison Ave , Citrus Heights , CA 95610-7407",916-961-3342,,#2,5,
Hawthorne,Star Helicopters,https://www.tripadvisor.com/Attraction_Review-g32478-d3228778-Reviews-Star_Helicopters-Hawthorne_California.html,16,"3670 W 120th St , Hawthorne Municipal Airport , Hawthorne , CA 90250-3245",+1 310-363-7849,"??? Five star tour ??? We booked with this company based on trip advisor reviews and are very thankful we did. They were wonderful!!! Our pilot, Jimmy was terrific and the tour was simply fabulous. I... read more Reviewed September 13, 2016 Lynn K , Dallas, Texas Add Photo Write a Review 16 Reviews from our TripAdvisor Community Which Hawthorne hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * Read reviews that mention: All reviews smooth ride an awesome experience downtown la santa monica hollywood sign pilot lax coastline safety photos tour Review tags are currently only available for English language reviews. Read reviews in English Go back Traveler rating Excellent (15) Very good (0) Average (0) Poor (0) Terrible (0) Traveler type Families (4) Couples (2) Solo (2) Business (1) Friends (3) Time of year Mar-May (4) Jun-Aug (5) Sep-Nov (3) Dec-Feb (3) Language All languages English (15) Italian (1) Showing 15: English reviews Clear all Start your review of Star Helicopters Click to rate Lynn K Dallas, Texas Level Contributor 9 reviews 6 helpful votes ??? Five star tour ??? Reviewed September 13, 2016 We booked with this company based on trip advisor reviews and are very thankful we did. They were wonderful!!! Our pilot, Jimmy was terrific and the tour was simply fabulous. I would do this again in a minute! Helpful? Thank Lynn K Report Keith H, Manager at Star Helicopters, responded to this review Thanks, Lynn! There's nothing better than an adventure with the ones you love, so thanks for choosing us to make it happen for you! I hope you'll join us again in the future! All the best, Keith Harter CEO More cortavediva Nanuet, New York Level Contributor 24 reviews 5 attraction reviews 43 helpful votes ??? Great experience!!!!!!! ??? Reviewed July 20, 2016 Went because we had time to kill. The reviews here were on point. We didnt have an appointment and still they made it happen for us. A really nice pilot greeted us at the door and arranged for the tour. Theres plenty to choose from, starting with the mini tour for 90 p/p. We opted for the 30 min 300... More Helpful? Thank cortavediva Report Keith H, Manager at Star Helicopters, responded to this review Let's be honest -- anything beats the traffic in LA! But seriously, I'm thrilled to hear you took a chance and chose to spend your downtime in a helicopter with us. I'll be sure to pass your compliments along to Alex. I'm sure he'll be excited to hear how memorable the experience was for you both. I hope you'll return... More Fun_traveler1380 New York City, New York Level Contributor 15 reviews 4 attraction reviews 12 helpful votes ??? FUN!! ??? Reviewed June 6, 2016 I was in LA for a wedding a few weeks ago with a friend of mine. We had plenty of time the day of the wedding to fit in an adventure. We chose the short tour with Star Helicopters called the ""Sneak Preview"" tour. It was short but I was just FINE with that. I was a little nervous flying... More Helpful? 1 Thank Fun_traveler1380 Report Keith H, Manager at Star Helicopters, responded to this review It can be a little intimidating to fly in a helicopter for the first time, but I'm glad to hear your pilot turned your leap of faith into an exciting ride! Thanks for letting Trip Advisor know, too. Stop by the next time you're in town! All the best, Keith Harter CEO More lizy213 Los Angeles, California 1 review ??? LOVED EVERY MINUTE OF IT!!! ??? Reviewed May 11, 2016 via mobile I just finally got around to writting a review! I purchased this ride as a surprise birthday gift for my husband! And i must say this tour was breathtaking! I've lived most of my life in LA and never seen LA from the top! It was an awesome experience and my husband is already talking on going on a ride... More Helpful? Thank lizy213 Report Keith H, Manager at Star Helicopters, responded to this review You haven't really seen LA until you've seen it from the top. I'm glad we could show you your city from a new vantage point! Thanks for taking the time to let us know how much you and your husband loved the flight. We hope we get to see you all return soon with your nine-year-old -- we're sure they'll... More sirsteve1960 Cairns queensland Level Contributor 19 reviews 7 attraction reviews 11 helpful votes ??? Spotting flight ??? Reviewed February 24, 2016 Was very exited to do a 2 hour plane spotting trip over LAX in a R-22 chopper, and was lucky to get Paul , who understood exactly what i wanted from the flight, and had the aircraft in the right place at the right time, so any bad photos are down to me. ! I you ever wanted to do... More Helpful? Thank sirsteve1960 Report Keith H, Manager at Star Helicopters, responded to this review I'm so happy to hear you enjoyed your flight with Paul -- he'll surely appreciate the kind words! Can't wait to see you again in 2017. Looking forward to it! Take care, Keith Harter CEO More teachlove21 Hawthorne, California Level Contributor 15 reviews 3 attraction reviews ??? Night tour ??? Reviewed December 10, 2015 Took my husband and my two year old daughter for a night tour of LA and it was a lot of fun! Our pilot pointed out all the sights. Can't wait to go go again. Helpful? Thank teachlove21 Report Keith H, Manager at Star Helicopters, responded to this review So happy to hear you, your husband, and your daughter enjoyed the flight with us! We'll be ready to take you for a tour anytime, so come see us again soon. Take care, Keith Harter CEO More Bsugden Level Contributor 22 reviews 4 attraction reviews 10 helpful votes ??? Friendly staff and awesome ride ??? Reviewed November 24, 2015 Used these guys last week for an aerial photo run of DT LA. The staff was friendly and accommodating and made me feel really relaxed for my first time in a helicopter. They were also punctual and just pleasant to hang out with. Highly recommended! Helpful? Thank Bsugden Report Keith H, Manager at Star Helicopters, responded to this review I'm so happy to hear enjoyed your first helicopter ride with us and hopefully got some great shots of DT LA! We're happy to take you for a ride anytime, so come see us again soon. Take care, Keith Harter CEO More Debra M Stokenchurch, United Kingdom Level Contributor 26 reviews 12 attraction reviews 15 helpful votes ??? Wow!!!! ??? Reviewed August 23, 2015 We have no regrets at all in booking this trip with Star Helicopters. The memories of this flight will stay with us for a very very long time. There was a small hitch when we turned up, as we were doubled booked. However, the gentleman soon sorted this out and we went out as originally arranged. We had booked the... More Helpful? Thank Debra M Report Keith H, Manager at Star Helicopters, responded to this review Seriously, Debra, thank you very much for this detailed and amazing feedback of our place. Sorry to hear there was a bit of double booking on our end, but I'm so happy everything worked out. Booking a tour like this is a big commitment, so it's great to know this was well worth it for you and your group! If... More calalik Fayetteville, Arkansas Level Contributor 14 reviews 6 attraction reviews 4 helpful votes ??? Amazing experience! ??? Reviewed July 12, 2015 We took the half-hour Los Angels tour and absolutely loved it! Very friendly and knowledgeable stuff. Helpful? Thank calalik Report Keith H, Manager at Star Helicopters, responded to this review So happy to hear you loved your tour! Next time you're in the area, come on by and say hello! All the best. - Keith Harter CEO More LifesaSnap Lawndale Level Contributor 114 reviews 40 attraction reviews 54 helpful votes ??? Let's Fly Away ??? Reviewed May 19, 2015 Ever thought about a helicopter tour? This is one of the best companies I have flown. It is pricy, but certainly worth a special celebration or a very special gift. There are set tour packages that offer a variety of viewing options in the LA basin. You can customize your tour, but I would strong suggest that you discuss this... More Helpful? 1 Thank LifesaSnap Report Keith H, Manager at Star Helicopters, responded to this review Wow! Seriously, thanks so much for the thorough and descriptive feedback about your experience with us. The kind words about our company and our tours are very much appreciated and will only help motivate us for the future. If you're ever back in the area, come on over and join us again anytime! Take care, Keith Harter CEO More Previous Next 1 2 Updating list... Travelers who viewed Star Helicopters also viewed Beach Boys Monument 29 Reviews Hawthorne, CA Pacific Blue Air 70 Reviews Los Angeles, CA Hawthorne Museum - Hawthorne Historical Society 4 Reviews Hawthorne, CA Freedom Tours & Charters - LA Tours 95 Reviews Los Angeles, CA All things to do in Hawthorne (7) Been to Star Helicopters? Share your experiences! Write a Review Add Photos & Videos Is This Your TripAdvisor Listing? Own or manage this property? Claim your listing for free to respond to reviews, update your profile and much more. Claim Your Listing Questions & Answers Here's what previous visitors have asked, with answers from representatives of Star Helicopters and other visitors 1 question Ask a question Mark C Hi, on Oct. 10, 2014, I shared the cost of a flight with two other guys, the one who set up the flight was from Australia or England or something. We flew in an R44 and flew over LAX for an hour or so doing some awesome plane spotting. It was right after the president was in town so we had to wait out a ground stop. I can't remember the pilot's name but he was a great guy and I'd like to fly with him again in November when I'm there. Do you have any way to figure out who I flew with? Thanks! Mark Carr 1 month ago Problem with this question? Show all answers (3) Answer See all questions (1) Questions? Get answers from Star Helicopters staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Will you pick up and drop off at my hotel? I have a family of 7. Can your tour accommodate all of us together? How should I dress for this tour? Near Star Helicopters Top-rated Attractions Nearby 135 Reviews The Forum 81 Reviews Automobile Driving Museum 29 Reviews Beach Boys Monument Browse all attractions Top-rated Restaurants Nearby 13 Reviews Eureka Tasting Kitchen 12 Reviews Ricos Tacos El Tio 13 Reviews Coni???Seafood Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#1,7,
Hawthorne,Beach Boys Monument,https://www.tripadvisor.com/Attraction_Review-g32478-d806158-Reviews-Beach_Boys_Monument-Hawthorne_California.html,29,"3701 W 119th St , Hawthorne , CA 90250-3217",,,#2,7,
Hollister,Casa de Fruta,https://www.tripadvisor.com/Attraction_Review-g32498-d9581524-Reviews-Casa_de_Fruta-Hollister_California.html,27,"10021 Pacheco Pass Hwy , Hollister , CA 95023-9541",(408) 842-7282,,#1,20,
Hollister,"Adventure Center Skydiving, Inc",https://www.tripadvisor.com/Attraction_Review-g32498-d1450378-Reviews-Adventure_Center_Skydiving_Inc-Hollister_California.html,17,"30 Airport Dr Ste B , 24 Ledgewood Dr. , Hollister , CA 95023-2574",800-fun-jump,,#3,20,
Hollister,Bay Area Glider Rides,https://www.tripadvisor.com/Attraction_Review-g32498-d8758267-Reviews-Bay_Area_Glider_Rides-Hollister_California.html,1,"90 Skylane Dr , Suit 101 , Hollister , CA 95023-2549",+(1)(888) 467-6276,,#14,20,
Hollister,Swank Farms,https://www.tripadvisor.com/Attraction_Review-g32498-d8720576-Reviews-Swank_Farms-Hollister_California.html,3,"2600 San Felipe Rd , Hollister , CA 95023-9437",+1 831-637-4704,,#9,20,
Hollister,San Benito County Historical Park,https://www.tripadvisor.com/Attraction_Review-g32498-d10261768-Reviews-San_Benito_County_Historical_Park-Hollister_California.html,1,"8300 Airline Hwy, Hollister CA , Hollister , CA",8319029349,,#13,20,
Hollister,Johnny's Bar & Grill,https://www.tripadvisor.com/Attraction_Review-g32498-d5835432-Reviews-Johnny_s_Bar_Grill-Hollister_California.html,3,"526 San Benito St , Hollister , CA 95023-3913",(831) 637-3683,,#6,20,
Hollister,Panoche Hills Ecological Reserve,https://www.tripadvisor.com/Attraction_Review-g32498-d2433671-Reviews-Panoche_Hills_Ecological_Reserve-Hollister_California.html,3,"75971 Little Panoche Rd , Hollister , CA 95023",(831) 630-5000,,#8,20,
Hollister,San Benito Bene,https://www.tripadvisor.com/Attraction_Review-g32498-d2258329-Reviews-San_Benito_Bene-Hollister_California.html,3,"615 San Benito St Ste B , Hollister , CA 95023-3988",831 638-1188,,#7,20,
Hollister,Pietra Santa Winery,https://www.tripadvisor.com/Attraction_Review-g32498-d5988035-Reviews-Pietra_Santa_Winery-Hollister_California.html,11,"10034 Cienega Rd , Hollister , CA 95023-9617",831-636-1991,,#2,20,
Hollister,Calera Wine Company,https://www.tripadvisor.com/Attraction_Review-g32498-d8355580-Reviews-Calera_Wine_Company-Hollister_California.html,7,"11300 Cienega Rd , Hollister , CA 95023-9159",(831) 637-9170,,#4,20,
Hollister,DeRose Vineyards,https://www.tripadvisor.com/Attraction_Review-g32498-d8355532-Reviews-DeRose_Vineyards-Hollister_California.html,3,"9970 Cienega Rd , Hollister , CA 95023-9617",(831) 636-9143,,#12,20,
Claremont,Folk Music Center,https://www.tripadvisor.com/Attraction_Review-g32215-d4890263-Reviews-Folk_Music_Center-Claremont_California.html,24,"220 Yale Ave , Claremont , CA 91711-4773",(909) 624-2928,,#3,20,
Claremont,Claremont Heritage The Garner House,https://www.tripadvisor.com/Attraction_Review-g32215-d6571682-Reviews-Claremont_Heritage_The_Garner_House-Claremont_California.html,7,"840 N Indian Hill Blvd , Claremont , CA 91711-4352",909-621-0848,,#7,20,
Claremont,Claremont Station - Historic 1927 Santa Fe Depot,https://www.tripadvisor.com/Attraction_Review-g32215-d4938807-Reviews-Claremont_Station_Historic_1927_Santa_Fe_Depot-Claremont_California.html,11,"200 W 1st St , Claremont , CA 91711-4731",,,#6,20,
Claremont,Russian Village District,https://www.tripadvisor.com/Attraction_Review-g32215-d6571595-Reviews-Russian_Village_District-Claremont_California.html,9,"South Mills Avenue , Claremont , CA",,,#10,20,
Claremont,Claremont Hills Wilderness Park,https://www.tripadvisor.com/Attraction_Review-g32215-d4942545-Reviews-Claremont_Hills_Wilderness_Park-Claremont_California.html,32,"4031 N Mills Ave , Claremont , CA 91711-1406",,,#2,20,
Thermal,Oasis Date Gardens,https://www.tripadvisor.com/Attraction_Review-g33172-d653880-Reviews-Oasis_Date_Gardens-Thermal_California.html,35,"59-111 Hwy 111 , Thermal , CA 92274",800 827 8017,,#1,2,
Lakeport,Eyes of the Wild,https://www.tripadvisor.com/Attraction_Review-g32602-d6539179-Reviews-Eyes_of_the_Wild-Lakeport_Lake_County_California.html,20,"Lakeport , CA 95453",+1 707-262-2401,,#1,7,
Lakeport,Lakeport Cinema,https://www.tripadvisor.com/Attraction_Review-g32602-d6353329-Reviews-Lakeport_Cinema-Lakeport_Lake_County_California.html,4,"52 Soda Bay Rd , Lakeport , CA 95453-5609",7072634144,,#5,7,
Lakeport,Historic Courthouse Museum,https://www.tripadvisor.com/Attraction_Review-g32602-d2553004-Reviews-Historic_Courthouse_Museum-Lakeport_Lake_County_California.html,19,"255 N Main St , Lakeport , CA 95453-4830",,,#3,7,
Lakeport,Library Park,https://www.tripadvisor.com/Attraction_Review-g32602-d7187628-Reviews-Library_Park-Lakeport_Lake_County_California.html,20,"225 Park St , Lakeport , CA 95453-4802",,,#2,7,
Lakeport,Disney's Boat Rentals,https://www.tripadvisor.com/Attraction_Review-g32602-d4764810-Reviews-Disney_s_Boat_Rentals-Lakeport_Lake_County_California.html,9,"401 S Main St , Lakeport , CA 95453-5315",(707) 263-0969,,#4,7,
Gilroy,Christmas Hill Park,https://www.tripadvisor.com/Attraction_Review-g32428-d4584910-Reviews-Christmas_Hill_Park-Gilroy_California.html,23,"7050 Miller Ave , Gilroy , CA 95020",,,#3,22,
Gilroy,Pacheco Pass Farmers Market,https://www.tripadvisor.com/Attraction_Review-g32428-d3668409-Reviews-Pacheco_Pass_Farmers_Market-Gilroy_California.html,3,"5600 Pacheco Pass Hwy , Gilroy , CA 95020-9594",8316309244,,#13,22,
Gilroy,Martin Ranch Winery,https://www.tripadvisor.com/Attraction_Review-g32428-d3836709-Reviews-Martin_Ranch_Winery-Gilroy_California.html,6,"6675 Redwood Retreat Rd , Gilroy , CA 95020-8818",+1 408-842-9197,,#8,22,
Gilroy,Rapazzini Winery,https://www.tripadvisor.com/Attraction_Review-g32428-d4313754-Reviews-Rapazzini_Winery-Gilroy_California.html,15,"4350 Monterey Rd , Gilroy , CA 95020-8029",408-842-5649,,#11,22,
Gilroy,Fortino Winery,https://www.tripadvisor.com/Attraction_Review-g32428-d4228085-Reviews-Fortino_Winery-Gilroy_California.html,15,"4525 Hecker Pass Rd , Gilroy , CA 95020-8807",408-842-3305,,#5,22,
Gilroy,Satori Cellars,https://www.tripadvisor.com/Attraction_Review-g32428-d4340302-Reviews-Satori_Cellars-Gilroy_California.html,8,"2100 Buena Vista Ave , Gilroy , CA 95020-9702",408-848-5823,,#6,22,
Gilroy,Sarah's Vineyard,https://www.tripadvisor.com/Attraction_Review-g32428-d8555772-Reviews-Sarah_s_Vineyard-Gilroy_California.html,7,"4005 Hecker Pass Rd , Gilroy , CA 95020-8843",+(1)4088471947,,#10,22,
Gilroy,Hecker Pass Winery,https://www.tripadvisor.com/Attraction_Review-g32428-d587011-Reviews-Hecker_Pass_Winery-Gilroy_California.html,10,"4605 Hecker Pass Rd , Gilroy , CA 95020-8808",(408) 842-8755,,#7,22,
Gilroy,Solis Winery,https://www.tripadvisor.com/Attraction_Review-g32428-d2549081-Reviews-Solis_Winery-Gilroy_California.html,10,"3920 Hecker Pass Rd , Gilroy , CA 95020-8805",408-847-6306,,#9,22,
Gilroy,Kirigin Cellars Winery,https://www.tripadvisor.com/Attraction_Review-g32428-d3612432-Reviews-Kirigin_Cellars_Winery-Gilroy_California.html,20,"11550 Watsonville Rd , Gilroy , CA 95020-9434",408 847 8827,,#4,22,
Fair Oaks,Shadow Glen Riding Stables,https://www.tripadvisor.com/Attraction_Review-g32365-d128359-Reviews-Shadow_Glen_Riding_Stables-Fair_Oaks_California.html,9,"4854 Main Ave , Fair Oaks , CA 95628-6518",+1 916-989-1826,,#1,3,
Fair Oaks,River Rat Raft & Bike,https://www.tripadvisor.com/Attraction_Review-g32365-d4737185-Reviews-River_Rat_Raft_Bike-Fair_Oaks_California.html,3,"4053 Pennsylvania Ave , Fair Oaks , CA 95628-7419",+1 916-966-6777,,#2,3,
Rio Dell,Rio Dell-Scotia Chamber of Commerce,https://www.tripadvisor.com/Attraction_Review-g32969-d6781723-Reviews-Rio_Dell_Scotia_Chamber_of_Commerce-Rio_Dell_Humboldt_County_California.html,5,"406 Wildwood Ave , Rio Dell , CA 95562-1539",+(1)707-506-5081,,#1,1,
Pleasant Hill,See's Candies,https://www.tripadvisor.com/Attraction_Review-g32903-d7313511-Reviews-See_s_Candies-Pleasant_Hill_California.html,27,"1005 Contra Costa Blvd , Pleasant Hill , CA 94523-1923",925-687-8343,,#1,5,
Pleasant Hill,Soldiers Memorial Monument,https://www.tripadvisor.com/Attraction_Review-g32903-d10449917-Reviews-Soldiers_Memorial_Monument-Pleasant_Hill_California.html,6,"Boyd Rd at Contra Costa Blvd , Pleasant Hill , CA 94523",,,#2,5,
Pleasant Hill,Century Theatre,https://www.tripadvisor.com/Attraction_Review-g32903-d10450596-Reviews-Century_Theatre-Pleasant_Hill_California.html,4,"125 Crescent Drive , Pleasant Hill , CA 94523",9252881371,,#4,5,
Compton,Celebrity Helicopters Day Tours,https://www.tripadvisor.com/Attraction_Review-g32242-d2020877-Reviews-Celebrity_Helicopters_Day_Tours-Compton_California.html,21,"961 W Alondra Blvd , Compton , CA 90220-3528",877 999-2099,"??? Disappointing ??? We were excited about this tour but was left disappointed. Service was bad. Complimentary snack basket was poor and our driver was not sociable at all. We were all dressed to the... read more Reviewed March 21, 2015 Jennifer G , Hamilton, Bermuda",#1,2,
Compton,Dominguez Rancho Adobe Museum,https://www.tripadvisor.com/Attraction_Review-g32242-d3335280-Reviews-Dominguez_Rancho_Adobe_Museum-Compton_California.html,5,"18127 S Alameda St , Compton , CA 90220-5708",(310) 603-0088,,#2,2,
Ch,Harkins Theatre,https://www.tripadvisor.com/Attraction_Review-g32206-d8775003-Reviews-Harkins_Theatre-Chino_Hills_California.html,15,"3070 Chino Ave , Chino Hills , CA 91709-3544",-9545,,#3,8,
Ch,Buddhist Temple of Chino Hills,https://www.tripadvisor.com/Attraction_Review-g32206-d10670985-Reviews-Buddhist_Temple_of_Chino_Hills-Chino_Hills_California.html,2,"2948 Chino Hills Parkway , Chino Hills , CA 91709",-11016,,#4,8,
Ch,Chaparral 300,https://www.tripadvisor.com/Attraction_Review-g32206-d8460192-Reviews-Chaparral_300-Chino_Hills_California.html,4,"4191 Chino Hills Pkwy , Chino Hills , CA 91709-2614",(909) 342-7889,,#6,8,
Ch,The Shoppes at Chino Hills,https://www.tripadvisor.com/Attraction_Review-g32206-d6838846-Reviews-The_Shoppes_at_Chino_Hills-Chino_Hills_California.html,40,"13920 City Center Dr Ste 200 , Chino Hills , CA 91709-5433",(866) 909-0305,,#2,8,
Ch,Prado Regional Park,https://www.tripadvisor.com/Attraction_Review-g32205-d2540152-Reviews-Prado_Regional_Park-Chino_California.html,40,"16700 Euclid Ave , Chino , CA 91708-9298",,,#3,8,
Ch,Yanks Air Museum,https://www.tripadvisor.com/Attraction_Review-g32205-d2395023-Reviews-Yanks_Air_Museum-Chino_California.html,53,"7000 Merrill Ave Ste 35 , Chino , CA 91710-9084",(909) 597-1735,,#2,8,
Ch,Chino Youth Museum,https://www.tripadvisor.com/Attraction_Review-g32205-d1829541-Reviews-Chino_Youth_Museum-Chino_California.html,13,"13191 6th St , Chino , CA 91710-4106",(909) 334-3270,,#4,8,
Ch,Prado Equestrian Center,https://www.tripadvisor.com/Attraction_Review-g32205-d2409113-Reviews-Prado_Equestrian_Center-Chino_California.html,6,"16629 Johnson Ave , Chino , CA 91708-9333",(909) 597-5757,,#5,8,
Mecca,Ladder Canyon Trail,https://www.tripadvisor.com/Attraction_Review-g32700-d7386695-Reviews-Ladder_Canyon_Trail-Mecca_California.html,20,"Off Box Canyon Road , Mecca , CA",,,#1,3,
Mecca,International Banana Museum,https://www.tripadvisor.com/Attraction_Review-g32700-d4472619-Reviews-International_Banana_Museum-Mecca_California.html,29,"98775 Highway 111 , Mecca , CA 92254-5013",(619) 840-1429,,#2,3,
Mecca,Box Canyon Road,https://www.tripadvisor.com/Attraction_Review-g32700-d7648973-Reviews-Box_Canyon_Road-Mecca_California.html,10,"Canyon Rd , Mecca Hills Wilderness , Mecca , CA 92254-0151",(760) 833-7100,,#3,3,
Suisun City,Suisun Wildlife Center,https://www.tripadvisor.com/Attraction_Review-g33139-d1582028-Reviews-Suisun_Wildlife_Center-Suisun_City_California.html,10,"1171 Kellogg St , Suisun City , CA 94585-2808",707-429-4295,,#3,4,
Suisun City,Suisun City Marina and Boat Ramp,https://www.tripadvisor.com/Attraction_Review-g33139-d1582025-Reviews-Suisun_City_Marina_and_Boat_Ramp-Suisun_City_California.html,20,"800 Kellogg St , Suisun City , CA 94585-2806",707-429-2628,,#2,4,
Temecula,Old Town Temecula Community Theater,https://www.tripadvisor.com/Attraction_Review-g33165-d7351301-Reviews-Old_Town_Temecula_Community_Theater-Temecula_California.html,8,"42051 Main St , Temecula , CA 92590-2769",866-653-8696,,#48,86,
Anaheim,Grizzly River Run,https://www.tripadvisor.com/Attraction_Review-g29092-d8562873-Reviews-Grizzly_River_Run-Anaheim_California.html,32,"1313 Disneyland Drive , Grizzly Peak , Anaheim , CA",,"??? You'll get very wet!!! ??? Fantastic ride, a slow start then you are taken very high, only to work your way back down the river. The water is rough at the top And the splashes start, but in the first big... read more Reviewed 2 days ago tjfinch , Telford, United Kingdom via mobile",#31,147,
Temecula,Temecula Berry Company,https://www.tripadvisor.com/Attraction_Review-g33165-d4310574-Reviews-Temecula_Berry_Company-Temecula_California.html,22,"39700 Cantrell Rd , Temecula , CA 92591-7106",951 225-5552,,#34,86,
Temecula,Avensole Winery,https://www.tripadvisor.com/Attraction_Review-g33165-d10091442-Reviews-Avensole_Winery-Temecula_California.html,32,"34567 Rancho California Rd , Temecula , CA 92591-5056",+1 951-252-2003,,#18,86,
San Diego,Spanish Village Art Center,https://www.tripadvisor.com/Attraction_Review-g60750-d102783-Reviews-Spanish_Village_Art_Center-San_Diego_California.html,109,"1770 Village Pl , Balboa Park , San Diego , CA 92101-1651",619 233 9050,"??? Arts and Crafts ??? An interesting art centre with some artists in attendance. Some were friendly, talkative and helpful. Others ignore you. Lots of things to choose from if you are looking for a... read more Reviewed 1 week ago crusty56 , Prince George, Canada",#78,416,"Art Galleries , Museums , Shopping"
Temecula,Keyways Vineyard and Winery,https://www.tripadvisor.com/Attraction_Review-g33165-d276452-Reviews-Keyways_Vineyard_and_Winery-Temecula_California.html,34,"37338 De Portola Rd , Temecula , CA 92592-9024",1-877-539-9297,,#49,86,
Temecula,Frangipani Estate Winery,https://www.tripadvisor.com/Attraction_Review-g33165-d3669999-Reviews-Frangipani_Estate_Winery-Temecula_California.html,25,"39750 De Portola Rd , Temecula , CA 92592-9628",(951) 699-8845,,#42,86,
