youTubeLinkIds@sourceA,attraction_name@sourceA,attraction_knownFor@sourceA,attraction_reviewComment@sourceA,attraction_ranking@sourceA,attraction_no_of_reviews@sourceA,attraction_contact@sourceA,attraction_in@sourceA,attraction_address@sourceA,attraction_url@sourceA,attraction_in_file@sourceA,mention_name@sourceB,mention_popularity@sourceB,mention_longitude@sourceB,mention_latitude@sourceB,no_of_blogFiles@sourceB,Confidence
"H-KIrrWrVfQ,DdfWE1g5XYc,VTNyDUFGjkU",El Pescador State Beach,,"Free parking on PCH, paid parking lot at entrance. Steep 5 - 10 min walk down to bottom of hill, not for the physically challenged. Had to literally jump down to beach and help my... read more",24,10,+1 310-457-8140,Malibu,"32900 Pacific Coast Highway , Malibu , CA 90265",https://www.tripadvisor.com/Attraction_Review-g32676-d560719-Reviews-El_Pescador_State_Beach-Malibu_California.html,malibu.json,el matador state beach,9,-118.87629,34.03821,11,100
"G_iTvXb67F0,H0-3AWFMpX0,FU1Fg7ll1kg",El Presidio de Santa Barbara State Historic Park,"State Parks , Points of Interest & Landmarks , Sights & Landmarks , Nature & Parks",The Presidio was an interesting stop on our walk around Santa Barbara. The structures are in good repair and along with the self guided tour give you a good sense of the history... read more,43,77,+1 805-965-0093,Santa Barbara,"123 E Canon Perdido St , Santa Barbara , CA 93101-2215",https://www.tripadvisor.com/Attraction_Review-g33045-d108662-Reviews-El_Presidio_de_Santa_Barbara_State_Historic_Park-Santa_Barbara_California.html,santa_barbara.json,el presidio de santa barbara state historic park,1,-119.6974149,34.42239985,30,100
"fEwlCwQyO8Q,0mgRKcG0llw,OWv02z1vIus",El Rey Theater,,"Recently attended small concert (Fink and Douglas Dare), but not our first event at this venue. Always happy to see talented artists featured here! Much better than the larger... read more",203,20,+1 323-936-6400,Los Angeles,"5515 Wilshire Blvd , Los Angeles , CA 90036-3801",https://www.tripadvisor.com/Attraction_Review-g32655-d606710-Reviews-El_Rey_Theater-Los_Angeles_California.html,los_angeles.json,el rey theatre,1,-122.4639881,37.7263516,4,100
"Wwfjmij9UKs,5RCEDQndZ7U,UF9AAL-UxW4",Ellen Browning Scripps Park,Nature & Parks,This is an incredible piece of green space that is pet friendly and relaxing! The views are stunning and the ocean breeze makes comfortable on the hottest days,17,124,+1 858-538-8085,La Jolla,"1133 Coast Blvd , La Jolla , San Diego , CA 92037-3638",https://www.tripadvisor.com/Attraction_Review-g32578-d559915-Reviews-Ellen_Browning_Scripps_Park-La_Jolla_San_Diego_California.html,la_jolla.json,ellen browning scripps park,1,-117.2752249,32.84931585,4,100
"L7bndVX2kD8,fH7cMblLZI4,tSQTOreXVlc",Elysian Park,,"I decided to make my way to Elysian Park, which is connected to Dodgers Stadium, and take a nice walk/hike to see a different side of L.A. On a nice, clear fall day..it was just... read more",185,14,+1 213-847-0926,Los Angeles,"835 Academy Rd , Los Angeles , CA 90012-1006",https://www.tripadvisor.com/Attraction_Review-g32655-d129453-Reviews-Elysian_Park-Los_Angeles_California.html,los_angeles.json,elysian park,4,-118.2344133,34.08289815,7,100
6jT0pFQ2l90,Embarcadero,"Historic Walking Areas , Piers & Boardwalks , Sights & Landmarks",The park makes for a great walk along the harbor. You can get very close to the yachts and other boats. There are plenty of benches for resting or people watching. The... read more,72,129,,San Diego,"Harbor Drive between Market and Grape streets , San Diego , CA 92101",https://www.tripadvisor.com/Attraction_Review-g60750-d156159-Reviews-Embarcadero-San_Diego_California.html,san_diego.json,embarcadero,23,-122.396892,37.7928455,84,100
"x4IFEZu5wtQ,bhhI3456XVo",Emerald Bay State Park,"Bodies of Water , Nature & Parks",Emerald Bay is completely gorgeous! Beautiful emerald green water just as the name suggests. We did not hike to the bay but rather took a boat cruise around it due to time. (Look... read more,1,538,+1 530-541-3030,Lake Tahoe (California),"Hwy 89 , CA 96145",https://www.tripadvisor.com/Attraction_Review-g155987-d156921-Reviews-Emerald_Bay_State_Park-Lake_Tahoe_California_California.html,lake_tahoe_(california).json,emerald bay state park,1,-120.0883029,38.9597206,1,100
"svwJxv0x1Us,PFlNoyAHH08,hZhkG1mIFM8",Exposition Park,,I was here a few days ago. We didn't even know this place existed until after we had gotten off the train at the station by USC. Very beautiful with flowers and trees. Also some... read more,109,58,+1 213-763-0114,Los Angeles,"701 State Dr , Los Angeles , CA 90037-1260",https://www.tripadvisor.com/Attraction_Review-g32655-d216628-Reviews-Exposition_Park-Los_Angeles_California.html,los_angeles.json,exposition park,6,-118.2871788,34.01496305,38,100
"KFA45EUqs-M,fT4PHMtb-R8",Fairplex,,The la fair at the fairplex is a great way to end summer. You could negotiate prices with vendors. There's a lot of things to do so make sure to get event schedule. The farm has... read more,7,14,909-623-3111,Pomona,"1101 W McKinley Ave , Pomona , CA 91768-1650",https://www.tripadvisor.com/Attraction_Review-g32911-d8631883-Reviews-Fairplex-Pomona_California.html,pomona.json,fairplex,1,-117.7879109,34.0682116,4,100
"UmWRSg1zkrQ,mEUXXHU6aj0,E6TtYG4ezVo",Fairview Park,,Summer concerts in the park It is a great way to get out enjoy wonderful music and mingle with your friends and neighbors the venue is great there are food truck or you can bring... read more,5,32,,Costa Mesa,"2525 Placentia Ave , Costa Mesa , CA 92628",https://www.tripadvisor.com/Attraction_Review-g32253-d6651288-Reviews-Fairview_Park-Costa_Mesa_California.html,costa_mesa.json,fairview park,2,-116.8807574,33.74579525,12,100
"MzwwBS0Dr0Q,Dq8n2C_mdx4,LJzWICOhekM",Fairytale Town,"Educational sites , Theme Parks , Water & Amusement Parks , Sights & Landmarks","Love to take the kids here for Halloween, lots of treats and the kids can run off their candy high. Well, worth the extra fee for this treat",12,201,+1 916-808-7462,Sacramento,"3901 Land Park Dr , Sacramento , CA 95822-1270",https://www.tripadvisor.com/Attraction_Review-g32999-d265196-Reviews-Fairytale_Town-Sacramento_California.html,sacramento.json,fairytale town,3,-121.5010644,38.53977405,4,100
"5IKkJJSK_0w,lWeMlfe6y_U,hAgNq4Rj0C8",Fashion Island,"Shopping Malls , Shopping","We stayed right across the street on our first day at the Newport Beach Marriott. We had lunch at one of their restaurants, PFChangs which was surprisingly very good. After we... read more",4,376,+1 949-721-2000,Newport Beach,"401 Newport Center Drive , Newport Beach , CA 92660",https://www.tripadvisor.com/Attraction_Review-g32780-d269452-Reviews-Fashion_Island-Newport_Beach_California.html,newport_beach.json,fashion island,20,-117.8729076,33.61476865,36,100
"4O38CtduB_M,U6JO7M5BHZc,_cS3SWIzqzc",Filoli,"Historic Sites , Gardens , Sights & Landmarks , Nature & Parks","Filoli stands for ""Fight,"" ""Love,"" and ""Life"". The stately mansion is huge. One can imagine being an invited guest back in the early 1900s. And the gardens are vast and... read more",1,308,+1 650-364-8300,Woodside,"86 Canada Rd , Woodside , CA 94062-4144",https://www.tripadvisor.com/Attraction_Review-g33292-d113585-Reviews-Filoli-Woodside_California.html,woodside.json,filoli,1,-120.1590024,39.2834839,1,100
"T9Jh220Yc5M,90CBHGgMCT4,UYd-fKyo6x4",Florence Avenue,"Neighborhoods , Points of Interest & Landmarks , Sights & Landmarks , Other",A very delightful drive down Florence Avenue enjoying all the unique sculptures. Super creative and very resourceful and whimsical. A must for every local and visitor.,1,115,,Sebastopol,"Florence Ave, Sebastopol, CA 95472 , Sebastopol , CA 95472",https://www.tripadvisor.com/Attraction_Review-g33069-d2053364-Reviews-Florence_Avenue-Sebastopol_Sonoma_County_California.html,sebastopol.json,florence ave,1,-118.0455778,33.9364176,1,100
"T9Jh220Yc5M,90CBHGgMCT4,UYd-fKyo6x4",Florence Avenue,"Neighborhoods , Points of Interest & Landmarks , Sights & Landmarks , Other",A very delightful drive down Florence Avenue enjoying all the unique sculptures. Super creative and very resourceful and whimsical. A must for every local and visitor.,1,115,,Sebastopol,"Florence Ave, Sebastopol, CA 95472 , Sebastopol , CA 95472",https://www.tripadvisor.com/Attraction_Review-g33069-d2053364-Reviews-Florence_Avenue-Sebastopol_Sonoma_County_California.html,sebastopol.json,florence avenue,2,-118.0455778,33.9364176,2,100
Vw1uHrzcJqM,Folsom Lake State Recreation Area,,"I live in Folsom, so I visit Folsom Lake often. This State Recreational Area (SRA) covers a vast expanse around the lake, so it encompasses many different facilities. 1. Folsom... read more",6,66,+1 916-988-0205,Folsom,"7806 Auburn-Folsom Road , Folsom , CA 95630",https://www.tripadvisor.com/Attraction_Review-g32389-d142870-Reviews-Folsom_Lake_State_Recreation_Area-Folsom_California.html,folsom.json,folsom lake state recreation area,1,-121.1330016,38.7315688,2,100
"mc3skmPrn_w,y4hEwz5_9-8",Forest Hill,,I enjoyed visiting Forest Hill. Small town feel. They have a great funky gift shop with a super friendly owner. I had lunch at the little cafe that was good.,5,23,,Auburn,"Auburn , CA",https://www.tripadvisor.com/Attraction_Review-g29120-d142942-Reviews-Forest_Hill-Auburn_California.html,auburn.json,forest hill,1,-122.4635824,37.7474307,3,100
"9PwXscNdvIE,wHbfv8ndD8U,0Fh8JdmfsJo",Forest Lawn Memorial Park,"Cemeteries , Sights & Landmarks","We were reviewing what to see in Glendale and came across information about the Trilogy Collection in the Mausoleum and Hall. The buildings contain lovely statuary, stained glass... read more",2,171,800-204-3131,Glendale,"1712 S Glendale Ave , Glendale , CA 91205-3320",https://www.tripadvisor.com/Attraction_Review-g32431-d103417-Reviews-Forest_Lawn_Memorial_Park-Glendale_California.html,glendale.json,forest lawn memorial park,2,-118.245497,34.12453735,2,100
"bi4jvLd8Wyg,7k3GyPgKZCY,lNpxHMzE5OE",Forestiere Underground Gardens,"Caverns & Caves , Gardens , Nature & Parks","This is one of the area's most historical sites. This is close to the freeway, easy on and off. The only negative is that this place closes @ 3:00pm.",2,456,+1 559-271-0734,Fresno,"5021 W Shaw Ave , Fresno , CA 93722-5026",https://www.tripadvisor.com/Attraction_Review-g32414-d281791-Reviews-Forestiere_Underground_Gardens-Fresno_California.html,fresno.json,forestiere underground gardens,4,-119.881841,36.8075845,6,100
"bi4jvLd8Wyg,7k3GyPgKZCY,lNpxHMzE5OE",Forestiere Underground Gardens,"Caverns & Caves , Gardens , Nature & Parks","This is one of the area's most historical sites. This is close to the freeway, easy on and off. The only negative is that this place closes @ 3:00pm.",2,456,+1 559-271-0734,Fresno,"5021 W Shaw Ave , Fresno , CA 93722-5026",https://www.tripadvisor.com/Attraction_Review-g32414-d281791-Reviews-Forestiere_Underground_Gardens-Fresno_California.html,fresno.json,forestire underground gardens,1,-119.881841,36.8075845,1,100
"LqdQg4nUlOs,ffFCA5UJmhU",Fort Ross State Historic Park,"Historic Sites , State Parks , Sights & Landmarks , Nature & Parks",This was my third visit over the years and always so interesting and well-kept. I appreciate keeping this available for all to see. It's like stepping back in time and... read more,1,243,+1 707-847-3437,Jenner,"19005 Coast Highway One , Jenner , CA 95450",https://www.tripadvisor.com/Attraction_Review-g32540-d116905-Reviews-Fort_Ross_State_Historic_Park-Jenner_Sonoma_County_California.html,jenner.json,fort ross state historic park,2,-123.2428319,38.51621695,15,100
"ByBqkKg1FXQ,M3TI-WqIjHI,Ai_Gal8ryv8",Fossil Falls,,"Once you find the parking area, it is a very short walk to where the ""Falls"" had worn through the volcanic rock to form worn pot-holes and swirls over thousands of years by waters... read more",1,29,,Little Lake,"US 395 , Little Lake , CA",https://www.tripadvisor.com/Attraction_Review-g2715760-d2692152-Reviews-Fossil_Falls-Little_Lake_California.html,little_lake.json,fossil falls,1,-117.914404,35.9759488,1,100
"UxniZO-kAVc,VBcVLe_vgiE,OAWHmYd0QuA",Fox Theater,"Theaters , Concerts & Shows","The intimate setting is perfect for concerts and other venues. There are great places to eat before a show and a place for a drink after. The theater is beautiful inside, has a... read more",4,96,+1 661-324-1369,Bakersfield,"2001 H St , Bakersfield , CA 93301-3919",https://www.tripadvisor.com/Attraction_Review-g32037-d617501-Reviews-Fox_Theater-Bakersfield_California.html,bakersfield.json,fox theater,1,-118.4472812,34.0626647,1,100
"UxniZO-kAVc,VBcVLe_vgiE,OAWHmYd0QuA",Fox Theater,"Theaters , Concerts & Shows","Flew in from Colorado to see concert here. Blown away by Ottoman / Hindu architectural design elements. Very kind, cool staff. Tech seems to be top notch. Restrooms and all... read more",17,49,+1 510-302-2250,Oakland,"1807 Telegraph Ave , Oakland , CA 94612-2109",https://www.tripadvisor.com/Attraction_Review-g32810-d5480557-Reviews-Fox_Theater-Oakland_California.html,oakland.json,fox theater,1,-118.4472812,34.0626647,1,100
"UxniZO-kAVc,VBcVLe_vgiE,OAWHmYd0QuA",Fox Theater,,"There is always plenty of room and comfortable seats. There are 3 theaters, 2 smaller ones and one huge one. They get the most recent movies, but only have afternoon movies on... read more",3,2,+1 661-765-7469,Taft,"514 Center St , Taft , CA 93268-3109",https://www.tripadvisor.com/Attraction_Review-g33154-d4295943-Reviews-Fox_Theater-Taft_California.html,taft.json,fox theater,1,-118.4472812,34.0626647,1,100
"Mz2o7NCxLvM,VBcVLe_vgiE,pGKvrPhlxSg",Fox Theatre,,"I have been to the Fox for several events. Whenever I enter, I feel like I'm stepping back in time. The grand days of going to the theater. The seats are plush and easy to... read more",4,40,+1 559-625-1369,Visalia,"300 W Main St , Visalia , CA 93291-6243",https://www.tripadvisor.com/Attraction_Review-g33230-d1563984-Reviews-Fox_Theatre-Visalia_California.html,visalia.json,fox theater,1,-118.4472812,34.0626647,1,100
"UxniZO-kAVc,VBcVLe_vgiE,OAWHmYd0QuA",Fox Theater,"Theaters , Concerts & Shows","The intimate setting is perfect for concerts and other venues. There are great places to eat before a show and a place for a drink after. The theater is beautiful inside, has a... read more",4,96,+1 661-324-1369,Bakersfield,"2001 H St , Bakersfield , CA 93301-3919",https://www.tripadvisor.com/Attraction_Review-g32037-d617501-Reviews-Fox_Theater-Bakersfield_California.html,bakersfield.json,fox theatre,1,-118.3314428,34.1013417,1,100
"UxniZO-kAVc,VBcVLe_vgiE,OAWHmYd0QuA",Fox Theater,"Theaters , Concerts & Shows","Flew in from Colorado to see concert here. Blown away by Ottoman / Hindu architectural design elements. Very kind, cool staff. Tech seems to be top notch. Restrooms and all... read more",17,49,+1 510-302-2250,Oakland,"1807 Telegraph Ave , Oakland , CA 94612-2109",https://www.tripadvisor.com/Attraction_Review-g32810-d5480557-Reviews-Fox_Theater-Oakland_California.html,oakland.json,fox theatre,1,-118.3314428,34.1013417,1,100
"UxniZO-kAVc,VBcVLe_vgiE,OAWHmYd0QuA",Fox Theater,,"There is always plenty of room and comfortable seats. There are 3 theaters, 2 smaller ones and one huge one. They get the most recent movies, but only have afternoon movies on... read more",3,2,+1 661-765-7469,Taft,"514 Center St , Taft , CA 93268-3109",https://www.tripadvisor.com/Attraction_Review-g33154-d4295943-Reviews-Fox_Theater-Taft_California.html,taft.json,fox theatre,1,-118.3314428,34.1013417,1,100
"Mz2o7NCxLvM,VBcVLe_vgiE,pGKvrPhlxSg",Fox Theatre,,"I have been to the Fox for several events. Whenever I enter, I feel like I'm stepping back in time. The grand days of going to the theater. The seats are plush and easy to... read more",4,40,+1 559-625-1369,Visalia,"300 W Main St , Visalia , CA 93291-6243",https://www.tripadvisor.com/Attraction_Review-g33230-d1563984-Reviews-Fox_Theatre-Visalia_California.html,visalia.json,fox theatre,1,-118.3314428,34.1013417,1,100
"LP-LD_BObak,DvaLkxOTLVs,tyRMGjY-zEM",Fremont Park,,"The park has a lot of interesting games for all ages, tennis, basketball, wade pool, great jungle gyms for younger and older kids. There is a lot of shade and picnic areas. The... read more",12,5,,Glendale,"600 Hanh Avenue , Glendale , CA 91203",https://www.tripadvisor.com/Attraction_Review-g32431-d7929165-Reviews-Fremont_Park-Glendale_California.html,glendale.json,freemont park,7,-121.3117403,37.9542253,2,100
"LP-LD_BObak,DvaLkxOTLVs,tyRMGjY-zEM",Fremont Park,,"The park has a lot of interesting games for all ages, tennis, basketball, wade pool, great jungle gyms for younger and older kids. There is a lot of shade and picnic areas. The... read more",12,5,,Glendale,"600 Hanh Avenue , Glendale , CA 91203",https://www.tripadvisor.com/Attraction_Review-g32431-d7929165-Reviews-Fremont_Park-Glendale_California.html,glendale.json,fremont bart,1,-121.977277,37.5575875,1,100
"LP-LD_BObak,DvaLkxOTLVs,tyRMGjY-zEM",Fremont Park,,"The park has a lot of interesting games for all ages, tennis, basketball, wade pool, great jungle gyms for younger and older kids. There is a lot of shade and picnic areas. The... read more",12,5,,Glendale,"600 Hanh Avenue , Glendale , CA 91203",https://www.tripadvisor.com/Attraction_Review-g32431-d7929165-Reviews-Fremont_Park-Glendale_California.html,glendale.json,fremont park,1,-121.4890383,38.5709825,1,100
"f1btNcHA3XA,ylHkrxxScks",Fullerton Arboretum,"Gardens , Nature & Parks","What a treat to find such a lovely, peaceful place in the midst of a busy city. My friend and I strolled through the quiet paths last fall and enjoyed a relaxing morning.",1,142,+1 657-278-4681,Fullerton,"1900 Associated Rd , Fullerton , CA 92831-1659",https://www.tripadvisor.com/Attraction_Review-g32416-d1403942-Reviews-Fullerton_Arboretum-Fullerton_California.html,fullerton.json,fullerton arboretum,2,-117.8827547,33.88646005,6,100
"amTdv_ysJjo,x27SqcId2dg,fMXkvYgALM0",Funk Zone,,"Lots of wine and liquor bars to visit. Great Santa Barbara wines. Many delicious Pinot Noirs. Local shopping. Good local food vendors, such as the Lucky Penny. Just off of... read more",48,35,,Santa Barbara,"Yanonali Street , Santa Barbara , CA 93101",https://www.tripadvisor.com/Attraction_Review-g33045-d6847810-Reviews-Funk_Zone-Santa_Barbara_California.html,santa_barbara.json,fun zone,5,-117.9001405,33.60326875,7,100
"DucyQ27D9Ic,YmiSveAwb-0,2peW1d-Pq2E",Ghiradelli,,Fun place to visit and see chocolate getting made. The drinks and desserts available are delicious but extremely rich (not sure when I had that much sugar last). Worth stopping in!,6,5,+1.650.821.0651,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Food Court , South San Francisco , CA 94128",https://www.tripadvisor.com/Attraction_Review-g33116-d10492846-Reviews-Ghiradelli-South_San_Francisco_California.html,south_san_francisco.json,ghirardelli,1,-121.2537289,38.633572,1,100
"GVfxeGlBIiU,yu-zGLkYQPE,Plj9iBLJYk8",Giant Forest,"Forests , Nature & Parks","The most amazing and beautiful trees will capture your heart and soul. Driving through the park was lovely, but hiking down to see Gen. Sherman was astounding. The trees are so... read more",1,"1,203",5595653341,Sequoia and Kings Canyon National Park,"Sequoia and Kings Canyon National Park, CA",https://www.tripadvisor.com/Attraction_Review-g143050-d146441-Reviews-Giant_Forest-Sequoia_and_Kings_Canyon_National_Park_California.html,sequoia_and_kings_canyon_national_park.json,giant forest,1,-118.7514867,36.5624446,6,100
"DrhtYgO4fuA,uI2C4JNBh_U,t3GjOyIpoGM",Giant Forest Museum,"Visitor Centers , Traveler Resources","To get a true feeling for the history of the park and the trees, one should stop here first. It has that same feeling as roadside attractions of yesteryear (for those of us old... read more",14,223,(559) 565-3341,Sequoia and Kings Canyon National Park,"Hwy 198, Giant Forest , Sequoia and Kings Canyon National Park, CA",https://www.tripadvisor.com/Attraction_Review-g143050-d615769-Reviews-Giant_Forest_Museum-Sequoia_and_Kings_Canyon_National_Park_California.html,sequoia_and_kings_canyon_national_park.json,giant forest museum,1,-118.7728216,36.5647116,1,100
"dTKTzCVNIco,wb2Bby3I50Y,251s5Z8VhGc",Glass Beach,,"While people say that the glass quantity is declining, there's still enough there to take some great photos and enjoy the experience. Follow the path to the beach and head left to... read more",3,"1,373",,Fort Bragg,"Elm Street and Glass Beach Drive , Santa Maria Ca , Fort Bragg , CA",https://www.tripadvisor.com/Attraction_Review-g32400-d103760-Reviews-Glass_Beach-Fort_Bragg_Mendocino_County_California.html,fort_bragg.json,glass beach,3,-123.8131628,39.4530301,5,100
"0Ldt1_Dp5r0,CjFgW4sxL1c,vhgKWXaGoTI",Glendale Galleria,"Shopping Malls , Shopping","Teens wanted to spend so much time here, great quality food court, lots of variety in shops. The Sweet Shop alone took us 30 mins to explore.",3,167,+1(0)818 246 6737,Glendale,"100 W Broadway Ste 700 , Glendale , CA 91210-1225",https://www.tripadvisor.com/Attraction_Review-g32431-d2013392-Reviews-Glendale_Galleria-Glendale_California.html,glendale.json,glendale galleria,3,-118.2589085,34.1447621,2,100
"WcSUs9iZv-g,PZxom4hzu0o,eCQLWGs0qQA",Golden Gate Bridge,,We hired bikes and rode over the bridge. It was not difficult as there was little wind that day. Great views of the city and Alcatraz and easy rise on to Sausalito. Something not... read more,2,"32,693",415-921-5858,San Francisco,"Lincoln Boulevard, near Doyle Drive and Fort Point , San Francisco , CA 94129",https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html,san_francisco.json,golden gate bridge,106,-122.4798473,37.8302809,202,100
"U8FuWsLxBwE,CZfuNdlGJZM,GAWiUqQkTak",Golden Gate Fields,,This is a nice diversion for individuals or groups. The excitement of horse racing. Bet a little and you might get lucky! The views from here around the Bay area spectacular!. Go... read more,13,63,+1 510-559-7300,Berkeley,"1100 Eastshore Hwy , Berkeley , CA 94710-1002",https://www.tripadvisor.com/Attraction_Review-g32066-d560659-Reviews-Golden_Gate_Fields-Berkeley_California.html,berkeley.json,golden gate fields,1,-122.3131736,37.8847051,1,100
"c7WbrGf-cqM,fu_K_y9TQ-8",Grand Avenue,"Points of Interest & Landmarks , Sights & Landmarks","Tuesday farmer's market is fun,. 2nd Saturday events and Cruising Grand in the spring and summer. Lots of places to eat and meet up with friends.",6,95,,Escondido,"Grand Avenue , Escondido , CA",https://www.tripadvisor.com/Attraction_Review-g32358-d546560-Reviews-Grand_Avenue-Escondido_California.html,escondido.json,grand avenue,6,-116.4257794,34.10718,17,100
"1M5EKpuboBY,KY6Pz6CwBhY,XBwoYkOyXTk",Grand Hope Park,,This is a small park downtown. It is a good place to stop and rest. There wasn't much else going on.,182,13,+1 213-624-0555,Los Angeles,"Between 9th St, Olympic Ave, Grand Ave and South Hope St , Los Angeles , CA 90017",https://www.tripadvisor.com/Attraction_Review-g32655-d560807-Reviews-Grand_Hope_Park-Los_Angeles_California.html,los_angeles.json,grand hope park,1,-118.2605589,34.04431655,19,100
"7lEjK-f7iGs,L7AlKLAV6lc,ZWa_rOT4qM8",Grand Park,,"Nice and Clean, looks like a lot of people enjoying the outdoor. Nice benches. Reminds me of the Boston Common but smaller. Neat little park with a Starbucks!",81,49,+1 213-972-8080,Los Angeles,"227 N Spring St , Los Angeles , CA 90012-3201",https://www.tripadvisor.com/Attraction_Review-g32655-d6563818-Reviews-Grand_Park-Los_Angeles_California.html,los_angeles.json,grand park,5,-118.2455715,34.05545105,25,100
"JQ_Q4fPkcww,DAiCzaoLriA,0ZXm9auMI0s",Grant Grove,"Forests , Nature & Wildlife Areas , Points of Interest & Landmarks , Sights & Landmarks , Nature & Parks , More",The General Grant tree - the third largest tree in the world by volume - has been dubbed the nation's Christmas tree and is surrounded by several equally impressive neighboring... read more,8,202,5595653341,Sequoia and Kings Canyon National Park,"Sequoia and Kings Canyon National Park, CA",https://www.tripadvisor.com/Attraction_Review-g143050-d207981-Reviews-Grant_Grove-Sequoia_and_Kings_Canyon_National_Park_California.html,sequoia_and_kings_canyon_national_park.json,grant grove,4,-117.9939711,36.2554945,18,100
"63JShruZPfg,lP7ZGtKNGZs,TK5ibdJKgHQ",Greystone Mansion and Park,"Neighborhood: Beverly Hills Historic Sites , Sights & Landmarks , Nature & Parks",There wasn't much of the green when I visited but the feel of all trees and shrubs and bushes gave me a since of welcome. Very beautiful even in the month of October,3,197,+1 310-550-4796,Beverly Hills,"905 Loma Vista Dr , Beverly Hills , CA 90210-2618",https://www.tripadvisor.com/Attraction_Review-g32070-d271992-Reviews-Greystone_Mansion_and_Park-Beverly_Hills_California.html,beverly_hills.json,greystone mansion & park,1,-118.4015887,34.09207775,1,100
"63JShruZPfg,lP7ZGtKNGZs,TK5ibdJKgHQ",Greystone Mansion and Park,"Neighborhood: Beverly Hills Historic Sites , Sights & Landmarks , Nature & Parks",There wasn't much of the green when I visited but the feel of all trees and shrubs and bushes gave me a since of welcome. Very beautiful even in the month of October,3,197,+1 310-550-4796,Beverly Hills,"905 Loma Vista Dr , Beverly Hills , CA 90210-2618",https://www.tripadvisor.com/Attraction_Review-g32070-d271992-Reviews-Greystone_Mansion_and_Park-Beverly_Hills_California.html,beverly_hills.json,greystone mansion and park,1,-118.4015887,34.09207775,2,100
"yag6YAIEfQ0,8LOdIIMHeDc,EU6XXWx1x9g",Griffith Observatory,,An excellent way to spend a few hours and enjoy gorgeous views and learning exhibits. The parking is always insanely loaded and the walk is very long and quite an uphill trek... read more,3,"11,723",+1 213-473-0800,Los Angeles,"2800 E. Observatory Rd. , Los Angeles , CA 90027-1299",https://www.tripadvisor.com/Attraction_Review-g32655-d116887-Reviews-Griffith_Observatory-Los_Angeles_California.html,los_angeles.json,griffith park observatory,2,-118.300357,34.1193312,5,100
"A_D2MOIz-qs,f5XT7DAuB6s,8LOdIIMHeDc",Griffith Park,Nature & Parks,This park is huge. We visited during the week and it did not seem to crowded. We parked on the hill by Griffith Observatory and were able to hike around. Great views of the... read more,7,"2,251",+1 323-913-4688,Los Angeles,"4730 Crystal Springs Dr , Los Angeles , CA 90027-1401",https://www.tripadvisor.com/Attraction_Review-g32655-d129312-Reviews-Griffith_Park-Los_Angeles_California.html,los_angeles.json,griffith park,12,-121.3121659,38.68813,30,100
"OXNKiSpqxBo,E9K52pa5Kdw,_f7zShMYQyE",Grover Hot Springs State Park,"State Parks , Nature & Parks","Bathing suits available if you forgot yours. Located in a snowy valley--first we took a hike up the valley in the snow to a frozen water fall, then came down and luxuriated in the... read more",1,68,+1 530-694-2248,Markleeville,"Hot Springs Road , Markleeville , CA",https://www.tripadvisor.com/Attraction_Review-g32686-d143467-Reviews-Grover_Hot_Springs_State_Park-Markleeville_California.html,markleeville.json,grover hot springs state park,1,-119.8379775,38.70219315,1,100
"Nn5eZdjH5fg,zOlVEz84oEE,VXSpAJCvbhk",Guglielmo Winery,,While on vacation in Morgan Hill visiting family. My Uncle (who is a member) bought my cousin and I to taste some wine. The wines were explained thoughally and we discovered... read more,2,56,+1 408-779-2145,Morgan Hill,"1480 E Main Ave , Morgan Hill , CA 95037-3299",https://www.tripadvisor.com/Attraction_Review-g32744-d1488912-Reviews-Guglielmo_Winery-Morgan_Hill_California.html,morgan_hill.json,guglielmo winery,1,-121.6340778,37.1457382,1,100
"Rwxi-mCoaT8,9Cly1B205R8,Hy5jI9qvo44",Hancock Park,,"I've lived in Los Angeles for 15 years, and there are times that I simply need to go to Hancock Park--a beautiful old-money residential neighborhood. LA can get so congested, and... read more",249,5,,Los Angeles,"Boundaries are Highland Ave, Melrose Ave, Wilshire Blvd and Larchmont Blvd , Los Angeles , CA",https://www.tripadvisor.com/Attraction_Review-g32655-d276918-Reviews-Hancock_Park-Los_Angeles_California.html,los_angeles.json,hancock park,6,-118.3561035,34.06372875,23,100
"Ai39t63L2xk,LEKjixtGZu4,AIdOznCP1k4",Hart Park,,You can bring a blanket and watch a softball game then walk your dog around the park. Kids would love the swings and other kid friendly things. The pool is open in the summer !,9,8,714-744-7274,Orange,"701 S. Glassell Street , Orange , CA 92866",https://www.tripadvisor.com/Attraction_Review-g32825-d8608638-Reviews-Hart_Park-Orange_California.html,orange.json,hart park,3,-117.850867,33.7774513,8,100
"kGXGcUYZLl8,P-PMfOo0OBg,0ph5eyGwNfA",Healdsburg Plaza,"Points of Interest & Landmarks , Sights & Landmarks",We were here on a beautiful day and there were so many people in the park. It's nice and right in the middle of shopping and restaurants.,2,345,,Healdsburg,"Healdsburg, California Plaza , Healdsburg , CA",https://www.tripadvisor.com/Attraction_Review-g32482-d5456710-Reviews-Healdsburg_Plaza-Healdsburg_Sonoma_County_California.html,healdsburg.json,healdsburg plaza,1,-122.8700499,38.61079805,2,100
