Attraction@sourceA,City@sourceA,ReviewCount@sourceA,URL@sourceA,Address@sourceA,ContactNo@sourceA,Review@sourceA,Rank@sourceA,Total Attractions@sourceA,KnownFor@sourceA,name@sourceB,longitude@sourceB,latitude@sourceB,blogLinks@sourceB,address@sourceB,src@sourceB,dest@sourceB,Confidence
Providence Farm,Cherry Valley,1,https://www.tripadvisor.com/Attraction_Review-g156029-d1776808-Reviews-Providence_Farm-Cherry_Valley_California.html,"40376 Brookside Ave , Cherry Valley , CA 92223-5524",(951) 845-1210,"??? an experience in American Colonial times ??? Very interesting, going back in time to our colonial days. Food good but not special. Reviewed December 12, 2011 JJsJourneys , Murrieta, California Add Photo Write a Review 1 Review from our TripAdvisor Community Which Cherry Valley hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * See what travelers are saying: Traveler rating Excellent (0) Very good (0) Average (1) Poor (0) Terrible (0) Traveler type Families (1) Couples (0) Solo (0) Business (0) Friends (0) Time of year Mar-May (0) Jun-Aug (0) Sep-Nov (0) Dec-Feb (1) Language All languages English (1) Showing 1: English review Clear all Start your review of Providence Farm Click to rate JJsJourneys Murrieta, California Level Contributor 63 reviews 9 attraction reviews 26 helpful votes ??? an experience in American Colonial times ??? Reviewed December 12, 2011 Very interesting, going back in time to our colonial days. Food good but not special. Helpful? 1 Thank JJsJourneys Report Updating list... Travelers who viewed Providence Farm also viewed Bogart Park 1 Review Cherry Valley, CA Edward-Dean Museum of Decorative Arts 8 Reviews Cherry Valley, CA Fire Memories Museum 8 Reviews Banning, CA Desert Hills Premium Outlets 462 Reviews Cabazon, CA All things to do in Cherry Valley (3) Been to Providence Farm? Share your experiences! Write a Review Add Photos & Videos Is This Your TripAdvisor Listing? Own or manage this property? Claim your listing for free to respond to reviews, update your profile and much more. Claim Your Listing Questions & Answers Questions? Get answers from Providence Farm staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Do I have to buy a ticket for my infant? How do I get there using public transportation? Is there a restaurant or caf?? onsite? Near Providence Farm Top-rated Attractions Nearby 8 Reviews Edward-Dean Museum of Decorative Arts 8 Reviews Fire Memories Museum 21 Reviews Oak Valley Golf Club Browse all attractions Top-rated Restaurants Nearby 69 Reviews The Grand Oak Steakhouse & Bar 19 Reviews Flo's Country 34 Reviews El Charro Authentic Mexican FD Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#3,3,,cherry valley,-116.9705843,33.9795655,https://www.tripadvisor.com/ShowTopic-g29092-i65-k3773903-Mountains_and_desert-Anaheim_California.html,"Cherry Valley, Avenida Miravilla, Cherry Valley, Riverside County, California, 92223, United States of America",anaheim,san bernardino,100
Edward-Dean Museum of Decorative Arts,Cherry Valley,8,https://www.tripadvisor.com/Attraction_Review-g156029-d156431-Reviews-Edward_Dean_Museum_of_Decorative_Arts-Cherry_Valley_California.html,"9401 Oak Glen Rd , Cherry Valley , CA 92223-3739",1-909-845-2626,,#1,3,,cherry valley,-116.9705843,33.9795655,https://www.tripadvisor.com/ShowTopic-g29092-i65-k3773903-Mountains_and_desert-Anaheim_California.html,"Cherry Valley, Avenida Miravilla, Cherry Valley, Riverside County, California, 92223, United States of America",anaheim,san bernardino,100
Bogart Park,Cherry Valley,1,https://www.tripadvisor.com/Attraction_Review-g156029-d10004662-Reviews-Bogart_Park-Cherry_Valley_California.html,"9600 Cherry Ave , Cherry Valley , CA 92223-4506",9518453818,"??? Nice short hike for families with young children ??? Hiked up to see a view of the Cherry Valley, Beaumont, Banning area. The playground equipment is interesting and fun for the kids. A small pond is fun for the kids to look at in... read more Reviewed March 1, 2016 Karen T , Beaumont, California Add Photo Write a Review 1 Review from our TripAdvisor Community Which Cherry Valley hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * See what travelers are saying: Traveler rating Excellent (0) Very good (1) Average (0) Poor (0) Terrible (0) Traveler type Families (1) Couples (0) Solo (0) Business (0) Friends (0) Time of year Mar-May (1) Jun-Aug (0) Sep-Nov (0) Dec-Feb (0) Language All languages English (1) Showing 1: English review Clear all Start your review of Bogart Park Click to rate Karen T Beaumont, California Level Contributor 3 reviews ??? Nice short hike for families with young children ??? Reviewed March 1, 2016 Hiked up to see a view of the Cherry Valley, Beaumont, Banning area. The playground equipment is interesting and fun for the kids. A small pond is fun for the kids to look at in non-drought years. Helpful? Thank Karen T Report Updating list... Travelers who viewed Bogart Park also viewed Providence Farm 1 Review Cherry Valley, CA Edward-Dean Museum of Decorative Arts 8 Reviews Cherry Valley, CA Desert Hills Premium Outlets 462 Reviews Cabazon, CA Fire Memories Museum 8 Reviews Banning, CA All things to do in Cherry Valley (3) Been to Bogart Park? Share your experiences! Write a Review Add Photos & Videos Questions & Answers Questions? Get answers from Bogart Park staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Will you pick up and drop off at my hotel? I have a family of 7. Can your tour accommodate all of us together? How should I dress for this tour? Near Bogart Park Top-rated Attractions Nearby 8 Reviews Edward-Dean Museum of Decorative Arts 21 Reviews Oak Valley Golf Club 8 Reviews Fire Memories Museum Browse all attractions Top-rated Restaurants Nearby 69 Reviews The Grand Oak Steakhouse & Bar 91 Reviews Domenico's Italian Kitchen 19 Reviews Flo's Country Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#2,3,,cherry valley,-116.9705843,33.9795655,https://www.tripadvisor.com/ShowTopic-g29092-i65-k3773903-Mountains_and_desert-Anaheim_California.html,"Cherry Valley, Avenida Miravilla, Cherry Valley, Riverside County, California, 92223, United States of America",anaheim,san bernardino,100
Fallbrook Gem and Mineral Museum,Fallbrook,7,https://www.tripadvisor.com/Attraction_Review-g32369-d5573906-Reviews-Fallbrook_Gem_and_Mineral_Museum-Fallbrook_California.html,"123 W Alvarado St , Fallbrook , CA 92028-2069",760-728-1130,,#6,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
Fallbrook Brewing,Fallbrook,6,https://www.tripadvisor.com/Attraction_Review-g32369-d6456545-Reviews-Fallbrook_Brewing-Fallbrook_California.html,"136 N Main Ave , Fallbrook , CA 92028-2056",,,#10,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
Casa Tiene Vista Vineyard,Fallbrook,5,https://www.tripadvisor.com/Attraction_Review-g32369-d6657068-Reviews-Casa_Tiene_Vista_Vineyard-Fallbrook_California.html,"4150 Rock Mountain Rd , Fallbrook , CA 92028-9751",760-731-2320,,#7,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
"Welburn Gourd Farm, Inc",Fallbrook,4,https://www.tripadvisor.com/Attraction_Review-g32369-d7122981-Reviews-Welburn_Gourd_Farm_Inc-Fallbrook_California.html,"40635 De Luz Rd , Fallbrook , CA 92028-8556",(760) 728-4271,,#9,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
The Fallbrook Library,Fallbrook,26,https://www.tripadvisor.com/Attraction_Review-g32369-d7730214-Reviews-The_Fallbrook_Library-Fallbrook_California.html,"124 S Mission Rd , Fallbrook , CA 92028-2825",760-731-4650,,#3,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
Kenny's Strawberry Farm,Fallbrook,10,https://www.tripadvisor.com/Attraction_Review-g32369-d8365164-Reviews-Kenny_s_Strawberry_Farm-Fallbrook_California.html,"953 Rainbow Valley Blvd , Fallbrook , CA 92028-8854",1-888-236-0101,,#4,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
Fallbrook Art Center,Fallbrook,11,https://www.tripadvisor.com/Attraction_Review-g32369-d7165510-Reviews-Fallbrook_Art_Center-Fallbrook_California.html,"103 S Main Ave , Fallbrook , CA 92028-2848",760-728-1414,"??? A Big Gem in a Small Town ??? I know that Fallbrook, CA is not right in the middle of everything. However, the Fallbrook Art Center is certainly worth a visit from most of San Diego County, Riverside County... read more Reviewed September 20, 2014 HarlanJF , St. James, New York, United States Add Photo Write a Review 11 Reviews from our TripAdvisor Community Which Fallbrook hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * See what travelers are saying: Traveler rating Excellent (8) Very good (2) Average (0) Poor (1) Terrible (0) Traveler type Families (2) Couples (6) Solo (3) Business (0) Friends (0) Time of year Mar-May (1) Jun-Aug (4) Sep-Nov (2) Dec-Feb (4) Language All languages English (11) Showing 11: English reviews Clear all HarlanJF St. James, New York, United States Level Contributor 193 reviews 46 attraction reviews 51 helpful votes ??? A Big Gem in a Small Town ??? Reviewed September 20, 2014 I know that Fallbrook, CA is not right in the middle of everything. However, the Fallbrook Art Center is certainly worth a visit from most of San Diego County, Riverside County and even Orange County. It is just a couple of miles off of either the 15 or Rt. 76 and you won't be disappointed. The shows are excellent, varied,... More Helpful? Thank HarlanJF Report Previous Next 1 2 Updating list... Travelers who viewed Fallbrook Art Center also viewed Myrtle Creek Botanical Gardens & Nursery 87 Reviews Fallbrook, CA Grand Tradition Estate and Gardens 80 Reviews Fallbrook, CA Kenny's Strawberry Farm 10 Reviews Fallbrook, CA Fallbrook Gem and Mineral Museum 7 Reviews Fallbrook, CA All things to do in Fallbrook (21) Been to Fallbrook Art Center? Share your experiences! Write a Review Add Photos & Videos Is This Your TripAdvisor Listing? Own or manage this property? Claim your listing for free to respond to reviews, update your profile and much more. Claim Your Listing Questions & Answers Questions? Get answers from Fallbrook Art Center staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Do I have to buy a ticket for my infant? How do I get there using public transportation? Is there a restaurant or caf?? onsite? Near Fallbrook Art Center Top-rated Attractions Nearby 26 Reviews The Fallbrook Library 7 Reviews Fallbrook Gem and Mineral Museum 6 Reviews Fallbrook Brewing Browse all attractions Top-rated Restaurants Nearby 139 Reviews Oink and Moo 73 Reviews Estrella's Restaurant and Cantina 54 Reviews La Caseta Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#5,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
Old Fliegler's Farm,Fallbrook,1,https://www.tripadvisor.com/Attraction_Review-g32369-d7159922-Reviews-Old_Fliegler_s_Farm-Fallbrook_California.html,"4332 Los Vecinos , Fallbrook , CA 92028-9450",+1 760 728 1865,,#12,17,,fallbrook,-117.2511465,33.3764196,https://en.wikipedia.org/wiki/U.S._Route_395_in_California,"Fallbrook, San Diego County, California, United States of America",mammoth lakes,riverside,100
Blue Moon Gift Shop,Garberville,3,https://www.tripadvisor.com/Attraction_Review-g32419-d8490523-Reviews-Blue_Moon_Gift_Shop-Garberville_Humboldt_County_California.html,"772 Redwood Dr , Garberville , CA 95542-3105",1 (707) 923-2632,,#5,8,,garberville,-123.7961393,40.1005685,http://www.roadsideamerica.com/location/ca,"Garberville, Humboldt County, California, United States of America",anaheim,san jose,100
King Range Bookstore,Garberville,2,https://www.tripadvisor.com/Attraction_Review-g32419-d9597379-Reviews-King_Range_Bookstore-Garberville_Humboldt_County_California.html,"901 Redwood Dr , Garberville , CA 95542-3108",707) 499-5471,,#7,8,,garberville,-123.7961393,40.1005685,http://www.roadsideamerica.com/location/ca,"Garberville, Humboldt County, California, United States of America",anaheim,san jose,100
Legend of Big Foot,Garberville,6,https://www.tripadvisor.com/Attraction_Review-g32419-d10368740-Reviews-Legend_of_Big_Foot-Garberville_Humboldt_County_California.html,"2500 US-101 , Garberville , CA 95542",(707) 247-3332,,#3,8,,garberville,-123.7961393,40.1005685,http://www.roadsideamerica.com/location/ca,"Garberville, Humboldt County, California, United States of America",anaheim,san jose,100
One Log House,Garberville,74,https://www.tripadvisor.com/Attraction_Review-g32419-d648658-Reviews-One_Log_House-Garberville_Humboldt_County_California.html,"705 US Highway 101 , Garberville , CA 95542-8701",707-247-3717,,#1,8,,garberville,-123.7961393,40.1005685,http://www.roadsideamerica.com/location/ca,"Garberville, Humboldt County, California, United States of America",anaheim,san jose,100
Benbow Inn Golf Course,Garberville,15,https://www.tripadvisor.com/Attraction_Review-g32419-d207585-Reviews-Benbow_Inn_Golf_Course-Garberville_Humboldt_County_California.html,"7000 Benbow Dr , Garberville , CA 95542-3603",707 923-2124,,#4,8,,garberville,-123.7961393,40.1005685,http://www.roadsideamerica.com/location/ca,"Garberville, Humboldt County, California, United States of America",anaheim,san jose,100
Thunderbird Mountain Trading Company,Garberville,3,https://www.tripadvisor.com/Attraction_Review-g32419-d5772708-Reviews-Thunderbird_Mountain_Trading_Company-Garberville_Humboldt_County_California.html,"705 US Highway 101 , Suite 3 , Garberville , CA 95542-8701",+(1)707 247 3100,,#6,8,,garberville,-123.7961393,40.1005685,http://www.roadsideamerica.com/location/ca,"Garberville, Humboldt County, California, United States of America",anaheim,san jose,100
Trentadue Winery,Geyserville,45,https://www.tripadvisor.com/Attraction_Review-g32427-d535488-Reviews-Trentadue_Winery-Geyserville_Sonoma_County_California.html,"19170 Geyserville Ave , Geyserville , CA 95441-9528","(707) 433-3104, (888) 332-3032",,#5,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
Ramazzotti Wine Tasting,Geyserville,31,https://www.tripadvisor.com/Attraction_Review-g32427-d2643847-Reviews-Ramazzotti_Wine_Tasting-Geyserville_Sonoma_County_California.html,"21015 Geyserville Ave , Geyserville , CA 95441-9334",707 8140016,,#9,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
Pedroncelli Winery,Geyserville,37,https://www.tripadvisor.com/Attraction_Review-g32427-d117086-Reviews-Pedroncelli_Winery-Geyserville_Sonoma_County_California.html,"1220 Canyon Rd , Geyserville , CA 95441-9639",707-857-3531,,#6,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
Starlite Vineyards,Geyserville,3,https://www.tripadvisor.com/Attraction_Review-g32427-d3176323-Reviews-Starlite_Vineyards-Geyserville_Sonoma_County_California.html,"5511 Highway 128 , Geyserville , CA 95441-9667",650-464-7154,,#20,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
Mercury Wine,Geyserville,23,https://www.tripadvisor.com/Attraction_Review-g32427-d3247095-Reviews-Mercury_Wine-Geyserville_Sonoma_County_California.html,"21015 Geyserville Ave , Geyserville , CA 95441-9334",+1 707-857-9870,,#10,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
River Rock Casino,Geyserville,66,https://www.tripadvisor.com/Attraction_Review-g32427-d1645633-Reviews-River_Rock_Casino-Geyserville_Sonoma_County_California.html,"3250 Highway 128 , Geyserville , CA 95441-8908",+1 707-857-2777,,#16,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
Locals Tasting Room,Geyserville,54,https://www.tripadvisor.com/Attraction_Review-g32427-d611368-Reviews-Locals_Tasting_Room-Geyserville_Sonoma_County_California.html,"Geyserville Ave. At Hwy. 128 , Geyserville , CA",(707) 857-4900,,#4,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
Clos du Bois,Geyserville,44,https://www.tripadvisor.com/Attraction_Review-g32427-d532028-Reviews-Clos_du_Bois-Geyserville_Sonoma_County_California.html,"19410 Geyserville Ave , Geyserville , Geyserville , CA 95441-9603",707/857-3100 or 800/222-3189,,#11,26,,geyserville,-122.9024963,38.707687,http://www.roadsideamerica.com/location/ca,"Geyserville, Sonoma County, California, United States of America",anaheim,fresno,100
SUP Odyssey,Guerneville,12,https://www.tripadvisor.com/Attraction_Review-g32465-d6974451-Reviews-SUP_Odyssey-Guerneville_Sonoma_County_California.html,"12600 River Rd , Guerneville , CA 95446-9574",+1 415-497-0179,,#7,17,,guerneville,-122.9871285,38.5116609,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Guerneville, Orchard Road, El Bonita, Sonoma County, California, 95446, United States of America",anaheim,napa,100
Porter-Bass Vineyard and Winery,Guerneville,16,https://www.tripadvisor.com/Attraction_Review-g32465-d3315697-Reviews-Porter_Bass_Vineyard_and_Winery-Guerneville_Sonoma_County_California.html,"11750 Mays Canyon Rd , Guerneville , CA 95446-9492",707-869-1475,,#6,17,,guerneville,-122.9871285,38.5116609,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Guerneville, Orchard Road, El Bonita, Sonoma County, California, 95446, United States of America",anaheim,napa,100
Pee Wee Golf & Arcade,Guerneville,21,https://www.tripadvisor.com/Attraction_Review-g32465-d250404-Reviews-Pee_Wee_Golf_Arcade-Guerneville_Sonoma_County_California.html,"16155 Drake Rd , Guerneville , CA 95446-9732",707-869-9321,,#4,17,,guerneville,-122.9871285,38.5116609,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Guerneville, Orchard Road, El Bonita, Sonoma County, California, 95446, United States of America",anaheim,napa,100
Guerneville 5 & 10,Guerneville,9,https://www.tripadvisor.com/Attraction_Review-g32465-d7343211-Reviews-Guerneville_5_10-Guerneville_Sonoma_County_California.html,"16252 Main St , Guerneville , CA 95446-8300",+(1)707 869 3404,,#5,17,,guerneville,-122.9871285,38.5116609,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Guerneville, Orchard Road, El Bonita, Sonoma County, California, 95446, United States of America",anaheim,napa,100
River Riders,Guerneville,3,https://www.tripadvisor.com/Attraction_Review-g32465-d4367957-Reviews-River_Riders-Guerneville_Sonoma_County_California.html,"15999 River Rd # A , Guerneville , CA 95446-9291",+(1)707-483-2897,,#12,17,,guerneville,-122.9871285,38.5116609,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Guerneville, Orchard Road, El Bonita, Sonoma County, California, 95446, United States of America",anaheim,napa,100
Main Street Bistro,Guerneville,22,https://www.tripadvisor.com/Attraction_Review-g32465-d250405-Reviews-Main_Street_Bistro-Guerneville_Sonoma_County_California.html,"16280 Main St , Guerneville , CA 95446-8300",707-869-0501,,#8,17,,guerneville,-122.9871285,38.5116609,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Guerneville, Orchard Road, El Bonita, Sonoma County, California, 95446, United States of America",anaheim,napa,100
Real Goods Store,Hopland,8,https://www.tripadvisor.com/Attraction_Review-g32508-d6902491-Reviews-Real_Goods_Store-Hopland_Mendocino_County_California.html,"US Hwy 101 , Hopland , CA 95449",(707) 472-2450,,#5,14,,hopland,-123.1163917,38.9729542,http://www.roadsideamerica.com/location/ca,"Hopland, Mendocino County, California, United States of America",anaheim,sausalito,100
Saracina Vineyards,Hopland,24,https://www.tripadvisor.com/Attraction_Review-g32508-d3613614-Reviews-Saracina_Vineyards-Hopland_Mendocino_County_California.html,"11684 S Hwy 101 , Hopland , CA 95449",707 744 1671,,#1,14,,hopland,-123.1163917,38.9729542,http://www.roadsideamerica.com/location/ca,"Hopland, Mendocino County, California, United States of America",anaheim,sausalito,100
Terra Savia Winery,Hopland,8,https://www.tripadvisor.com/Attraction_Review-g32508-d2634589-Reviews-Terra_Savia_Winery-Hopland_Mendocino_County_California.html,"14160 Mountain House Rd , Hopland , CA 95449-9782",17077441114,,#7,14,,hopland,-123.1163917,38.9729542,http://www.roadsideamerica.com/location/ca,"Hopland, Mendocino County, California, United States of America",anaheim,sausalito,100
Brutocao Cellars,Hopland,5,https://www.tripadvisor.com/Attraction_Review-g32508-d8283578-Reviews-Brutocao_Cellars-Hopland_Mendocino_County_California.html,"13500 S Highway 101 , Hopland , CA 95449-9610",+(1)8004333689,,#7,14,,hopland,-123.1163917,38.9729542,http://www.roadsideamerica.com/location/ca,"Hopland, Mendocino County, California, United States of America",anaheim,sausalito,100
Solar Living Center,Hopland,13,https://www.tripadvisor.com/Attraction_Review-g32508-d6949438-Reviews-Solar_Living_Center-Hopland_Mendocino_County_California.html,"13771 S Highway 101 , Hopland , CA 95449-9607",+1 707-472-2450,,#3,14,,hopland,-123.1163917,38.9729542,http://www.roadsideamerica.com/location/ca,"Hopland, Mendocino County, California, United States of America",anaheim,sausalito,100
McFadden Farm Stand & Tasting Room,Hopland,21,https://www.tripadvisor.com/Attraction_Review-g32508-d2556716-Reviews-McFadden_Farm_Stand_Tasting_Room-Hopland_Mendocino_County_California.html,"13275 S Highway 101 Ste 5 , Hopland , CA 95449-9674",+1 707-744-8463,,#2,14,,hopland,-123.1163917,38.9729542,http://www.roadsideamerica.com/location/ca,"Hopland, Mendocino County, California, United States of America",anaheim,sausalito,100
Campovida,Hopland,12,https://www.tripadvisor.com/Attraction_Review-g32508-d5185650-Reviews-Campovida-Hopland_Mendocino_County_California.html,"13601 Old River Rd , Hopland , CA 95449-9737",707.400.6300,,#4,14,,hopland,-123.1163917,38.9729542,http://www.roadsideamerica.com/location/ca,"Hopland, Mendocino County, California, United States of America",anaheim,sausalito,100
Idyllwild Park,Idyllwild,17,https://www.tripadvisor.com/Attraction_Review-g32519-d4956397-Reviews-Idyllwild_Park-Idyllwild_California.html,"54000 Riverside County Playground Rd. , Idyllwild , CA 92549",951-659-2656,,#3,15,,idyllwild,-116.7189074,33.7400209,http://www.roadsideamerica.com/location/ca,"Idyllwild, Riverside County, California, United States of America",anaheim,carlsbad,100
Indian Vista Scenic Overlook,Idyllwild,6,https://www.tripadvisor.com/Attraction_Review-g32519-d9871332-Reviews-Indian_Vista_Scenic_Overlook-Idyllwild_California.html,"Banning-Idyllwild Panoramic Hwy, Banning , Idyllwild , CA 92220",909 382-2600,,#5,15,,idyllwild,-116.7189074,33.7400209,http://www.roadsideamerica.com/location/ca,"Idyllwild, Riverside County, California, United States of America",anaheim,carlsbad,100
Lake Fulmor,Idyllwild,10,https://www.tripadvisor.com/Attraction_Review-g32519-d10344188-Reviews-Lake_Fulmor-Idyllwild_California.html,"Idyllwild , CA 92549",9093822921,,#4,15,,idyllwild,-116.7189074,33.7400209,http://www.roadsideamerica.com/location/ca,"Idyllwild, Riverside County, California, United States of America",anaheim,carlsbad,100
WaterTreks Eco Tours,Jenner,3,https://www.tripadvisor.com/Attraction_Review-g32540-d9717260-Reviews-WaterTreks_Eco_Tours-Jenner_Sonoma_County_California.html,"10438 Highway 1 , Jenner , CA 95450-9608",(707) 865-2249,,#7,7,,jenner,-123.1155587,38.4496365,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Jenner, Sonoma County, California, United States of America",anaheim,napa,100
Stillwater Cove Regional Park,Jenner,6,https://www.tripadvisor.com/Attraction_Review-g32540-d8862252-Reviews-Stillwater_Cove_Regional_Park-Jenner_Sonoma_County_California.html,"22455 Highway 1 , Jenner , CA 95450-9727",+1 707-847-3245,,#6,7,,jenner,-123.1155587,38.4496365,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Jenner, Sonoma County, California, United States of America",anaheim,napa,100
Bodega Highlands,Jenner,22,https://www.tripadvisor.com/Attraction_Review-g32540-d116907-Reviews-Bodega_Highlands-Jenner_Sonoma_County_California.html,"Jenner , CA",,,#5,7,,jenner,-123.1155587,38.4496365,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Jenner, Sonoma County, California, United States of America",anaheim,napa,100
Fort Ross Vineyard Tasting Room,Jenner,36,https://www.tripadvisor.com/Attraction_Review-g32540-d3581999-Reviews-Fort_Ross_Vineyard_Tasting_Room-Jenner_Sonoma_County_California.html,"15725 Meyers Grade Rd , Jenner , CA 95450-9757",7078473460,,#4,7,,jenner,-123.1155587,38.4496365,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Jenner, Sonoma County, California, United States of America",anaheim,napa,100
Goat Rock State Beach,Jenner,25,https://www.tripadvisor.com/Attraction_Review-g32540-d10269363-Reviews-Goat_Rock_State_Beach-Jenner_Sonoma_County_California.html,"State Park Road , Sonoma Coast State Park , Jenner , CA 95450",,,#3,7,,jenner,-123.1155587,38.4496365,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,"Jenner, Sonoma County, California, United States of America",anaheim,napa,100
Lost Horse Valley,Joshua Tree National Park,10,https://www.tripadvisor.com/Attraction_Review-g143037-d116980-Reviews-Lost_Horse_Valley-Joshua_Tree_National_Park_California.html,"Joshua Tree National Park, CA",7603675500,,#19,33,,joshua tree national park,-115.9511155,33.89706715,http://golosangeles.about.com/od/thingstodoinlosangeles/ss/Road-Trips-From-Los-Angeles.htm,"Joshua Tree National Park, Pinto Basin Road, Riverside County, California, United States of America",avalon,malibu,100
Johnny Lang Grave,Joshua Tree National Park,6,https://www.tripadvisor.com/Attraction_Review-g143037-d196812-Reviews-Johnny_Lang_Grave-Joshua_Tree_National_Park_California.html,"Joshua Tree National Park, CA",,,#27,33,,joshua tree national park,-115.9511155,33.89706715,http://golosangeles.about.com/od/thingstodoinlosangeles/ss/Road-Trips-From-Los-Angeles.htm,"Joshua Tree National Park, Pinto Basin Road, Riverside County, California, United States of America",avalon,malibu,100
Arch Rock,Joshua Tree National Park,32,https://www.tripadvisor.com/Attraction_Review-g143037-d6701329-Reviews-Arch_Rock-Joshua_Tree_National_Park_California.html,"Pinto Basin Road , Joshua Tree National Park, CA",7603675500,,#11,33,,joshua tree national park,-115.9511155,33.89706715,http://golosangeles.about.com/od/thingstodoinlosangeles/ss/Road-Trips-From-Los-Angeles.htm,"Joshua Tree National Park, Pinto Basin Road, Riverside County, California, United States of America",avalon,malibu,100
Queen Valley Road,Joshua Tree National Park,10,https://www.tripadvisor.com/Attraction_Review-g143037-d3515496-Reviews-Queen_Valley_Road-Joshua_Tree_National_Park_California.html,"Queen Valley Road , Joshua Tree National Park, CA",7603675500,,#24,33,,joshua tree national park,-115.9511155,33.89706715,http://golosangeles.about.com/od/thingstodoinlosangeles/ss/Road-Trips-From-Los-Angeles.htm,"Joshua Tree National Park, Pinto Basin Road, Riverside County, California, United States of America",avalon,malibu,100
