"attraction_name","attraction_knownFor","attraction_reviewComment","attraction_ranking","attraction_no_of_reviews","attraction_contact","attraction_in","attraction_address","zip_code","attraction_longitude","attraction_latitude","attraction_url","attraction_in_file","youTubeLinkIds"
"Northwood Golf Club","","""We were in the area to spend a couple days and desired to play some golf. We are vacation-only golfers and this was a great choice for us. Not crazy expensive, easy to find and... read more""","1","35","+1 800-330-1167","Monte Rio","""19400 Highway 116 , Monte Rio , CA 95462-9716""","19400","","","https://www.tripadvisor.com/Attraction_Review-g32733-d274559-Reviews-Northwood_Golf_Club-Monte_Rio_Sonoma_County_California.html","monte_rio.json","""TKthulcMsk4,c6rrFmBTrH4,xhfc6Iwm9SQ"""
"Korbel Champagne Cellars","""Wineries & Vineyards , Food & Drink""","I can only attest to the wonderful service and exquisite lunch at the Deli. We arrive at the Deli by recommendation from one of the nearby cellars as an excellent alternative for... read more","2","384","+1 707-887-2294","Guerneville","""13250 River Rd , Guerneville , CA 95446-9538""","13250","","","https://www.tripadvisor.com/Attraction_Review-g32465-d250403-Reviews-Korbel_Champagne_Cellars-Guerneville_Sonoma_County_California.html","guerneville.json","""e-4rqhXOkeQ,PIupxCooeFc"""
"Johnson's Beach","""Beaches , Nature & Parks , Outdoor Activities""","We decided to do a day trip to Johnson's Beach to attend the festival on Sunday (Blues Day). Suggestion: Arrive early if you have General Admissions (GA) tickets and want to sit... read more","3","71","+1 707-869-2022","Guerneville","""16217 First St , Bottom of Church Street , Guerneville , CA 95446-8809""","16217","","","https://www.tripadvisor.com/Attraction_Review-g32465-d4177827-Reviews-Johnson_s_Beach-Guerneville_Sonoma_County_California.html","guerneville.json","""cO_Cr8NcWuc,cZPmFWHi6Tg,yjv_oC9sr8Y"""
"Bodega Head","""Beaches , Geologic Formations , Nature & Parks , Outdoor Activities""","Best one day road trip. Stay in Rohnert Park for fun dinner breakfast and shopping. Also gambling at Graton Casino.","1","346","","Bodega Bay","""Westshore Road , Bodega Bay , CA 94923""","94923","-123.0521999","38.3354349","https://www.tripadvisor.com/Attraction_Review-g32091-d146947-Reviews-Bodega_Head-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""J9L1RjHu-G4,GT9Db8bwZXI,PZXUeEzOmfI"""
"Gracianna Winery","""Wineries & Vineyards , Food & Drink""","""Not only are the wines and setting some of the best in the area, the owners, Trini and Lisa, as well as Hanna and the other tasting room staff, make you feel like family. If Trini... read more""","8","146","+1 707-486-3771","Healdsburg","""6914 Westside Rd , Healdsburg , CA 95448-8354""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d3367820-Reviews-Gracianna_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""hNVJIQ2JFcI,sYg21G8NygY,iwerEVtnMqw"""
"Mr. Trombly's Teashop and Table","","Cute shop with a huge assortment of tea pots and accessories. The collection is like nothing like I've seen before. Assorted loose teas. Great place to pick up gifts for the... read more","1","5","+1 707-865-9979","Duncans Mills","""25185 Main Street , Duncans Mills , CA 95430""","25185","-123.053974714286","38.4538281428571","https://www.tripadvisor.com/Attraction_Review-g32316-d5603770-Reviews-Mr_Trombly_s_Teashop_and_Table-Duncans_Mills_Sonoma_County_California.html","duncans_mills.json",""
"Pee Wee Golf & Arcade","","""I love this place more than you can imagine. It has such history, vintage features, and proximity to the Russian River. The prices are extremely low, the two courses are fun, and... read more""","4","21","+1 707-869-9321","Guerneville","""16155 Drake Rd , Guerneville , CA 95446-9732""","16155","","","https://www.tripadvisor.com/Attraction_Review-g32465-d250404-Reviews-Pee_Wee_Golf_Arcade-Guerneville_Sonoma_County_California.html","guerneville.json","""YqrSujY7Rn0,ObB3ltMuEy4,zmxUEYBknlU"""
"Burke's Canoe Trips on the Russian River","","The good news is this is a great place to spend 3-4 hours canoeing on a great river. The only issue I had with Burke's is when I called for information on two consecutive days I... read more","1","65","+1 707-887-1222","Forestville","""8600 River Road , Forestville , CA""","","-122.8696586","38.489057","https://www.tripadvisor.com/Attraction_Review-g32397-d117242-Reviews-Burke_s_Canoe_Trips_on_the_Russian_River-Forestville_Sonoma_County_California.html","forestville.json","""oExP2SFBqAw,VIkUUPoOGGw,HtM4vauPY2g"""
"Main Street Bistro","","""Peaceful restaurant with soothing local jazz musicians, lots of space, good food. One side has the bar and the other side hosts the piano and musicians. Downtown Guerneville.""","8","22","+1 707-869-0501","Guerneville","""16280 Main St , Guerneville , CA 95446-8300""","16280","","","https://www.tripadvisor.com/Attraction_Review-g32465-d250405-Reviews-Main_Street_Bistro-Guerneville_Sonoma_County_California.html","guerneville.json","""xqiLTmSe3z8,-icrj_UPuGE,HHq29lJrTHQ"""
"Sonoma Driving Tours","","""As a part of our Bodega Bay stay, we drove through the Sonoma Countryside and wine region - so beautiful! Seeing all of the dairy farms and wineries made me feel like the world... read more""","6","25","+1 707-328-0091","Bodega Bay","""Bodega Bay , CA 94923-0412""","94923","","","https://www.tripadvisor.com/Attraction_Review-g32091-d2696321-Reviews-Sonoma_Driving_Tours-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""u-HEongHhM4,dbXHdsFYVPA,PP8ezlyEJ4A"""
"Children's Bell Tower","","I have been to Bodega Bay several times and the children's bell tower is top of the list of places I want to visit. It is a thought-provoking memorial to a young boy called... read more","5","32","","Bodega Bay","""west side of Route 1 , 1 1/2 miles north of Bodega Bay , Bodega Bay , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32091-d3983762-Reviews-Children_s_Bell_Tower-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""NZjxl1xk3Tg,2pIUF2pozaM,_aeEmJrjxxg"""
"Rochioli Vineyards and Winery","","""First: Some of the best wines in all of California. World class Pinot Noir! Bo to the tasting room, buy a bottle and take it out on the deck to drink. Relax and take in the views... read more""","51","36","+1 707-433-2305","Healdsburg","""6192 Westside Rd , Healdsburg , CA 95448-8319""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d531271-Reviews-Rochioli_Vineyards_and_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""glIUE36Yo9I,BIwe-HWB3GE,iPdgMVuMiPg"""
"Williams Selyem Winery","","""Eight girlfriends arrived to a beautiful vineyard, had pictures made with vines that are so beautiful then started walking towards this amazingly mordern structure where we were... read more""","38","52","+1 707-433-6425","Healdsburg","""6575 Westside Rd , Healdsburg , CA 95448-8323""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d292850-Reviews-Williams_Selyem_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""uHXVsF2w7oc,8yhCoxlyiDQ"""
"Pomo Canyon Trail","","It's best to stop at a visitor center to get information because the trail maps for this area are very outdated. You can start at Shell beach to hike this trail but it changes... read more","2","4","","Duncans Mills","""Sonoma Coast State Park , Duncans Mills , CA 95430""","95430","","","https://www.tripadvisor.com/Attraction_Review-g32316-d7248849-Reviews-Pomo_Canyon_Trail-Duncans_Mills_Sonoma_County_California.html","duncans_mills.json","""tsgVHm93tog,Z8qEJbncOUs,HZp1nqj8hv4"""
"Hartford Family Winery","","""We were at the tasting room in Healdsburg, just up the block from Stonestreet's tasting room which is also a Jess Jackson Family winery. Bekah was our tasting hostess and she... read more""","3","43","+1 707-887-1756","Forestville","""8075 Martinelli Rd , Forestville , CA 95436-9255""","95436","","","https://www.tripadvisor.com/Attraction_Review-g32397-d640950-Reviews-Hartford_Family_Winery-Forestville_Sonoma_County_California.html","forestville.json","""v1TrcVHMjz4,nQ6zDgVhwvM,8q8Ux0mZF8U"""
"Westside Regional Park","","""Nice to be able to reserve a spot, that's a plus. Stayed for four nights. Had the misfortune of having a group camping close behind us with about 12 children including in that... read more""","10","14","+1 707-875-3540","Bodega Bay","""2400 Westshore Road , Bodega Bay , CA""","","-123.0521999","38.3354349","https://www.tripadvisor.com/Attraction_Review-g32091-d2483860-Reviews-Westside_Regional_Park-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""WI2jnwfPhDs,jEsbe_v1oKE,yb9Fy8jhQeg"""
"Gary Farrell Winery","""Wineries & Vineyards , Food & Drink""","We just were there last week and had a great tasting out on the terrace. We really enjoyed their selection of Pinot noirs","14","185","+1 707-473-2909","Healdsburg","""10701 Westside Rd , Healdsburg , CA 95448-8355""","10701","","","https://www.tripadvisor.com/Attraction_Review-g32482-d1019332-Reviews-Gary_Farrell_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""LtQumdjJnhU,qBbkTiM4utM"""
"Pinnacle Gulch Coastal Access Trail","","""Don't go out of your way to visit. It is a nice trail. One mile each way down some steps to a beautiful beach. If you are staying nearby like I was, it was a great way to walk... read more""","11","8","","Bodega Bay","""20600 Mockingbird Road , Bodega Bay , CA""","20600","","","https://www.tripadvisor.com/Attraction_Review-g32091-d7904854-Reviews-Pinnacle_Gulch_Coastal_Access_Trail-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""QIpFAVddImo,HIoKsqNxkFU,vOfd0Jm730k"""
"Selby Winery","","""Each time I go into Selby I'm met with a big smile and a warm """"Where have you been? Your glass is here waiting for you"""". In addition to the award winning wines and record number... read more""","47","29","+1 707-431-1288","Healdsburg","""215 Center St , Healdsburg , CA 95448-4401""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d3320659-Reviews-Selby_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""DAKNvheSw6c,R4LWAwFMuFU,3cMlkgOlbFA"""
"Stephen & Walker Winery","""Wineries & Vineyards , Food & Drink""","""We have visited often, our son being a resident of Pleasanton. He introduced us to Stephen and Walker and our visit to the tasting room in Healdsburg was a highlight of our trip... read more""","9","75","+1 707-431-8749","Healdsburg","""243 Healdsburg Ave , Healdsburg , CA 95448-4103""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d1036831-Reviews-Stephen_Walker_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""CZYhK9Y2N2k,2e_Xzewxryg,vYqMmU8Czng"""
"Healdsburg Plaza","""Points of Interest & Landmarks , Sights & Landmarks""","We were here on a beautiful day and there were so many people in the park. It's nice and right in the middle of shopping and restaurants.","2","345","","Healdsburg","""Healdsburg, California Plaza , Healdsburg , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32482-d5456710-Reviews-Healdsburg_Plaza-Healdsburg_Sonoma_County_California.html","healdsburg.json","""kGXGcUYZLl8,P-PMfOo0OBg,0ph5eyGwNfA"""
"Bodega Head Ride","","""A must see! Went to check out the marinas and kept going to the Heads. Pacific ocean, crashing waves, birds, deer.... perfect.""","8","12","+1 707-875-2255","Bodega Bay","""1580 Eastshore Rd , Suite J , Bodega Bay , CA 94923-9758""","94923","","","https://www.tripadvisor.com/Attraction_Review-g32091-d1527578-Reviews-Bodega_Head_Ride-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""PZXUeEzOmfI,CrvHJhhR26k,FdyOPvZGfoQ"""
"Thumbprint Cellars","","""What a fun experience - doesn't matter if you're a local or visiting, if you're on the square in Healdsburg, you must pop into Thumbprint Cellars and go through their salacious... read more""","68","23","+1 707-433-2393","Healdsburg","""102 Matheson St , Healdsburg , CA 95448-4108""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d3340254-Reviews-Thumbprint_Cellars-Healdsburg_Sonoma_County_California.html","healdsburg.json","""1BwtN0zDTYs,M0dARHfxZXI"""
"Sapphire Hill Winery","""Wineries & Vineyards , Food & Drink""","""This was a pleasant surprise....The quaint smaller atmosphere, and bites of food and wine, were amazing together. Made to feel special. We all had a great experience. You... read more""","11","66","+1 707-431-1888","Healdsburg","""55 Front St , Healdsburg , CA 95448-4437""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d3546094-Reviews-Sapphire_Hill_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""g_oRE4naVh0,euZ2UP3TF7w"""
"Toad Hollow Vineyards","","""About 6 or 7 years ago a and I discovered Toad Hollow Risqué sparkling wine, it was love at first sip. We decided then and there that we wanted to visit where this wonderful he... read more""","61","24","+1 707-431-8667","Healdsburg","""409A Healdsburg Ave , Healdsburg , CA 95448-3814""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d648111-Reviews-Toad_Hollow_Vineyards-Healdsburg_Sonoma_County_California.html","healdsburg.json","""83liFujdbIw,AEPpZ3eqX6Q"""
"Hagemann Ranch Trout Fishing","","Bunch of people were leaving as we arrived (around noon) maybe because there's no shade? Their benches and chair are very old.. Like breaking down old. They have all the... read more","13","7","+1 707-876-3217","Bodega Bay","""Between 18401 & 19000 California 1 , Bodega Bay , CA 94923""","18401","","","https://www.tripadvisor.com/Attraction_Review-g32091-d3371975-Reviews-Hagemann_Ranch_Trout_Fishing-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""RlWtMjpS58Q,35jEhiakL38,oYiumGailVU"""
"Diekmann's Bay Store","","This is a good place to get all your needs one might need for your visit to Bodega Bay. We stopped to get some things for our trip. It has in the food section such things such... read more","18","2","(707) 875-3517","Bodega Bay","""1275 Hwy. 1 , Bodega Bay , CA 94923""","94923","","","https://www.tripadvisor.com/Attraction_Review-g32091-d7101089-Reviews-Diekmann_s_Bay_Store-Bodega_Bay_Sonoma_County_California.html","bodega_bay.json","""As4yCD8YQjo,8cK9qVimxvg,IksNxtbdoVQ"""
"Hanna Winery","","""We stopped here on our wine carriage tour for a tasting and lunch. Our driver had a picnic style lunch that we ate under the massive oak tree out front, but they also have food... read more""","48","31","+1 707-431-4310","Healdsburg","""9280 Highway 128 , Healdsburg , CA 95448-8028""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d3592148-Reviews-Hanna_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""8FjpQOTvlHU,oIQ7fYJ5WAc,LWHn3yNKu8A"""
"Soda Rock Winery","","""We stopped here on the wine carriage tour and thoroughly enjoyed it, all the wines are good, but the reds are amazing. When we first stopped we were struck by how beautiful the... read more""","44","58","7074333303","Healdsburg","""8015 Highway 128 , Healdsburg , CA 95448-9643""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d3317031-Reviews-Soda_Rock_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""8ZirxFCN6OU,9llGbobViyY,MAhvqZamUvk"""
"Alexander Valley Vineyards","""Wineries & Vineyards , Food & Drink""","""Very good wine, and pleasant atmosphere.t is a very pleasant tasting experience with good information given about the origin of each wine.""","19","95","+1 800-888-7209","Healdsburg","""8644 Highway 128 , Healdsburg , CA 95448-9021""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d116925-Reviews-Alexander_Valley_Vineyards-Healdsburg_Sonoma_County_California.html","healdsburg.json","""lWaXuYIyeTA,H978kAgtow8,Y_S2X-ZDHbg"""
"Russian River Adventures (SOAR Inflatables)","","""Wife and I took 3 hr """"kayak"""" inflatable down the river. It was fun and enjoyable on the lazy river. Just enough shade to get you out of the sun every once in awhile. Most fun... read more""","59","47","+1 707-433-5599","Healdsburg","""20 Healdsburg Ave , Healdsburg , CA 95448-4004""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d656329-Reviews-Russian_River_Adventures_SOAR_Inflatables-Healdsburg_Sonoma_County_California.html","healdsburg.json","""W2vDW6degM0,-F5snYqmc5M,xl8t8IzziiI"""
"Tibetan Gallery and Studio","","most days closed so keep checking and when it is open go in and enjoy the beautiful authentic art work.","10","18","7075093777","Sebastopol","""6770 McKinley Ave Ste 130 , Sebastopol , CA 95472-3480""","95472","","","https://www.tripadvisor.com/Attraction_Review-g33069-d7377265-Reviews-Tibetan_Gallery_and_Studio-Sebastopol_Sonoma_County_California.html","sebastopol.json","""3JtmQGG3sw8,TvZ34xqZGDg,lFy2D61vhwI"""
"Redwood Empire Ice Arena","","""The annual summer senior hockey tournament is a great FREE show with rink-side seats always available. At other times of the year, it's good skating for everyone and an... read more""","17","61","+1 707-546-7147","Santa Rosa","""1667 W Steele Ln , Santa Rosa , CA 95403-2699""","95403","","","https://www.tripadvisor.com/Attraction_Review-g33055-d269996-Reviews-Redwood_Empire_Ice_Arena-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""sa3XO6t7jqw,jNZjxR0jOWM"""
"Studio 35","","""Lovely art, location off the main drag. Studio 35 Closed. Try walking the Sonoma Plaza, visit Vella's Cheese factory, the Sonoma Mission & Barracks, walk the Overlook trail.""","70","5","","Sonoma","""35 Patten St , Sonoma , CA 95476-6726""","95476","","","https://www.tripadvisor.com/Attraction_Review-g33107-d6882517-Reviews-Studio_35-Sonoma_Sonoma_County_California.html","sonoma.json","""J7NrO_jNEog,wk0cqW6sc0M"""
"Medlock Ames Tasting Room","""Wineries & Vineyards , Food & Drink""","""Medlock Ames offers a ranch tour where the production facilities are. Don't miss this opportunity. Not quite off the grid, they use full solar power. Really enjoyed their wines... read more""","30","68","+1 707-431-8845","Healdsburg","""3487 Alexander Valley Rd , Healdsburg , CA 95448-7082""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d1809505-Reviews-Medlock_Ames_Tasting_Room-Healdsburg_Sonoma_County_California.html","healdsburg.json","""3ds-XmXoxcg,4Tye763QYHA,Bd02Fijs_Ds"""
"Sausal Winery","","""I first found Sausal Winery back in 2010 on my first Trip To California, I've become a bit of a wine enthusiast and I love a good Zin, YOU will be missed. Your Century Vines Zin... read more""","114","5","+1 800-500-2285","Healdsburg","""7370 Highway 128 , Healdsburg , CA 95448""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d1520839-Reviews-Sausal_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""MpRvtQy5c7U,_zvsegqTM3Q,yXlnEiTZJhM"""
"Barlow Center","","""Just a block east of the Sebastopol main plaza, the Barlow has a variety of restaurants and tasting rooms, plus a few shops. Thursday nights in warmer weather also have a market... read more""","11","26","","Sebastopol","""Highway 12 and Morris St , Sebastopol , CA 95472""","95472","","","https://www.tripadvisor.com/Attraction_Review-g33069-d5568026-Reviews-Barlow_Center-Sebastopol_Sonoma_County_California.html","sebastopol.json","""g1-1wrfyfmk,YB7P_NfudBg,Q_acIPWJmqQ"""
"Carol Shelton Wines","","""We take about two pilgrimages to Wine Country per year. Stopping at Carol Shelton Winery is a mandatory event. There wines are very, very good. Some are over the top exceptional... read more""","36","15","+1 707-575-3441","Santa Rosa","""3354B Coffey Ln , Santa Rosa , CA 95403-1917""","95403","","","https://www.tripadvisor.com/Attraction_Review-g33055-d2521279-Reviews-Carol_Shelton_Wines-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""wqZt2Fi6dlI,2IUz75_jj_8"""
"Children's Museum of Sonoma County","","""This is a must experience childrens museum for babies and toddlers! There's so much to see and do. Educational and fun. I took my grandson there once, at age one, and had to... read more""","21","31","707-546-4069","Santa Rosa","""1835 W Steele Ln , Santa Rosa , CA 95403-2628""","95403","","","https://www.tripadvisor.com/Attraction_Review-g33055-d6993896-Reviews-Children_s_Museum_of_Sonoma_County-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""5kysR2l37rs,jaubfvBe75o,ZJ-SCmfQm3g"""
"Hawkes Wine","","Hawkes is a smaller scale producer of amazing Cabernet Sauvignon's among some other wines they also have. Very nice tasting room in Healdsburg (also have one near the square in... read more","49","32","","Healdsburg","""6734 Highway 128 , Healdsburg , CA 95448-9634""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d3203631-Reviews-Hawkes_Wine-Healdsburg_Sonoma_County_California.html","healdsburg.json","""oFnFFvaChu8,U5z0fovAur4"""
"Lambert Bridge Winery","""Wineries & Vineyards , Food & Drink""","We loved this winery on last years visit and thought we would take some local family members back on this trip. The tasting room on W. Dry Creek Road is knocked out and stunningly... read more","24","112","+1 707-431-9600","Healdsburg","""4085 W Dry Creek Rd , Healdsburg , CA 95448-9117""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d563746-Reviews-Lambert_Bridge_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""PYW87r_DvIE,CZYhK9Y2N2k,Kp1PD1uSmyA"""
"Ridge Vineyards Lytton Springs","""Wineries & Vineyards , Food & Drink""","Ridge winery has a very nice tasting room with many good wines. The staff was really friendly and did a great job of describing the history of the winery and vineyards. Excellent... read more","28","65","+1 707-433-7721","Healdsburg","""650 Lytton Springs Rd , Healdsburg , CA 95448-9653""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d2345490-Reviews-Ridge_Vineyards_Lytton_Springs-Healdsburg_Sonoma_County_California.html","healdsburg.json","""G6KMFihgwtY,MolEmwOvw2c,ry3z6It6wfw"""
"Sebastopol Farmers Market","","They have live music and snacks available too. Really good selection on local produce. You can park by the library usually. Farmers market goes 10-2. Nice coffee shop nearby... read more","18","8","707-522-9305.","Sebastopol","""Sebastopol Plaza , Sebastopol , CA""","","-122.8227891","38.4023289","https://www.tripadvisor.com/Attraction_Review-g33069-d8521829-Reviews-Sebastopol_Farmers_Market-Sebastopol_Sonoma_County_California.html","sebastopol.json","""D0y3fBgps7E,IOSXunFPReU"""
"Pacific Coast Air Museum","","""I truly miss my old drive to work from my home in west county. The traffic was light, the vineyard country roads were beautiful and a few minutes before I would arrive at the... read more""","20","52","+1 707-575-7900","Santa Rosa","""One Air Museum Way , Off Becker at N. Laughlin , Santa Rosa , CA 95403-8275""","95403","","","https://www.tripadvisor.com/Attraction_Review-g33055-d1529413-Reviews-Pacific_Coast_Air_Museum-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""Psey-oCNBJM,wypxER5DfMc"""
"Howarth Park","","""This is a great park for kids. The playground is very well done and includes water play in the summer. There's also a merry-go-round, petting zoo, pony rides, little train that... read more""","15","38","","Santa Rosa","""630 Summerfield Rd , Santa Rosa , CA 95405-5456""","95405","","","https://www.tripadvisor.com/Attraction_Review-g33055-d8497914-Reviews-Howarth_Park-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""OENn9YUqrHI,9YB96NgV_oc,p3uD7ngvnJY"""
"A. Rafanelli Winery","","I recently returned to Rafanelli Winery after twenty years and found the wine and the people to be just as good as I remembered. Small production of delicious Dry Creek Valley... read more","42","71","+1 707-433-1385","Healdsburg","""4685 W Dry Creek Rd , Healdsburg , CA 95448-8124""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d321119-Reviews-A_Rafanelli_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""MoWv9QgHsiQ,Pa44i_GYAOo,CZYhK9Y2N2k"""
"Trentadue Winery","","Trentadue is a beautiful vineyard! Lovely views and fabulous wines. Such a peaceful place! Loved it!","5","46","+1 707-433-3104","Geyserville","""19170 Geyserville Ave , Geyserville , CA 95441-9528""","19170","","","https://www.tripadvisor.com/Attraction_Review-g32427-d535488-Reviews-Trentadue_Winery-Geyserville_Sonoma_County_California.html","geyserville.json","""EKbyzxRNaN0,uQ5J_-HPYz0,FeFJ5VM9ky4"""
"Francis Ford Coppola Winery","""Wineries & Vineyards , Food & Drink""","""We visited multiple wineries on our trip to Napa and Sonoma. I always wanted to see this winery, but was afraid it would be too touristy with lack of personal touch...I was way... read more""","1","639","+1 707-857-1400","Geyserville","""300 Via Archimedes , Geyserville , CA 95441-9325""","95441","","","https://www.tripadvisor.com/Attraction_Review-g32427-d2233721-Reviews-Francis_Ford_Coppola_Winery-Geyserville_Sonoma_County_California.html","geyserville.json","""upyojvBq2Ak,e123iDHSfX8,u9zg8xzYceE"""
"Truett Hurst Winery","""Wineries & Vineyards , Food & Drink""","""Nice atmosphere. We had reservations in the """"red chairs"""" by the river. Picked up some sausage and wine and had a wonderful afternoon.""","15","147","+1 707-433-9545","Healdsburg","""5610 Dry Creek Rd , Healdsburg , CA 95448-8210""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d1763824-Reviews-Truett_Hurst_Winery-Healdsburg_Sonoma_County_California.html","healdsburg.json","""zThnSVPyvYQ,z-KvR54ajVM,ASyyjH5cAAk"""
"Ragle Ranch Regional Park","","""This is a nice city park with a little of everything. There is a short trail that is nice, but not something you would consider a hike. The baseball fields and gazebo area can... read more""","6","26","7075652041","Sebastopol","""500 Ragle Rd , Sebastopol , CA 95472-2774""","95472","","","https://www.tripadvisor.com/Attraction_Review-g33069-d9709693-Reviews-Ragle_Ranch_Regional_Park-Sebastopol_Sonoma_County_California.html","sebastopol.json","""77qS6hQ9Lgs,B6RQHNx7Gsk,sMQEPsSA16g"""
"Sunce Winery","","""Wine tasting at Sunce winery how tastings were conducted years ago, before so many local wineries were sold to big conglomerates. There is a large choice of good wines to try and... read more""","27","30","+1 707-526-9463","Santa Rosa","""1839 Olivet Rd , Santa Rosa , CA 95401-3816""","95401","","","https://www.tripadvisor.com/Attraction_Review-g33055-d1751312-Reviews-Sunce_Winery-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""K1xTLE2GzUs,XxCc5SA95-Y,eOH0M2rsi8g"""
"Sonoma County Museum","","great exhibits that cannot be seen anywhere else. One of a kind museum. Sonoma County exhibits of artists and people who called this place home. TRuly amazing to find out who... read more","33","19","","Santa Rosa","""425 7th St , Santa Rosa , CA 95401-5233""","95401","","","https://www.tripadvisor.com/Attraction_Review-g33055-d1770881-Reviews-Sonoma_County_Museum-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""5kysR2l37rs,QrnTXxVQUnQ"""
"Amista Vineyards","","""This place makes a great port and it pairs well with their chocolate. Very good combination they had, and the other wines were equally as good.""","94","22","+1 707-431-9200","Healdsburg","""3320 Dry Creek Rd , Healdsburg , CA 95448-9187""","95448","","","https://www.tripadvisor.com/Attraction_Review-g32482-d1098797-Reviews-Amista_Vineyards-Healdsburg_Sonoma_County_California.html","healdsburg.json","""yHiIJkV7TM8,MOjXey92DY4,2fUnz1EYRAg"""
"Occidental Road Cellars","","""Stopped in while passing through. the Pinot was outstanding. Friendly helpful lady at the counter. They also do a very good Syrah, we bought one, and 6 of the Pinot.""","33","5","707/827-3327","Sebastopol","""870 Gravenstein Hwy N , Sebastopol , CA 95472-2810""","95472","","","https://www.tripadvisor.com/Attraction_Review-g33069-d6783830-Reviews-Occidental_Road_Cellars-Sebastopol_Sonoma_County_California.html","sebastopol.json","""8FjpQOTvlHU,97sSqgRVvsY,wS2csA0DpXU"""
"Martin Ray Vineyards & Winery","","""Had a great time here, wines were excellent and tasting room staff were a lot of fun. Pinots are the estate wines and those were best but other varietals were great too.""","24","28","+1 707-823-2404","Santa Rosa","""2191 Laguna Rd , Santa Rosa , CA 95401-3705""","95401","","","https://www.tripadvisor.com/Attraction_Review-g33055-d3626599-Reviews-Martin_Ray_Vineyards_Winery-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""p_UOxkkPcpg,xmMwBp8HvjI,ByepRlWdGwE"""
"Santa Rosa Creek","","Ran the Santa Rosa Marathon along this creek (plus a whole lot more). My hotel at the Hyatt Vineyard Creek ran along side. The Greenway trail is perfect for running and walking.","42","8","","Santa Rosa","""227 Santa Rosa Ave , Santa Rosa , CA 95404-4907""","95404","","","https://www.tripadvisor.com/Attraction_Review-g33055-d8612302-Reviews-Santa_Rosa_Creek-Santa_Rosa_Sonoma_County_California.html","santa_rosa.json","""S7WNqmG-yeA,K8W6s1G6skM,eBzb1IuXQkQ"""
"Merry Edwards Winery","""Wineries & Vineyards , Food & Drink""","""We love her award winning wines. Great varieties but noted for Pinot Noir & Sauvignon Blanc. Wine tasting room well appointed, clean and inviting. Friendly staff. A must stop for... read more""","3","109","+1 707-823-7466","Sebastopol","""2959 Gravenstein Hwy N , Sebastopol , CA 95472-6401""","95472","","","https://www.tripadvisor.com/Attraction_Review-g33069-d2386377-Reviews-Merry_Edwards_Winery-Sebastopol_Sonoma_County_California.html","sebastopol.json","""ZvYB1p9aGCI,n1jnUVhCd0I,kuvycsddEXY"""
