mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
antioch,city,5,"Antioch, Contra Costa County, California, United States of America",15,"avalon_and_sacramento.json,fremont_and_sacramento.json,fremont_and_santa barbara.json,fresno_and_huntington beach.json,napa_and_sacramento.json,oakland_and_sacramento.json,oakland_and_san jose.json,oakland_and_stockton.json,sacramento_and_san jose.json,sacramento_and_san luis obispo.json,sacramento_and_stockton.json,san bernardino_and_san luis obispo.json,sacramento_and_san bernardino.json,sacramento_and_san francisco.json,san jose_and_stockton.json"
santa clarita valley,city,18,"Santa Clarita, Los Angeles County, California, United States of America",19,"avalon_and_santa clarita.json,beverly hills_and_santa clarita.json,big bear lake_and_santa clarita.json,fresno_and_santa clarita.json,irvine_and_santa clarita.json,long beach_and_santa clarita.json,los angeles_and_santa clarita.json,mammoth lakes_and_santa clarita.json,monterey_and_santa clarita.json,pasadena_and_santa clarita.json,riverside_and_santa clarita.json,sacramento_and_santa clarita.json,san bernardino_and_santa clarita.json,san francisco_and_santa clarita.json,san jose_and_santa clarita.json,santa ana_and_santa clarita.json,santa clarita_and_sausalito.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json"
vacaville,city,9,"Vacaville, Solano County, California, United States of America",25,"avalon_and_oakland.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_stockton.json,berkeley_and_napa.json,berkeley_and_stockton.json,big bear lake_and_oakland.json,fresno_and_napa.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san francisco.json,fresno_and_stockton.json,long beach_and_oakland.json,los angeles_and_sausalito.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,napa_and_sacramento.json,napa_and_stockton.json,oakland_and_sacramento.json,oakland_and_san bernardino.json,sacramento_and_san jose.json,sacramento_and_stockton.json,san diego_and_san jose.json"
oakland route,city,1,"Oakland, Alameda County, California, United States of America",1,newport beach_and_oakland.json
brentwood gardens,city,1,"Brentwood, Contra Costa County, California, United States of America",2,"berkeley_and_malibu.json,berkeley_and_santa monica.json"
carpinteria,city,15,"Carpinteria, Santa Barbara County, California, United States of America",73,"anaheim_and_monterey.json,anaheim_and_santa barbara.json,anaheim_and_santa cruz.json,avalon_and_big bear lake.json,avalon_and_malibu.json,bakersfield_and_long beach.json,bakersfield_and_pismo beach.json,bakersfield_and_riverside.json,bakersfield_and_santa clarita.json,bakersfield_and_santa monica.json,berkeley_and_huntington beach.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa monica.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fresno_and_santa clarita.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,irvine_and_monterey.json,irvine_and_sacramento.json,irvine_and_santa barbara.json,irvine_and_santa clarita.json,carlsbad_and_los angeles.json,carlsbad_and_san luis obispo.json,long beach_and_san diego.json,long beach_and_san francisco.json,los angeles_and_monterey.json,long beach_and_malibu.json,los angeles_and_san francisco.json,los angeles_and_san luis obispo.json,los angeles_and_santa barbara.json,malibu_and_pismo beach.json,malibu_and_santa barbara.json,malibu_and_sausalito.json,mammoth lakes_and_santa barbara.json,monterey_and_pismo beach.json,monterey_and_san diego.json,monterey_and_santa barbara.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,newport beach_and_santa barbara.json,newport beach_and_santa clarita.json,newport beach_and_stockton.json,oakland_and_santa barbara.json,oakland_and_santa monica.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa cruz.json,riverside_and_sacramento.json,sacramento_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san francisco_and_santa barbara.json,san jose_and_san luis obispo.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_temecula.json,santa ana_and_santa barbara.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa clarita_and_santa cruz.json"
los angeles city,city,1,"LA, Los Angeles County, California, United States of America",1,beverly hills_and_oakland.json
placentia,city,9,"Placentia, Orange County, California, United States of America",37,"anaheim_and_irvine.json,anaheim_and_riverside.json,avalon_and_berkeley.json,avalon_and_irvine.json,avalon_and_oakland.json,avalon_and_pasadena.json,avalon_and_stockton.json,bakersfield_and_newport beach.json,bakersfield_and_riverside.json,bakersfield_and_santa clarita.json,carlsbad_and_santa clarita.json,fremont_and_newport beach.json,fremont_and_santa clarita.json,fresno_and_irvine.json,fresno_and_santa ana.json,fresno_and_santa clarita.json,huntington beach_and_oakland.json,huntington beach_and_santa ana.json,huntington beach_and_santa clarita.json,irvine_and_long beach.json,irvine_and_los angeles.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_san diego.json,irvine_and_santa clarita.json,long beach_and_riverside.json,newport beach_and_oakland.json,newport beach_and_santa ana.json,oakland_and_riverside.json,oakland_and_santa ana.json,riverside_and_sacramento.json,riverside_and_temecula.json,san bernardino_and_santa clarita.json,riverside_and_santa ana.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa clarita_and_santa cruz.json"
west hollywood,city,62,"West Hollywood, Los Angeles County, California, United States of America",150,"anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_beverly hills.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_los angeles.json,anaheim_and_malibu.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pasadena.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san bernardino.json,anaheim_and_santa clarita.json,anaheim_and_stockton.json,anaheim_and_temecula.json,avalon_and_beverly hills.json,avalon_and_big bear lake.json,avalon_and_fresno.json,avalon_and_los angeles.json,avalon_and_oakland.json,avalon_and_riverside.json,avalon_and_san bernardino.json,anaheim_and_santa monica.json,bakersfield_and_san bernardino.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,beverly hills_and_sausalito.json,avalon_and_santa barbara.json,avalon_and_santa monica.json,bakersfield_and_beverly hills.json,bakersfield_and_fremont.json,bakersfield_and_malibu.json,bakersfield_and_newport beach.json,bakersfield_and_san diego.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,berkeley_and_los angeles.json,berkeley_and_riverside.json,berkeley_and_santa monica.json,beverly hills_and_big bear lake.json,berkeley_and_beverly hills.json,berkeley_and_huntington beach.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_irvine.json,beverly hills_and_long beach.json,beverly hills_and_los angeles.json,beverly hills_and_malibu.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_newport beach.json,beverly hills_and_oakland.json,beverly hills_and_pasadena.json,beverly hills_and_riverside.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa ana.json,beverly hills_and_santa barbara.json,beverly hills_and_santa clarita.json,beverly hills_and_santa cruz.json,beverly hills_and_santa monica.json,beverly hills_and_stockton.json,beverly hills_and_temecula.json,big bear lake_and_oakland.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,carlsbad_and_santa monica.json,fremont_and_huntington beach.json,fremont_and_newport beach.json,fremont_and_santa barbara.json,fremont_and_santa monica.json,fresno_and_huntington beach.json,fresno_and_long beach.json,fresno_and_pasadena.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa monica.json,huntington beach_and_los angeles.json,huntington beach_and_oakland.json,huntington beach_and_pasadena.json,huntington beach_and_pismo beach.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa monica.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_los angeles.json,irvine_and_malibu.json,irvine_and_santa monica.json,irvine_and_pasadena.json,long beach_and_pasadena.json,long beach_and_riverside.json,long beach_and_san bernardino.json,long beach_and_santa clarita.json,long beach_and_malibu.json,los angeles_and_pasadena.json,los angeles_and_san bernardino.json,los angeles_and_santa monica.json,los angeles_and_temecula.json,malibu_and_pismo beach.json,malibu_and_stockton.json,mammoth lakes_and_san luis obispo.json,monterey_and_pasadena.json,malibu_and_santa clarita.json,monterey_and_newport beach.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_sacramento.json,newport beach_and_san jose.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa monica.json,pasadena_and_riverside.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_santa clarita.json,pasadena_and_santa monica.json,pasadena_and_temecula.json,pismo beach_and_santa monica.json,riverside_and_santa monica.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa monica.json,san diego_and_santa ana.json,san diego_and_santa monica.json,san francisco_and_santa ana.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,pasadena_and_san bernardino.json,santa ana_and_santa barbara.json,santa barbara_and_stockton.json,santa monica_and_stockton.json,santa monica_and_temecula.json"
livermore,city,12,"Livermore, Alameda County, California, United States of America",14,"beverly hills_and_oakland.json,fremont_and_oakland.json,fresno_and_huntington beach.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,napa_and_pismo beach.json,napa_and_san jose.json,napa_and_temecula.json,pismo beach_and_temecula.json,sacramento_and_temecula.json,santa clarita_and_sausalito.json,san jose_and_stockton.json,san luis obispo_and_temecula.json"
downey,city,3,"Downey, Los Angeles County, California, United States of America",6,"anaheim_and_los angeles.json,huntington beach_and_pasadena.json,long beach_and_santa clarita.json,newport beach_and_pasadena.json,newport beach_and_riverside.json,pasadena_and_sacramento.json"
hesperia,city,15,"Hesperia, San Bernardino County, California, United States of America",46,"anaheim_and_fresno.json,avalon_and_bakersfield.json,avalon_and_big bear lake.json,avalon_and_mammoth lakes.json,bakersfield_and_san bernardino.json,bakersfield_and_mammoth lakes.json,bakersfield_and_riverside.json,beverly hills_and_big bear lake.json,berkeley_and_big bear lake.json,beverly hills_and_mammoth lakes.json,big bear lake_and_fremont.json,big bear lake_and_long beach.json,big bear lake_and_los angeles.json,big bear lake_and_malibu.json,big bear lake_and_mammoth lakes.json,big bear lake_and_napa.json,big bear lake_and_newport beach.json,big bear lake_and_oakland.json,big bear lake_and_pasadena.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,big bear lake_and_stockton.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_temecula.json,irvine_and_malibu.json,irvine_and_mammoth lakes.json,irvine_and_oakland.json,irvine_and_sacramento.json,big bear lake_and_san bernardino.json,fresno_and_riverside.json,malibu_and_riverside.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json,pasadena_and_riverside.json,pasadena_and_temecula.json,san bernardino_and_santa ana.json,san bernardino_and_temecula.json,pasadena_and_san bernardino.json"
la/santa barbara,city,1,"Santa Barbara, Santa Barbara County, California, United States of America",9,"monterey_and_santa clarita.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san jose_and_santa clarita.json,santa barbara_and_santa clarita.json"
san juan bautista,city,6,"San Juan Bautista, San Benito County, California, United States of America",42,"anaheim_and_santa cruz.json,bakersfield_and_fremont.json,bakersfield_and_fresno.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_santa cruz.json,beverly hills_and_napa.json,fremont_and_fresno.json,fremont_and_los angeles.json,fremont_and_san diego.json,fremont_and_santa cruz.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,fresno_and_santa cruz.json,fresno_and_sausalito.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,fresno_and_riverside.json,long beach_and_san jose.json,los angeles_and_san jose.json,malibu_and_san jose.json,monterey_and_riverside.json,monterey_and_san bernardino.json,napa_and_pismo beach.json,los angeles_and_santa cruz.json,newport beach_and_santa cruz.json,oakland_and_san luis obispo.json,oakland_and_santa cruz.json,sacramento_and_santa cruz.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa cruz.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san jose_and_san luis obispo.json,irvine_and_stockton.json,san jose_and_stockton.json,san luis obispo_and_stockton.json,santa cruz_and_stockton.json"
hanford,city,3,"Hanford, Kings County, California, United States of America",12,"bakersfield_and_carlsbad.json,bakersfield_and_fresno.json,bakersfield_and_sacramento.json,bakersfield_and_stockton.json,beverly hills_and_san luis obispo.json,fremont_and_santa barbara.json,fresno_and_pismo beach.json,fresno_and_stockton.json,sacramento_and_san luis obispo.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,sacramento_and_san bernardino.json"
santa cruz cruz,city,1,"Santa Cruz, Santa Cruz County, California, United States of America",1,riverside_and_santa cruz.json
soledad,city,12,"Soledad, Monterey County, California, United States of America",126,"anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,avalon_and_monterey.json,avalon_and_san jose.json,berkeley_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa cruz.json,berkeley_and_los angeles.json,berkeley_and_monterey.json,berkeley_and_pismo beach.json,berkeley_and_san diego.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,beverly hills_and_san francisco.json,carlsbad_and_monterey.json,carlsbad_and_san jose.json,carlsbad_and_santa cruz.json,fremont_and_fresno.json,fremont_and_los angeles.json,fremont_and_monterey.json,fremont_and_san diego.json,fresno_and_monterey.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,fresno_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san luis obispo.json,irvine_and_monterey.json,irvine_and_pismo beach.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_santa cruz.json,fresno_and_riverside.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_san jose.json,los angeles_and_monterey.json,los angeles_and_oakland.json,los angeles_and_pismo beach.json,los angeles_and_sacramento.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_stockton.json,malibu_and_san jose.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,monterey_and_oakland.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_san jose.json,monterey_and_santa clarita.json,monterey_and_temecula.json,napa_and_santa ana.json,napa_and_santa clarita.json,napa_and_santa cruz.json,los angeles_and_santa cruz.json,newport beach_and_santa cruz.json,oakland_and_pasadena.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa clarita.json,oakland_and_santa cruz.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa cruz.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa cruz.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa cruz.json,san jose_and_san luis obispo.json,san jose_and_santa ana.json,san jose_and_santa barbara.json,sacramento_and_san diego.json,oakland_and_pismo beach.json,irvine_and_stockton.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa cruz_and_stockton.json"
monterey route,city,7,"Monterey, Monterey County, California, United States of America",7,"beverly hills_and_monterey.json,fresno_and_monterey.json,monterey_and_santa ana.json,monterey_and_santa clarita.json,monterey_and_sausalito.json,monterey_and_newport beach.json,pismo beach_and_santa clarita.json"
san clemente,city,33,"San Clemente, Orange County, California, United States of America",130,"anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_san bernardino.json,anaheim_and_san diego.json,anaheim_and_san francisco.json,anaheim_and_san luis obispo.json,anaheim_and_santa clarita.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,anaheim_and_temecula.json,avalon_and_big bear lake.json,avalon_and_carlsbad.json,avalon_and_san bernardino.json,avalon_and_san diego.json,anaheim_and_santa monica.json,avalon_and_malibu.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_newport beach.json,berkeley_and_carlsbad.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,big bear lake_and_long beach.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_monterey.json,carlsbad_and_newport beach.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_san diego.json,carlsbad_and_temecula.json,fremont_and_huntington beach.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_santa monica.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_san diego.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa clarita.json,huntington beach_and_santa cruz.json,irvine_and_los angeles.json,irvine_and_pismo beach.json,irvine_and_riverside.json,irvine_and_san bernardino.json,irvine_and_san jose.json,irvine_and_santa clarita.json,irvine_and_santa cruz.json,irvine_and_santa monica.json,carlsbad_and_los angeles.json,carlsbad_and_san luis obispo.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,irvine_and_temecula.json,long beach_and_riverside.json,long beach_and_san bernardino.json,long beach_and_santa clarita.json,long beach_and_temecula.json,los angeles_and_riverside.json,los angeles_and_san bernardino.json,los angeles_and_santa ana.json,los angeles_and_stockton.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_stockton.json,malibu_and_temecula.json,napa_and_san luis obispo.json,los angeles_and_newport beach.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san diego.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_santa ana.json,pasadena_and_pismo beach.json,pasadena_and_riverside.json,pasadena_and_san francisco.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_san diego.json,pismo beach_and_santa monica.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_santa monica.json,san bernardino_and_temecula.json,san diego_and_santa ana.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_stockton.json,san diego_and_temecula.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,newport beach_and_sausalito.json,riverside_and_santa ana.json,san jose_and_temecula.json,san luis obispo_and_santa monica.json,san luis obispo_and_temecula.json,santa barbara_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json"
san diego ca,city,1,"San Diego, San Diego County, California, United States of America",2,"irvine_and_sacramento.json,sacramento_and_san bernardino.json"
monica boulevard,city,1,"Santa Monica, Los Angeles County, California, United States of America",1,beverly hills_and_san bernardino.json
costa mesa.i,city,1,"Costa Mesa, Orange County, California, United States of America",1,newport beach_and_santa ana.json
west garden grove,city,1,"Garden Grove, Orange County, California, United States of America",1,long beach_and_riverside.json
san bernardino ca,city,6,"San Bernardino, San Bernardino County, California, United States of America",4,"avalon_and_san bernardino.json,long beach_and_san bernardino.json,san bernardino_and_san diego.json,san bernardino_and_san jose.json"
fountain valley,city,12,"Fountain Valley, Orange County, California, United States of America",30,"anaheim_and_huntington beach.json,anaheim_and_irvine.json,anaheim_and_newport beach.json,anaheim_and_riverside.json,bakersfield_and_newport beach.json,big bear lake_and_santa ana.json,fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_irvine.json,huntington beach_and_long beach.json,huntington beach_and_los angeles.json,huntington beach_and_newport beach.json,huntington beach_and_oakland.json,huntington beach_and_pismo beach.json,huntington beach_and_riverside.json,huntington beach_and_san bernardino.json,huntington beach_and_santa ana.json,huntington beach_and_santa clarita.json,irvine_and_long beach.json,irvine_and_newport beach.json,long beach_and_riverside.json,long beach_and_santa ana.json,malibu_and_newport beach.json,newport beach_and_oakland.json,newport beach_and_san bernardino.json,newport beach_and_santa ana.json,oakland_and_riverside.json,oakland_and_santa ana.json,san bernardino_and_santa ana.json,riverside_and_santa ana.json"
cotati,city,1,"Cotati, Sonoma County, California, United States of America",51,"anaheim_and_fresno.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_sausalito.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fresno_and_los angeles.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san jose.json,fresno_and_stockton.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,long beach_and_stockton.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_stockton.json,mammoth lakes_and_sausalito.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,sausalito_and_stockton.json,stockton_and_temecula.json"
hayward,city,7,"Hayward, Alameda County, California, United States of America",6,"berkeley_and_fremont.json,fremont_and_oakland.json,fresno_and_san bernardino.json,long beach_and_oakland.json,monterey_and_oakland.json,oakland_and_san bernardino.json"
