attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_url,attraction_in_file
Kadu Malleshwara Temple,,"Kadu Malleswara is a temple from Chatrapati Shivaji period. But now there is at least 4 other temples adjacent to this, all look serene & neat. Kadu Malleswara has an... read more",108,10,,Bengaluru,"| Malleshwaram , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8066389-Reviews-Kadu_Malleshwara_Temple-Bengaluru_Karnataka.html,bengaluru.json
Jagannath Temple,,Awesome place to visit with friends and family and take lords blessing.A must visit if u come to Bangalore.,103,10,,Bengaluru,"Sarjapur Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d7312801-Reviews-Jagannath_Temple-Bengaluru_Karnataka.html,bengaluru.json
M Chinnaswamy Stadium,"Arenas & Stadiums , Sights & Landmarks",This cricket stadium is mostly active (In terms of public attendance) during the months of Indian Premier League (April to May) and during any BCCI organized international matches... read more,13,447,80 4015 4015,Bengaluru,"Mahatma Gandhi Road , Bengaluru 560001 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d6706034-Reviews-M_Chinnaswamy_Stadium-Bengaluru_Karnataka.html,bengaluru.json
Visvesvaraya Industrial and Technological Museum,"Science Museums , Museums ",A museum of its own kind that celebrates the advances of science & technology. Not only young but anyone with a curious mind will love this museum in Bangalore.,4,"1,154",+91 80 2286 6200,Bengaluru,"P. B. No. 5216, Kasturba Road | Cubbon Park, Gandhi Nagar , Bengaluru 560001 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2587719-Reviews-Visvesvaraya_Industrial_and_Technological_Museum-Bengaluru_Karnataka.html,bengaluru.json
Sri Lakshmi Narasimha Temple,,"One of the oldest temple in Bangalore, it is behind Kadu Malleswara temple. The main diety is lovely and every Tuesday around 8 am abhisekha is done. It is lovely sight and if you... read more",109,8,+91 80 2356 6146,Bengaluru,"15th Cross Rd | Vyalikaval, Malleshwara , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8453786-Reviews-Sri_Lakshmi_Narasimha_Temple-Bengaluru_Karnataka.html,bengaluru.json
DakshinaMukhy Nandeeshwara Temple,,"This is a very ancient temple located in Malleshwaram, Bangalore. This temple is dedicated to Lord Shiva. Lord Shiva is worshiped as Nandishwar (which means God of Nandi or God... read more",152,3,,Bengaluru,"Sampige Road, Malleshwaram , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d4401138-Reviews-DakshinaMukhy_Nandeeshwara_Temple-Bengaluru_Karnataka.html,bengaluru.json
Forum Value Mall,,"This mall has 3 floors, top floor is for food and entertainment for kids. In 2nd floor you have INOX and the other 2 is a combination of shopping and eatery.",72,36,+91 80 2504 3800,Bengaluru,"No.62, Whitefield Main Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d5782152-Reviews-Forum_Value_Mall-Bengaluru_Karnataka.html,bengaluru.json
The Heritage Centre & Aerospace Museum,"Science Museums , Museums","If you want to know something of Aviation manufacturing etc of India this is a must see. Price is very nominal, Collections there are very impressive, and you can even play game... read more",18,251,+91 80 2522 8341,Bengaluru,"Varthur Main Road | Airport Road , Bengaluru 560037 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d1492207-Reviews-The_Heritage_Centre_Aerospace_Museum-Bengaluru_Karnataka.html,bengaluru.json
Cosmos Mall,,"Limited shopping options as on date as it is under renovation. Inox cinemas & food court are attractions beside soch, pantaloon, max etc. But chances of development after... read more",159,16,+91 80 6452 8945,Bengaluru,"Brookefield, ITPL Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d6104949-Reviews-Cosmos_Mall-Bengaluru_Karnataka.html,bengaluru.json
Arena Mall,"“ Shopperstop & PVR ” Reviewed August 20, 2016 via mobile Hi this mall is not that big n happening like other malls in the city. It has few shops opend. Recently it opened barbeque nation. Helpful? Thank Sukant_deb Report",,226,,,Bengaluru,,https://www.tripadvisor.com/Attraction_Review-g297628-d10546861-Reviews-Arena_Mall-Bengaluru_Karnataka.html,bengaluru.json
St Patrick's Church,,Very peaceful. Located in the heart of the city. Beautiful architecture. Very easily accessible. Marvelous.,101,12,,Bengaluru,"Brigade Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d4400987-Reviews-St_Patrick_s_Church-Bengaluru_Karnataka.html,bengaluru.json
Holy Trinity Church,,Trinity Church is located at the end of MG road just after Trinity Circle. The church is one of the oldest in Bangalore built by the British. If visiting in the morning it is... read more,92,14,,Bengaluru,"Trinity circle, MG Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d4400983-Reviews-Holy_Trinity_Church-Bengaluru_Karnataka.html,bengaluru.json
Mahatma Gandhi Park,,Dont miss to walk on the Park. Nice place. The place is eventfull even though the surrounding roads are busy. Good for an evening walk,184,2,,Bengaluru,"MG Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8870060-Reviews-Mahatma_Gandhi_Park-Bengaluru_Karnataka.html,bengaluru.json
St. Mark's Cathedral,"Neighborhood: Ulsoor Sacred & Religious Sites , Sights & Landmarks ","Beautiful heritage church from colonial times in the heart of Bangalore, surrounded by old trees. At the beginning of MG Road and the road that has the church's name - St Marks... read more",36,129,+91 80 2221 4021,Bengaluru,"1 MG Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d631368-Reviews-St_Mark_s_Cathedral-Bengaluru_Karnataka.html,bengaluru.json
St. Andrew's Church,,"The history of St. Andrew Church is very old but the church is still maintained well. I Like this complete bright red building of Church. It is also beautiful from inside, the... read more",118,12,+91 80 2559 1874,Bengaluru,"No 27 Cubbon Road , Bengaluru 560001 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d4400999-Reviews-St_Andrew_s_Church-Bengaluru_Karnataka.html,bengaluru.json
Nandi Hills,"Mountains , Nature & Wildlife Areas , Scenic Drives , Outdoor Activities , Sights & Landmarks , Nature & Parks , More",It's rare but I have seen few of them climb Nandi hill by walk Me and my brother-in-law both tried during the second half of the day It was amazing experience to walk around 8km... read more,1,583,,Chikkaballapur,"| Chikkaballapur Taluk , Chikkaballapur 562101 , India",https://www.tripadvisor.com/Attraction_Review-g8153697-d1221021-Reviews-Nandi_Hills-Chikkaballapur_Karnataka.html,chikkaballapur.json
M N Krishna Rao Park,,KR park is in Basavangudi and near to south indies. It is full with people during morning and evening. This is full of greenery all around. Good for a job or a walk. This park... read more,96,13,,Bengaluru,"Basavanagudi , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d4435747-Reviews-M_N_Krishna_Rao_Park-Bengaluru_Karnataka.html,bengaluru.json
Bhoga Nandeeshwara Temple,,"This temple is located close to Nandi Hills and is a ""must see"", for it's uniqueness, both in terms of religious reverence and historical significance. It's one of the oldest... read more",1,41,,Chik Ballapur,"Nandi Hills , Chik Ballapur , India",https://www.tripadvisor.com/Attraction_Review-g2282869-d3912850-Reviews-Bhoga_Nandeeshwara_Temple-Chik_Ballapur_Karnataka.html,chik_ballapur.json
Devanahalli Fort,,A very small fort. But what was impressive are the fort walls which are in good condition. And close by is the birth place of Tipu Sultan.,1,43,9945025317,Devanahalli,"Off NH7, beyond BIAL , Devanahalli , India",https://www.tripadvisor.com/Attraction_Review-g3581722-d2587757-Reviews-Devanahalli_Fort-Devanahalli_Karnataka.html,devanahalli.json
National Gallery of Modern Art,,"A must visit if you are an art enthusiast, has permanent collections and changing exhibits, the cafe could have been better.",42,159,,Bengaluru,"Palace Road , Bengaluru 560052 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d3671421-Reviews-National_Gallery_of_Modern_Art-Bengaluru_Karnataka.html,bengaluru.json
St. Mary's Basilica,"Churches & Cathedrals , Sights & Landmarks ",Another landmark icon on Bangalore.... highly popular with tourists and locals equally... been here a few times and bought some gets and friends who were visiting and it was only... read more,30,138,+91 80 2286 5434,Bengaluru,"Msgr F Noronha Road , Bengaluru 560051 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2587695-Reviews-St_Mary_s_Basilica-Bengaluru_Karnataka.html,bengaluru.json
Infant Jesus Shrine,"Sacred & Religious Sites , Sights & Landmarks",A place of peaceful calm. Very old Church. Must go one time. Dont forget to chk out the huge statue at the centre near the dias.,14,196,+91 80 2530 1206,Bengaluru,"Bazaar Street , Bengaluru 560047 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2734131-Reviews-Infant_Jesus_Shrine-Bengaluru_Karnataka.html,bengaluru.json
Venkatappa Art Gallery and Government Museum,,"There's an offer for a tour; you totally don't need it! $44 for a tour? It cost 8Rs to get in the door when I went, that's a huge up-charge for a place that has the info for their... read more",87,31,,Bengaluru,"Kasturba Road | Cubbon Park, Gandhi Nagar , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d325160-Reviews-Venkatappa_Art_Gallery_and_Government_Museum-Bengaluru_Karnataka.html,bengaluru.json
Indira Gandhi Musical Fountain,"Fountains , Sights & Landmarks",Nice place to be with kids...to watch musical fountain...evening two shows...at 7 and at 8 pm...each half an hour duration...car parking available inside,37,153,,Bengaluru,"Raj Bhavan Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2076436-Reviews-Indira_Gandhi_Musical_Fountain-Bengaluru_Karnataka.html,bengaluru.json
Kynkyny Art,,"One of the most respected galleries in Bangalore, Kynkyny is a very elegant space. There is usually a curated solo/group show of contemporary artists on display here. They also... read more",75,29,+91 80 4092 6202,Bengaluru,"104 Embassy Square | 148 Infantry Road , Bengaluru 560001 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d3644817-Reviews-Kynkyny_Art-Bengaluru_Karnataka.html,bengaluru.json
Mahua Art Gallery,,A must visit for all to treat your eyes and soul with vibrant hues and amazing play of colours!!! Artists from allover have displayed their works in this incredible Gallery!!!,135,3,917259037535,Bengaluru,"344/8, 4th Main Road (Above Vijaya Bank) Sadashivnagar | Bangalore 560080 , Bengaluru 560080 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d10306896-Reviews-Mahua_Art_Gallery-Bengaluru_Karnataka.html,bengaluru.json
Galerie De'Arts,"“ Great collection of artwork ” Reviewed June 26, 2016 This place in MG Road has got really a good collection of artwork from famous artists, both for exhibition and sale. People who are very much into the art, pay vry high prices. The place is well connected to city center by public transport. The gallery is well maintained and neatly arranged Helpful? 1 Thank gausha05 Report",,193,2,,Bengaluru,,https://www.tripadvisor.com/Attraction_Review-g297628-d9731951-Reviews-Galerie_De_Arts-Bengaluru_Karnataka.html,bengaluru.json
Bhimeshwara Temple,,"Kaiwara is a town in Chintamani Taluk of Chickkaballapur district in Karnataka state, which is close to Bangalore at about 65 km. This is a pilgrimage center for people leaning... read more",4,5,,Chik Ballapur,"Nandi Hills , Chik Ballapur , India",https://www.tripadvisor.com/Attraction_Review-g2282869-d3912849-Reviews-Bhimeshwara_Temple-Chik_Ballapur_Karnataka.html,chik_ballapur.json
Tipu's Summer Residence,,This is now just a small part of Tipu's summer palace. So it makes a nice short break from the hustle of busy Bangalaru. A pretty place with nice architecture. Great to see the... read more,3,17,,Chik Ballapur,"Nandi-Hills , Chik Ballapur , India",https://www.tripadvisor.com/Attraction_Review-g2282869-d3705089-Reviews-Tipu_s_Summer_Residence-Chik_Ballapur_Karnataka.html,chik_ballapur.json
Discovery Village,"“ A great place for company outing ” Reviewed December 9, 2015 Had been there as a part of company's outing. The place is far from Bengaluru City but the visit is worth all the travel. The place is located at the foot hills of the famed Nandi Hills with the hills providing a good backdrop. The place, being away from the main road, was very serene. Also, the place was very... More Helpful? Thank Pavan316 Report",,3,,,Chikkaballapur,,https://www.tripadvisor.com/Attraction_Review-g8153697-d9466044-Reviews-Discovery_Village-Chikkaballapur_Karnataka.html,chikkaballapur.json
Kalavara Durga (Skandagiri),"Sacred & Religious Sites , Sights & Landmarks",Guys plz dnt go to this place. Police der wont leave fo any trekking n all.. Its banned fo some reasons. Instead u can go to Avala Betta. Its nearby Chikballapur. U hv to go to... read more,2,43,,Chik Ballapur,"Nandi Hills | 3 Km from Chikballapur , Chik Ballapur , India",https://www.tripadvisor.com/Attraction_Review-g2282869-d3727376-Reviews-Kalavara_Durga_Skandagiri-Chik_Ballapur_Karnataka.html,chik_ballapur.json
Avalabetta,,"This is a good place but slowly getting commercialised and rush is increasing. When we went, there was a good amount of rush. One needs to cross Peresandra on NH-7... read more",2,33,919740745637,Chikkaballapur,"Avalabetta Road | Yarramaranahalli , Chikkaballapur 561211 , India",https://www.tripadvisor.com/Attraction_Review-g8153697-d10392047-Reviews-Avalabetta-Chikkaballapur_Karnataka.html,chikkaballapur.json
Grover Zampa Vineyards,,"Drove over from Bangalore for a last minute tour and we were accomodated, although we did wait about 1 hour. The waiting/ dining area could use some improvement...liked the wine... read more",164,7,+91 22 22044224/,Bengaluru,"Devanahalli Road | 63, Raghunathapura , Bengaluru 561203 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d7898892-Reviews-Grover_Zampa_Vineyards-Bengaluru_Karnataka.html,bengaluru.json
Sri Ranganatha Swamy Temple,"“ One of the 3 Ranganatha Swamy Temple ” Reviewed September 27, 2015 The interesting part of this temple is that the idols of lord Ranganatha at Rangastla, Srirangam and Srirangapatna were installed on same day and same time. It is an ancient temple just about maintained in shape. We decided to go there just to visit the temple. The garbha griha is pitch dark with just an oil lamp providing the light... More Helpful? Thank Mahesh_Bhaktha Report",,4,,,Chikkaballapur,,https://www.tripadvisor.com/Attraction_Review-g8153697-d8671815-Reviews-Sri_Ranganatha_Swamy_Temple-Chikkaballapur_Karnataka.html,chikkaballapur.json
Heritage Winery,,We had an amazing time at the vineyards. The guide was very informative but I had to ask a lot of questions to get specific answers. He was not going in depth with the technical... read more,1,49,+91 97417 98666,Channapatna,"115/86, Gangedoddi Village, Chekkere Post , Channapatna , India",https://www.tripadvisor.com/Attraction_Review-g1898393-d7351134-Reviews-Heritage_Winery-Channapatna_Karnataka.html,channapatna.json
Nadi Narasimhaswamy Temple,,A slight deviation from Malur Krishna temple. Drive is through lands with lots of greenery and trees. The temple is about 3-4 kilomteres from the main road. The temple is in the... read more,3,7,,Channapatna,"Channapatna , India",https://www.tripadvisor.com/Attraction_Review-g1898393-d7597658-Reviews-Nadi_Narasimhaswamy_Temple-Channapatna_Karnataka.html,channapatna.json
Kengal Anjaneya Swamy Temple,,"We made just a short stop on our way to Mysore and I had only a look from outside. It didn't look to attractive, so I decided to continue direction Mysore, where more attractive... read more",4,7,,Channapatna,"Bangalore Mysore Highway , Channapatna , India",https://www.tripadvisor.com/Attraction_Review-g1898393-d8043448-Reviews-Kengal_Anjaneya_Swamy_Temple-Channapatna_Karnataka.html,channapatna.json
Bangalore Turf Club Race Course,,This bulb is exclusively an old world charm of the lost bygone era . The membership is pricy . The horse race lovers Mecca in Bangalore is a buzzing place of activity and the... read more,81,32,+91 80 2226 2391,Bengaluru,"Race Course Road , Bengaluru 560001 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d631369-Reviews-Bangalore_Turf_Club_Race_Course-Bengaluru_Karnataka.html,bengaluru.json
Karnataka Chitrakala Parishat,"Art Galleries , Art Museums , Shopping , Museums",Karnataka Chitrakala Parishat is an art gallery of high standards.It is home to traditional Mysore art and also has European art mainly Russian.,31,120,+91 80 2226 1816,Bengaluru,"Kumarakrupa Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2587763-Reviews-Karnataka_Chitrakala_Parishat-Bengaluru_Karnataka.html,bengaluru.json
Karnataka High Court,,"It is very good building , it is among very old buildings but if you see then it does not look like.",58,37,,Bengaluru,"Raj Bhavan Road, Dr. Ambedkar Veedhi, Attanakatochery , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d4401037-Reviews-Karnataka_High_Court-Bengaluru_Karnataka.html,bengaluru.json
Gopalan Signature Mall,,"Several malls in Bangalore city but this one is really a one to watch, great location, nice place, most of the branded shops are available plus a great bowling alley and a... read more",80,42,+91 80 2524 6246,Bengaluru,"No. 6, CV Raman Nagar, Old Madras Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d6104783-Reviews-Gopalan_Signature_Mall-Bengaluru_Karnataka.html,bengaluru.json
Sri Garuda Swagath Mall,,It's in the center of the city and looks more attractive after renovation. If they open bowling alley it will be more fun,123,9,+91 98450 59393,Bengaluru,"Tilak Nagar Main Road Phase, Jaya Nagar 4th T Block , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d6104794-Reviews-Sri_Garuda_Swagath_Mall-Bengaluru_Karnataka.html,bengaluru.json
Garuda Mall,,This mall has everything to offer. Inox cinemas to a large food court with a large variety of options. Great places to shop as well.,39,120,+91 80 4069 8888,Bengaluru,"15 Commissionaire Junction | Ashok Nagar , Bengaluru 560025 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d6041057-Reviews-Garuda_Mall-Bengaluru_Karnataka.html,bengaluru.json
Venkataramana Swamy Temple,,"This temple is in Maralakunte area. The temple has Lord Venkatramana as presiding deity . During annual celebration , the temple is beautified and decorated .Lakhs of... read more",175,3,,Bengaluru,"Maralakunte , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2667667-Reviews-Venkataramana_Swamy_Temple-Bengaluru_Karnataka.html,bengaluru.json
Angala Parameswari Temple,,"The temple located in the Madiwala road is dedicated to Parameshwari or Devi who is considered to be the mother for three morrthies , brahma, Vishnu and Eshwara who have the... read more",169,3,,Bengaluru,"Madivala Road | Koramangala 2B Block, Kudremukh Colony , Bengaluru 560068 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8510295-Reviews-Angala_Parameswari_Temple-Bengaluru_Karnataka.html,bengaluru.json
Shri Kshetra Dharmasthala,"Sacred & Religious Sites , Sights & Landmarks",Dharmastala is on the bank of Netravathi river in the western ghats. Special automatic lifting felicity (to climb stairs) is available in the entrance for physically challenged... read more,1,108,,Dharmasthala,"Beltangady Taluk | South Canara District , Dharmasthala , India",https://www.tripadvisor.com/Attraction_Review-g608473-d3172516-Reviews-Shri_Kshetra_Dharmasthala-Dharmasthala_Karnataka.html,dharmasthala.json
Kumara Parvatha,"Mountains , Nature & Parks","One of trekking paradise of south India.It is located near Kukke Subramanya Temple.For trekking lovers this place is best suited one. We planned to climb the mountain, but due to... read more",2,45,+91 90661 74455,Subramanya,"Subramanya , India",https://www.tripadvisor.com/Attraction_Review-g1071658-d1220704-Reviews-Kumara_Parvatha-Subramanya_Karnataka.html,subramanya.json
Dufferin Clock Tower,,This is the smallest of the two Clock Towers in the city center and it is right in the middle of a busy circus and shopping area. As traffic is quite heavy I could see it from... read more,49,11,,Mysuru (Mysore),"End Of Devaraja Market | Near KR Circle , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d4400959-Reviews-Dufferin_Clock_Tower-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Dodda Gadiyaara,,This clock tower is very old and majestic.Located in middle of the city and not to be missed.Many movies are shot here.The charm of this makes to see again and again,48,18,,Mysuru (Mysore),"Ashoka Road , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d6496313-Reviews-Dodda_Gadiyaara-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Krishna Rajendra Circle,,Krishna Rajendra Circle is primarily the city-center. It is located very close to the 'city bus stand' and main market area. We purchased few utensils & ladies clothes from... read more,40,32,,Mysuru (Mysore),"Sayyaji Rao Rd , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d7220909-Reviews-Krishna_Rajendra_Circle-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Mangalore to Bangalore Dream Route,,Over the years the road from Mangaluru to Bengaluru is improved a lot. Still many improvements are required. During night trip. many buses stops at Sakleshpur after the ghat... read more,3,11,,Sakleshpur,"Mangalore to Bangalore Train Route , Sakleshpur , India",https://www.tripadvisor.com/Attraction_Review-g2371802-d4273925-Reviews-Mangalore_to_Bangalore_Dream_Route-Sakleshpur_Karnataka.html,sakleshpur.json
Shree Rama Kshethra,,This temple is huge and has different types of gods in the same place has all 9 Durga Avatar and Navagrahas. Good place.,4,14,,Dharmasthala,"Ujire-Dharmastala Rd , Dharmasthala 574240 , India",https://www.tripadvisor.com/Attraction_Review-g608473-d7928455-Reviews-Shree_Rama_Kshethra-Dharmasthala_Karnataka.html,dharmasthala.json
Southadka Shree Mahaganapathi Kshetra,,Very rare kind of temple in open area and feels positive energy. Please don forget to have Poha Prasad.,3,12,08251 - 202161,Dharmasthala,"Dharmastala Road | Belthangandy Taluk, Dakshina Kannada , Dharmasthala 574 198 , India",https://www.tripadvisor.com/Attraction_Review-g608473-d8720409-Reviews-Southadka_Shree_Mahaganapathi_Kshetra-Dharmasthala_Karnataka.html,dharmasthala.json
Manjarabad Fort,,The initial route to the fort is not well maintained. The next part of the steps are quite ok. But once when you reach the top you will greeted with a great view all around. This... read more,1,113,,Sakleshpur,"National Highway 48 , Sakleshpur 573134 , India",https://www.tripadvisor.com/Attraction_Review-g2371802-d4161496-Reviews-Manjarabad_Fort-Sakleshpur_Karnataka.html,sakleshpur.json
Panambur Beach,,"This beach is located next to a coal handling plant. When we visited, the sporting activities were banned due to some safety issues. Could not enjoy much. Good car parking... read more",4,325,+91 824 242 7391,Mangalore,"NH-66, Near New Mangalore Port Trust , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3265821-Reviews-Panambur_Beach-Mangalore_Karnataka.html,mangalore.json
Bettada Byraveshwara Temple,,There is a wonderful temple here. To get a proof of this you need to trek 2 mountains which can be done in about 60-90 minutes. The view of this temple from the peak is just... read more,4,7,,Sakleshpur,"| Near Mekangadde Homestay , Sakleshpur 577132 , India",https://www.tripadvisor.com/Attraction_Review-g2371802-d10172940-Reviews-Bettada_Byraveshwara_Temple-Sakleshpur_Karnataka.html,sakleshpur.json
Sakaleswara Temple,,"Beautiful old temple the environment is really good, this temple is surrounded with greenery. there was also a small mount nearby if you love trekking enjoy the nature from the... read more",2,17,,Sakleshpur,"Entrance of The Town , Sakleshpur , India",https://www.tripadvisor.com/Attraction_Review-g2371802-d4138534-Reviews-Sakaleswara_Temple-Sakleshpur_Karnataka.html,sakleshpur.json
Kudroli Gokarnath Temple,"Sacred & Religious Sites , Sights & Landmarks",It is a very well maintained place. Since it is a very large place you can't see more people and you can travel throughout the temple with peace.,1,301,+91 824 249 4040,Mangalore,"Kudroli | 3 Km from Hampankatta , Mangalore 575003 , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3705055-Reviews-Kudroli_Gokarnath_Temple-Mangalore_Karnataka.html,mangalore.json
Annapoorneshwari Temple,"Sacred & Religious Sites , Sights & Landmarks",The temple premises is good and surrounded with greenary. The goddess Annapoorneswari is divine and beautiful with big face. We cannot forget the face of the god. When we reached... read more,1,53,,Sringeri,"Horanadu , Sringeri , India",https://www.tripadvisor.com/Attraction_Review-g1676033-d3913234-Reviews-Annapoorneshwari_Temple-Sringeri_Karnataka.html,sringeri.json
Bisile Ghat,,We visited Bisile Ghat post our stay at the Kadamane estate. The drive is amazing through misty forest. The road connecting Bisile Ghat view point from Sakleshpur wasn't bad at... read more,8,23,,Hassan,"Nr. Bisle Reserve Forest | Sakaleshpura Taluk , Hassan , India",https://www.tripadvisor.com/Attraction_Review-g503696-d1204484-Reviews-Bisile_Ghat-Hassan_Karnataka.html,hassan.json
Kadri Manjunath Temple,"Sacred & Religious Sites , Sights & Landmarks","This is an awesome temple. This temple is made on a mountain. So there are 3-4 different levels. Depends on how much you can climb up the stairs. This is a sacred place, very... read more",2,255,,Mangalore,"Kadri , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3139339-Reviews-Kadri_Manjunath_Temple-Mangalore_Karnataka.html,mangalore.json
Surathkal Beach,"Beaches , Nature & Parks , Outdoor Activities",I found this to be the most wonderful beach in Mangalore-Udupi circuit because it is very clean and there was hardly any crowd. Perfect beach to spend time with your friends.,11,90,,Mangalore,"Surathkal , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3265823-Reviews-Surathkal_Beach-Mangalore_Karnataka.html,mangalore.json
Someshwara Temple and Beach,"Points of Interest & Landmarks , Sights & Landmarks","At a distance of 10 Kms from Mangalore Railway Station, Someshwar Beach located near Ullal Railway Station is a well known beach near Mangalore. This beach is famous for clean... read more",8,81,,Mangalore,"Ullal , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d6889526-Reviews-Someshwara_Temple_and_Beach-Mangalore_Karnataka.html,mangalore.json
Tannirbhavi Beach,"Beaches , Nature & Parks , Outdoor Activities",The beach is very clean with fairly white sand and a long coast line. The shore is dotted with pine trees which provide welcome respite from the sun. There are food and beverage... read more,3,233,,Mangalore,"Tannirbhavi Beach Road | Bengre Kulur , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3444217-Reviews-Tannirbhavi_Beach-Mangalore_Karnataka.html,mangalore.json
Kateel Shri Durgaparameshwari Temple,"Sacred & Religious Sites , Sights & Landmarks",This temple is located next to a river and there is access all through the day. Adequate car parking and the holy shrine of goddess durgaparameshwari is a soothing experience for... read more,6,138,+91 824 220 0361,Mangalore,"Kateel Post , Mangalore 574 148 , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3187111-Reviews-Kateel_Shri_Durgaparameshwari_Temple-Mangalore_Karnataka.html,mangalore.json
St. Aloysius Chapel,"Churches & Cathedrals , Sights & Landmarks","Having visited the Sistine Chapel, I could understand why its nick name, 'Sistine Chapel of the East'. Beautiful paintings that depict the life of Jesus and Saint Aloysius adorn... read more",5,163,,Mangalore,"St Aloysius College Campus | Lighthouse HIll Road , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3444292-Reviews-St_Aloysius_Chapel-Mangalore_Karnataka.html,mangalore.json
Mullayanagiri,"Mountains , Nature & Parks",my first visit ....it looked like ...its like Scotland ...(scotish meadows ) more like switz. wow road experience . beautiful horticulture office.,1,986,,Chikamagalur,"Subramanya , Chikamagalur 577101 , India",https://www.tripadvisor.com/Attraction_Review-g297629-d3310033-Reviews-Mullayanagiri-Chikamagalur_Karnataka.html,chikamagalur.json
Sringeri Mutt,"Sacred & Religious Sites , Sights & Landmarks",Price was only Rs.300 per 34 hours stay. Hot water will cost Rs.10/bucket. You will get room easily if you reach there before 4 pm. Lift facility available.,2,220,,Chikamagalur,"Sringeri , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d3705036-Reviews-Sringeri_Mutt-Chikamagalur_Karnataka.html,chikamagalur.json
Adhishakthyathmaka Sri Annapoorneshwari Temple,,A divine devi temple in the malnad region of Karnataka. Free lunch at dinner provided everyday. Clean and well maintained temple.,1,41,08263-269714,Horanadu,"Mudigere _ Taluk | Chikamagalur District , Horanadu 577181 , India",https://www.tripadvisor.com/Attraction_Review-g2287317-d8067798-Reviews-Adhishakthyathmaka_Sri_Annapoorneshwari_Temple-Horanadu_Karnataka.html,horanadu.json
Lakshmi Narasimha Temple,,"I came here with some friends on a tour of the area. I had not heard of this before, but they knew about it and were fascinated by the stories of the stone carvings. There are... read more",4,26,+91 93424 32962,Hassan,"Nuggehalli Main Road , Hassan 573131 , India",https://www.tripadvisor.com/Attraction_Review-g503696-d4178731-Reviews-Lakshmi_Narasimha_Temple-Hassan_Karnataka.html,hassan.json
