attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
Presidio Pet Cemetery,"“ currently protected, but not open ” Reviewed July 17, 2016 From the 1960's residents of the Presidio buried their pets with headstones and all. Currently, as the freeway is being rerouted, the cemetery is overgrown and locked, but the promise of reopening is coming. Helpful? Thank Lynne S Report",,410,2,,San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g60713-d10598116-Reviews-Presidio_Pet_Cemetery-San_Francisco_California.html,san_francisco.json
St. Mary's Cathedral,"Sacred & Religious Sites , Sights & Landmarks",It has a very nicely designed modern look. The materails used in construction looks very high quality and smooth. It has a different catchy design cathedral.,98,86,+1 415-567-2020,San Francisco,"1111 Gough St , San Francisco , CA 94109-6686",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156662-Reviews-St_Mary_s_Cathedral-San_Francisco_California.html,san_francisco.json
Transamerica Redwood Park,,"Pictures don't do this justice. The sculptures, water fountain, redwoods, ferns, and parkland all in the shadow of the TransAmerica building, are beautiful and serene. What a... read more",270,6,,San Francisco,"600 Montgomery St , San Francisco , CA 94111-2702",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8611780-Reviews-Transamerica_Redwood_Park-San_Francisco_California.html,san_francisco.json
Mrs Doubtfire House,,"Being a huge fan of Robin Williams and how much we loved the classic film Mrs Doubtfire, this was a must see for us on our 3rd trip to SF. As is the expected protocol with most... read more",257,6,,San Francisco,"2640 Steiner St , San Francisco , CA 94115",-122.4363529,37.793935,https://www.tripadvisor.com/Attraction_Review-g60713-d10483994-Reviews-Mrs_Doubtfire_House-San_Francisco_California.html,san_francisco.json
San Francisco National Cemetary,,This is a scenic final resting place that's easily accessible to the public. Every American should visit a national cemetery and this is a good one to do that. It's sobering to... read more,224,9,6507611646,San Francisco,"1 Lincoln Blvd , San Francisco , CA 94129-1705",,,https://www.tripadvisor.com/Attraction_Review-g60713-d9782823-Reviews-San_Francisco_National_Cemetary-San_Francisco_California.html,san_francisco.json
Glad Tidings Church,,"I moved to San Francisco looked for a Church to get plugged in to the city. Wow! Glad Tidings could be termed a loving United Nations! It is totally diverse, it is designed to... read more",256,11,+1 415-346-1111,San Francisco,"1280 Webster St , San Francisco , CA 94115-4231",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3156844-Reviews-Glad_Tidings_Church-San_Francisco_California.html,san_francisco.json
Stonestown Galleria,,"I met some one there as a place to meet and pretty nice for a cafe in a shopping area. i had the salmon salad , she had a sandwich , nice enough setting for us to talk, you... read more",226,21,+1 415-759-2623,San Francisco,"3251 20th Ave. at Buckingham Way , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156664-Reviews-Stonestown_Galleria-San_Francisco_California.html,san_francisco.json
Banker's Heart,,This used to be the headquarters for Bank of America the plaza has a black granite sculpture. It should not be mistaken for the various hearts dotted in and around the city.,411,3,,San Francisco,"555 California St , A.P. Giannini Plaza , San Francisco , CA 94104-1503",,,https://www.tripadvisor.com/Attraction_Review-g60713-d6753957-Reviews-Banker_s_Heart-San_Francisco_California.html,san_francisco.json
Pacific Heights,"Neighborhoods , Sights & Landmarks , Other",Just happen on this tour and really enjoy it. Julie and Dennis was a great pair. Lots of history between the two of them. Highly recommend this tour because of the great places we... read more,114,66,+1 415-563-5341,San Francisco,"2356 Pine St , San Francisco , CA 94115-2715",,,https://www.tripadvisor.com/Attraction_Review-g60713-d142482-Reviews-Pacific_Heights-San_Francisco_California.html,san_francisco.json
Presidio Officers’ Club,,"We hiked from our hotel in union square via fishermans warf, north beach to Presidio. It is so great to be in and feel the outdoors here. There is not much available for a bite... read more",225,10,(415) 561-4400,San Francisco,"50 Moraga Ave , San Francisco , CA 94129-1122",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8027662-Reviews-Presidio_Officers_Club-San_Francisco_California.html,san_francisco.json
Mohandas K. Gandhi (Gandhi Statue),,We went to see the Gandhi Status which is by the San Francisco Ferry Building in the Embarcadero area. There is seating and tables nearby. The location is a bit south from the... read more,332,6,,San Francisco,"1 Ferry Building , Ferry Building Parking Lot , San Francisco , CA 94199",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8076808-Reviews-Mohandas_K_Gandhi_Gandhi_Statue-San_Francisco_California.html,san_francisco.json
Marina District,"Neighborhood: Marina District Neighborhoods , Other, Sights & Landmarks ",There are many blocks of very pretty and very expensive large homes. Across the bay-side boulevard is a grassy park with good views of the Golden Gate Bridge. The boulevard... read more,86,91,,San Francisco,"Chestnut St (btwn Divisadero and Fillmore) , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d108312-Reviews-Marina_District-San_Francisco_California.html,san_francisco.json
Golden Gate Promenade,,"You can walk, cycle, jog or Segway along the promenade. Relaxing walk along the bay trail, stop for a coffee and enjoy the view.",38,336,,San Francisco,"Marina Blvd. at Baker St. , Marina District , San Francisco , CA 94129",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156469-Reviews-Golden_Gate_Promenade-San_Francisco_California.html,san_francisco.json
Treasure Island Flea Market,,It was nice to check this place out off the usual in SF. The trip by bus to this tiny island is worth to see SF from a different perspective. Antiques and stuff are worth if you... read more,140,40,+1 415-898-0245,San Francisco,"1 Avenue of the Palms Ave , Treasure Island , San Francisco , CA 94130-1811",,,https://www.tripadvisor.com/Attraction_Review-g60713-d2615516-Reviews-Treasure_Island_Flea_Market-San_Francisco_California.html,san_francisco.json
The Winery SF,,We tried their Glitter (Sparkling white wine) while on a wine tasting boat cruise and really enjoyed it. Ended up ordering a case of the wine for home. Awesome.,308,10,+1 415-773-0178,San Francisco,"200 California Ave , Building 180 North , San Francisco , CA 94130-1711",,,https://www.tripadvisor.com/Attraction_Review-g60713-d1936895-Reviews-The_Winery_SF-San_Francisco_California.html,san_francisco.json
Treasure Island,"Islands , Military Bases & Facilities , Sights & Landmarks , Nature & Parks ",We only got to visit this at night on the way back on a bus trip from Yosemite because it was highly recommended by our coach driver. It provides a fantastic view of the night... read more,88,166,,San Francisco,"San Francisco , CA",-122.4629896,37.7647993,https://www.tripadvisor.com/Attraction_Review-g60713-d275174-Reviews-Treasure_Island-San_Francisco_California.html,san_francisco.json
Contemporary Jewish Museum,,"I didn't know where the museum was or what it was like, but I was interested specifically in seeing the Kubrick exhibit. What a pleasant surprise. I visited San Francisco on a... read more",118,150,+1 415-655-7800,San Francisco,"736 Mission St , San Francisco , CA 94103-3113",,,https://www.tripadvisor.com/Attraction_Review-g60713-d143983-Reviews-Contemporary_Jewish_Museum-San_Francisco_California.html,san_francisco.json
Vinicola de Coppola,"“ Tourist trap with awful service: staff need attitude adjustment ” Reviewed May 31, 2014 Coppola has some interesting memorabilia and a good restaurant with a pleasant setting. That said, only go for food if you are in the area for something else. We're serious wine drinkers and have tasted on 6 continents. Did the reserve tasting on May 28th. Guy behind the counter took our money, ($30) poured 4 wines, set the bottles in... More Helpful? 1 Thank Zamy12 Report",,341,5,,San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g60713-d3905901-Reviews-Vinicola_de_Coppola-San_Francisco_California.html,san_francisco.json
Bluxome Street Winery,,This is a great place for a reception. The staff members were nice and accommodating. It is unique and the wine is flowing. At our event we had food from a food truck. It was... read more,305,5,+1 415-543-5353,San Francisco,"53 Bluxome St , San Francisco , CA 94107-1605",,,https://www.tripadvisor.com/Attraction_Review-g60713-d4461309-Reviews-Bluxome_Street_Winery-San_Francisco_California.html,san_francisco.json
Moscone Center,"Neighborhood: SoMa Conference & Convention Centers , Traveler Resources",Recently attended a conference at the Moscone Center. The center was clean (even the bathrooms!) Staff was helpful and friendly. Maps of the center are deceiving in showing... read more,95,142,+1 415-974-4000,San Francisco,"747 Howard St , San Francisco , CA 94103-3118",,,https://www.tripadvisor.com/Attraction_Review-g60713-d1419804-Reviews-Moscone_Center-San_Francisco_California.html,san_francisco.json
St. Patrick Catholic Church,,This church has very old design. It creates very good contrast benween old church and new modern gray scyscrapers.,154,39,+1 415-421-3730,San Francisco,"756 Misson Street , San Francisco , CA 94103",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3564004-Reviews-St_Patrick_Catholic_Church-San_Francisco_California.html,san_francisco.json
Cartoon Art Museum,,A small museum showcasing a few artists. Jeff Brown's Darth Vader and Friends exhibit was very cute. Savage Dragon by Erik Larson was also a nice spread with great splash pages... read more,181,63,415 227 8666,San Francisco,"655 Mission St , San Francisco , CA 94105-4126",,,https://www.tripadvisor.com/Attraction_Review-g60713-d104946-Reviews-Cartoon_Art_Museum-San_Francisco_California.html,san_francisco.json
Local Brewing Co.,,I can honestly say that this place was one of my favorite parts of my US trip. It serves great beer and excellent food. The staff are awesome and are more than happy to talk you... read more,254,7,4159326702,San Francisco,"69 Bluxome St , San Francisco , CA 94107-1605",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8777422-Reviews-Local_Brewing_Co-San_Francisco_California.html,san_francisco.json
SoMa (South of Market Street),,I love how walkable san fran is. All the different neighborhoods have a unique feel. They are fun to walk around and make stops along the way.,208,36,,San Francisco,"Bounded by Market, First and Townsend Sts. , San Francisco , CA 94103",,,https://www.tripadvisor.com/Attraction_Review-g60713-d108677-Reviews-SoMa_South_of_Market_Street-San_Francisco_California.html,san_francisco.json
Children's Creativity Museum,,"Normally I think our 11 year old is too old for children's museums, but this is the exception. We got in free with our reciprocal membership from the museum in our hometown. Went... read more",132,50,415-820-3320,San Francisco,"221 4th St , Location in Yerba Buena Gardens at 4th Street and Howard , San Francisco , CA 94103-3116",,,https://www.tripadvisor.com/Attraction_Review-g60713-d105415-Reviews-Children_s_Creativity_Museum-San_Francisco_California.html,san_francisco.json
Barebottle Brewing Company,,A converted warehouse with garage door entry. Picnic bench-style seating. Plenty of space for cornhole games. Good beer selection. No food menu. But a food truck outside. Had a... read more,165,23,+1 415-926-8617,San Francisco,"1525 Cortland Ave , San Francisco , CA 94110",-122.40904038683,37.74000915,https://www.tripadvisor.com/Attraction_Review-g60713-d10482647-Reviews-Barebottle_Brewing_Company-San_Francisco_California.html,san_francisco.json
Cellarmaker Brewing Company,,"Small tap room in a part of SOMA that feels like it needs reviving. But the place was hopping, and the beers were great! I especially enjoyed the Imperial Coffee and Cigarettes... read more",206,22,(415) 863-3940,San Francisco,"1150 Howard St , San Francisco , CA 94103-3914",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8005453-Reviews-Cellarmaker_Brewing_Company-San_Francisco_California.html,san_francisco.json
San Francisco Flower Mart,,I decided to take an Uber here on one of my solo adventures. It was a wonderful experience even though I went a little later in the day. (The earlier you go the more flowers... read more,262,9,+1 415-392-7944,San Francisco,"640 Brannan St , San Francisco , CA 94107-1512",,,https://www.tripadvisor.com/Attraction_Review-g60713-d2155715-Reviews-San_Francisco_Flower_Mart-San_Francisco_California.html,san_francisco.json
Sentinel Building,,"When you look at financial district of that tall modern gray buildings, you can easily recognize a historic, green building with a really different and nice design. It creates a... read more",219,16,,San Francisco,"916 Kearny St # 920 , Columbus Financial District , San Francisco , CA 94133-5107",,,https://www.tripadvisor.com/Attraction_Review-g60713-d7035001-Reviews-Sentinel_Building-San_Francisco_California.html,san_francisco.json
San Francisco Public Library,,I was there recently for a chess meet up and was surprised how good it looked like. A great place to just hand around and read.,112,128,+1 415-557-4400,San Francisco,"100 Larkin St , San Francisco , CA 94102-4733",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156656-Reviews-San_Francisco_Public_Library-San_Francisco_California.html,san_francisco.json
Jackson Square,,This is a really attractive and interesting part of town. It doesn’t take long to visit – we just walked around the few blocks admiring the architecture in a few minutes. We were... read more,368,7,+1 415-397-6999,San Francisco,"Jackson Street between Battery and Kearny , San Francisco , CA 94111",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156532-Reviews-Jackson_Square-San_Francisco_California.html,san_francisco.json
Maritime Wine Tasting Studio,"“ Wine Bar ... Wine Tasting ” Reviewed January 8, 2016 We came across the Maritime Wine Tasting Studio while visiting the Northbeach San Francisco, California area. We are from the Napa area, so we enjoy wine. This bar is newly opened, but it was really a pleasant find. Nikita took care of us, and he was great. I highly recommend Maritime Wine Tasting Studio. Helpful? Thank DennisAtkinson Report",,9,2,,South San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g33116-d9731699-Reviews-Maritime_Wine_Tasting_Studio-South_San_Francisco_California.html,south_san_francisco.json
Top of Broadway District,,"What a difference a couple of years make. So much cleaner, livelier, new restaurants and dance clubs. A great place to get together with friends for the evening. Great places to... read more",372,4,,San Francisco,"250 Columbus Ave , Suite 207 , San Francisco , CA 94133-4536",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8036458-Reviews-Top_of_Broadway_District-San_Francisco_California.html,san_francisco.json
China Beach,,"Fantastic way to appreciate the Golden Gate Channel, the power of the Pacific, the ebb and flow of the tide in and out of the Bay, and the Farallon Islands in the distance. This... read more",124,55,+1 415-561-4323,San Francisco,"End of Sea Cliff Ave. off 25th AVe. , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d104539-Reviews-China_Beach-San_Francisco_California.html,san_francisco.json
Baker Beach,"Beaches , Outdoor Activities , Nature & Parks ","We bought a book, 50 walks in San Francisco. The walk from Bakers beach really appealed as we could take our dog. The views are just stunning, and far less busy / commercial... read more",31,547,+1 415-561-4323,San Francisco,"1504 Pershing Dr , San Francisco , CA 94129-3306",,,https://www.tripadvisor.com/Attraction_Review-g60713-d754023-Reviews-Baker_Beach-San_Francisco_California.html,san_francisco.json
Pioneer Monument,,"I wouldn’t go out of my way by any means to come visit the statue outside of City Hall but if you’re in the area, it won’t hurt to come and see it. It is quite impressive but... read more",214,18,,San Francisco,"50 Felton St , San Francisco , CA 94134-1408",,,https://www.tripadvisor.com/Attraction_Review-g60713-d557320-Reviews-Pioneer_Monument-San_Francisco_California.html,san_francisco.json
South San Francisco Conference Center,,"The Facilities were more than adequate to hold a moderate to big size meeting or a convention. The place is clean, well-managed. Parking is very inadequate. The parking areas... read more",1,29,+1 650-877-8787,South San Francisco,"255 S Airport Blvd , South San Francisco , CA 94080-6703",,,https://www.tripadvisor.com/Attraction_Review-g33116-d1419982-Reviews-South_San_Francisco_Conference_Center-South_San_Francisco_California.html,south_san_francisco.json
rissetto / 49 Square Miles Outlet Store,"“ GREAT leather purses, belts, wallets ” Reviewed April 2, 2016 This place is located in a warehouse area not far from San Francisco Airport. The shop is open Monday - Friday only. If the store isn't open when you arrive, just call the number on the glass door, they'll be right down. This is worth a stop! They have belts and purses we had not seen elsewhere, and the prices... More Helpful? Thank sfgardener Report",,12,,,South San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g33116-d10134270-Reviews-Rissetto_49_Square_Miles_Outlet_Store-South_San_Francisco_California.html,south_san_francisco.json
United Club - Arrivals Lounge,,"Visited in between flights. Love the new Illy cup in front of the desk. Great club, lots of room, plenty of seats. Just wish they had more outlets especially in the bar area... read more",3,8,,South San Francisco,"SFO, Highway 101 , Terminal 3, Arrivals Level, Baggage Claim , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489956-Reviews-United_Club_Arrivals_Lounge-South_San_Francisco_California.html,south_san_francisco.json
Golden Gate National Cemetery,,"Beautiful well-groomed cemetery. They do a great Memorial Day ceremony with military band to honor veterans, passed and living. I saw old soldiers from all branches of the... read more",1,30,,San Bruno,"1300 Sneath Ln , San Bruno , CA 94066-2099",,,https://www.tripadvisor.com/Attraction_Review-g33010-d4346918-Reviews-Golden_Gate_National_Cemetery-San_Bruno_California.html,san_bruno.json
Sanatan Mandir,,We visited this temple that is nearest to San Mateo where I have come for a long vacation. It's really beautiful temple devoted to Hindu God's and conducts regular devotional... read more,5,4,+1 650-794-1294,San Bruno,"205 Angus Ave W , San Bruno , CA 94066-3606",,,https://www.tripadvisor.com/Attraction_Review-g33010-d6663016-Reviews-Sanatan_Mandir-San_Bruno_California.html,san_bruno.json
Artichoke Joe's Casino,,"If you like to play Draw Poker or Texas Hold-em this is the place. They always have a crowd, they serve food, and for me, I love the fish tanks but the rest is somewhat... read more",7,11,+1 650-589-3145,San Bruno,"659 Huntington Ave , San Bruno , CA 94066-3608",,,https://www.tripadvisor.com/Attraction_Review-g33010-d1024316-Reviews-Artichoke_Joe_s_Casino-San_Bruno_California.html,san_bruno.json
San Bruno Mountain,,We did the Summit Trail Loop which was 3.1 miles along with the Bog Trail which was .8 miles. It's $6 to get into the parking lot. Wild blackberries throughout which the kids... read more,4,21,,San Bruno,"San Bruno , CA",-122.4110834,37.6304904,https://www.tripadvisor.com/Attraction_Review-g33010-d146093-Reviews-San_Bruno_Mountain-San_Bruno_California.html,san_bruno.json
San Bruno Point Park,,If you really love the water this is the place for you.Wasn't to bad in getting there just be wise when traveling. ( No peak times traffic is terrible),6,6,,San Bruno,"Forbes Boulevard , San Bruno , CA",,,https://www.tripadvisor.com/Attraction_Review-g33010-d3382515-Reviews-San_Bruno_Point_Park-San_Bruno_California.html,san_bruno.json
Diego Rivera Mural,,This is living history that had been stored and forgotten for years only to rise at City College of San Francisco. It's a must see,209,13,+1 415-239-3000,San Francisco,"City College of San Francisco, Diego Rivera Theater , 50 Phelan Avenue , San Francisco , CA 94112",,,https://www.tripadvisor.com/Attraction_Review-g60713-d2190487-Reviews-Diego_Rivera_Mural-San_Francisco_California.html,san_francisco.json
Cow Palace,,Some of the ramps are pretty steep I actually lost control and bumped someone in my wheelchair. The food only healthy food was from the vendor booths.,276,23,+1 415-404-4111,San Francisco,"Geneva Avenue and Santos Street , 2600 Geneva Avenue Daly City , San Francisco , CA 94134-0206",,,https://www.tripadvisor.com/Attraction_Review-g60713-d615566-Reviews-Cow_Palace-San_Francisco_California.html,san_francisco.json
InMotion Entertainment,"“ Airport Store InMotion for Electronics, Headphones, Accessories - San Francisco International Terminal ” Reviewed July 29, 2016 We were at San Francisco International Terminal. We went to InMotion Entertainment. It is a nice store selling things one might need for their trip, such as electronics, headphones, and accessories. They have good quality items. Its a nice store. Service is also good. InMotion Entertainment focuses on selling at airports. Helpful? Thank mini Report",,15,,,South San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488070-Reviews-InMotion_Entertainment-South_San_Francisco_California.html,south_san_francisco.json
Mount Davidson,,This is a nice park. There are some nice views of the city. It's never very crowded if you're looking for some peace and quiet. It hasn't been taken over by tourists like many... read more,222,19,415-831-2700,San Francisco,"Monterey Blvd. , San Francisco , CA 94127",-122.4473079,37.7315119,https://www.tripadvisor.com/Attraction_Review-g60713-d102507-Reviews-Mount_Davidson-San_Francisco_California.html,san_francisco.json
DFS Duty Free Galleria,,,72,,+1.650.444.1878,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area A, Near Gate A-2 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488002-Reviews-DFS_Duty_Free_Galleria-South_San_Francisco_California.html,south_san_francisco.json
Indulge Candy,"“ Last Minute High Quality Snacks Before a Flight ” Reviewed July 29, 2016 We went to Indulge Candy. It has both savory and sweet things (chips, crackers, candy, etc.) to purchase prior to a flight. Its nice to have an airport location with good quality items. Helpful? 1 Thank mini Report",,18,,,South San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489834-Reviews-Indulge_Candy-South_San_Francisco_California.html,south_san_francisco.json
SFMOMA Museum Store,,"Outstanding, more than can be taken in on a single visit. Don't try and catch it all, just stop, gaze and feel the art. Not everything has to be justified with a selfie ;-)",2,4,+1.650.553.8043,South San Francisco,"SFO, Highway 101 , International Terminal Main Hall, Behind Check-In Area , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489877-Reviews-SFMOMA_Museum_Store-South_San_Francisco_California.html,south_san_francisco.json
Gucci,,,76,,+1.650.821.6263,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area A, Near Gate A-1 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10487942-Reviews-Gucci-South_San_Francisco_California.html,south_san_francisco.json
Swarovski,,,32,,+1.650.821.8928,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area G, Near Gate G-94 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10492874-Reviews-Swarovski-South_San_Francisco_California.html,south_san_francisco.json
Hermes,,,36,,,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area G, Near Gate G-92 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10492829-Reviews-Hermes-South_San_Francisco_California.html,south_san_francisco.json
Facetime,,,43,,+1.650.821.1024,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area A, Near Gate A-4 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489869-Reviews-Facetime-South_San_Francisco_California.html,south_san_francisco.json
San Francisco Bay Traders,,,41,,+1.650.246.3736,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area G, Near Gate G-96 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489884-Reviews-San_Francisco_Bay_Traders-South_San_Francisco_California.html,south_san_francisco.json
Pacific Outfitters,,,57,,+1.650.821.1030,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area G, Near Gate G-94 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488090-Reviews-Pacific_Outfitters-South_San_Francisco_California.html,south_san_francisco.json
Sweet Travels,,,39,,+1.650.821.6007,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area A, Near Gate A-6 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489923-Reviews-Sweet_Travels-South_San_Francisco_California.html,south_san_francisco.json
Burberry,,,69,,+1.650.821.8929,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area G, Near Gate G-91 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488034-Reviews-Burberry-South_San_Francisco_California.html,south_san_francisco.json
Aviator News & Books,,,75,,+1.650.821.0642,South San Francisco,"SFO, Highway 101 , International Terminal, Boarding Area G, Near Gate G-94 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10487995-Reviews-Aviator_News_Books-South_San_Francisco_California.html,south_san_francisco.json
Coach,“ Grayline tours ” Reviewed 1 week ago via mobile 17 mile road from san Francisco to Carmel. Very long but enjoyable trip stopped off at Pebble Beach golf club highlight for most golfers on the trip. The views are spectacular on this route. Very knowledgeable and considerable driver. Helpful? Thank Mike B Report,,16,,,South San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488001-Reviews-Coach-South_San_Francisco_California.html,south_san_francisco.json
Greetings from San Francisco,,read more,11,,+1.650.821.9323,South San Francisco,"SFO, Highway 101 , Terminal 2, Boarding Area D, Retail Street , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488039-Reviews-Greetings_from_San_Francisco-South_San_Francisco_California.html,south_san_francisco.json
Ghiradelli,,Fun place to visit and see chocolate getting made. The drinks and desserts available are delicious but extremely rich (not sure when I had that much sugar last). Worth stopping in!,6,5,+1.650.821.0651,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Food Court , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10492846-Reviews-Ghiradelli-South_San_Francisco_California.html,south_san_francisco.json
Mosaic Gallery,,,34,,+1.650.821.9321,South San Francisco,"SFO, Highway 101 , Terminal 2, Boarding Area D, Retail Street , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10492833-Reviews-Mosaic_Gallery-South_San_Francisco_California.html,south_san_francisco.json
Sunglass Hut,,,53,,+1.650.821.0598,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Food Court , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488140-Reviews-Sunglass_Hut-South_San_Francisco_California.html,south_san_francisco.json
Mango,,,60,,+1.650.821.0650,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Food Court , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488082-Reviews-Mango-South_San_Francisco_California.html,south_san_francisco.json
SFO Museum,,"This was a nice surprise, we wandered in and found the fashion in flight exhibit. It was a nice trip down memory lane. Very well done. It's a shame we don't have more pride in how... read more",163,38,16508216700,San Francisco,"San Francisco International Airport , San Francisco International Airport, International Terminal, Departure Level, Pre-Security , San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g60713-d2369254-Reviews-SFO_Museum-San_Francisco_California.html,san_francisco.json
Kiehl's,,,45,,+1.650.821.9151,South San Francisco,"SFO, Highway 101 , Terminal 2, Boarding Area D, Retail Street , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489862-Reviews-Kiehl_s-South_San_Francisco_California.html,south_san_francisco.json
The Fickle Bag,,,38,,+1.650.821.0153,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Near Gate 80 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489929-Reviews-The_Fickle_Bag-South_San_Francisco_California.html,south_san_francisco.json
Compass Books,,"I love this bookstore. It's a fixture of the SFO airport and it's where I buy all of my ""old-fashioned"" print books and magazines. I love the employee reviews and the sense that... read more",4,3,+1.650.821.2326,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Near Gate 71 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10487996-Reviews-Compass_Books-South_San_Francisco_California.html,south_san_francisco.json
Bayfront Park,,Beautiful scenery and fun to watch the planes take off and land. Little ducks in the water and birds to see along the path.,1,40,,Millbrae,"Old Bayshore Highway , Millbrae , CA 94030",,,https://www.tripadvisor.com/Attraction_Review-g32715-d7222595-Reviews-Bayfront_Park-Millbrae_California.html,millbrae.json
The Centurion Lounge,,This is a 5 star USA lounge. If you visit Asia and Arabia there are probably better lounges. More equipped and more options. Variety of fine wines Freshly cooked food rotates... read more,3,78,,San Bruno,"San Francisco International Airport , Terminal 3, Near Gate 74 , San Bruno , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33010-d10671288-Reviews-The_Centurion_Lounge-San_Bruno_California.html,san_bruno.json
See's Candies,,,54,,+1.650.821.2333,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area E, Near Gate 68 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10488111-Reviews-See_s_Candies-South_San_Francisco_California.html,south_san_francisco.json
"Jo Malone, Tom Ford & Aveda",,,44,,+1.650.821.8464,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Near Gate 70 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489865-Reviews-Jo_Malone_Tom_Ford_Aveda-South_San_Francisco_California.html,south_san_francisco.json
Bay Area Club House,,,50,,+1.650.589.8610,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Near Gate 82 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489509-Reviews-Bay_Area_Club_House-South_San_Francisco_California.html,south_san_francisco.json
Boucle,,,48,,+1.650.821.9334,South San Francisco,"SFO, Highway 101 , Terminal 3, Boarding Area F, Near Gate 82 , South San Francisco , CA 94128",,,https://www.tripadvisor.com/Attraction_Review-g33116-d10489754-Reviews-Boucle-South_San_Francisco_California.html,south_san_francisco.json
